,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1996-97,18.0,LAL,NBA,SG,71,6,1103,176,422,0.41700000000000004,51,136,0.375,125,286,0.43700000000000006,0.47700000000000004,136,166,0.8190000000000001,47,85,132,91,49,23,112,102,539
1,1997-98,19.0,LAL,NBA,SG,79,1,2056,391,913,0.428,75,220,0.341,316,693,0.456,0.469,363,457,0.794,79,163,242,199,74,40,157,180,1220
2,1998-99,20.0,LAL,NBA,SG,50,50,1896,362,779,0.465,27,101,0.267,335,678,0.494,0.48200000000000004,245,292,0.8390000000000001,53,211,264,190,72,50,157,153,996
3,1999-00,21.0,LAL,NBA,SG,66,62,2524,554,1183,0.46799999999999997,46,144,0.319,508,1039,0.489,0.488,331,403,0.821,108,308,416,323,106,62,182,220,1485
4,2000-01,22.0,LAL,NBA,SG,68,68,2783,701,1510,0.46399999999999997,61,200,0.305,640,1310,0.489,0.484,475,557,0.853,104,295,399,338,114,43,220,222,1938
5,2001-02,23.0,LAL,NBA,SG,80,80,3063,749,1597,0.469,33,132,0.25,716,1465,0.489,0.479,488,589,0.8290000000000001,112,329,441,438,118,35,223,228,2019
6,2002-03,24.0,LAL,NBA,SG,82,82,3401,868,1924,0.451,124,324,0.38299999999999995,744,1600,0.465,0.483,601,713,0.843,106,458,564,481,181,67,288,218,2461
7,2003-04,25.0,LAL,NBA,SG,65,64,2447,516,1178,0.43799999999999994,71,217,0.327,445,961,0.46299999999999997,0.46799999999999997,454,533,0.852,103,256,359,330,112,28,171,176,1557
8,2004-05,26.0,LAL,NBA,SG,66,66,2689,573,1324,0.433,131,387,0.33899999999999997,442,937,0.47200000000000003,0.48200000000000004,542,664,0.816,95,297,392,398,86,53,270,174,1819
9,2005-06,27.0,LAL,NBA,SG,80,80,3277,978,2173,0.45,180,518,0.34700000000000003,798,1655,0.48200000000000004,0.491,696,819,0.85,71,354,425,360,147,30,250,233,2832
10,2006-07,28.0,LAL,NBA,SG,77,77,3140,813,1757,0.46299999999999997,137,398,0.344,676,1359,0.49700000000000005,0.502,667,768,0.868,75,364,439,413,111,36,255,205,2430
11,2007-08,29.0,LAL,NBA,SG,82,82,3192,775,1690,0.45899999999999996,150,415,0.361,625,1275,0.49,0.503,623,742,0.84,94,423,517,441,151,40,257,227,2323
12,2008-09,30.0,LAL,NBA,SG,82,82,2960,800,1712,0.467,118,336,0.35100000000000003,682,1376,0.496,0.502,483,564,0.856,90,339,429,399,120,37,210,189,2201
13,2009-10,31.0,LAL,NBA,SG,73,73,2835,716,1569,0.456,99,301,0.32899999999999996,617,1268,0.48700000000000004,0.488,439,541,0.8109999999999999,78,313,391,365,113,20,233,187,1970
14,2010-11,32.0,LAL,NBA,SG,82,82,2779,740,1639,0.451,115,356,0.32299999999999995,625,1283,0.48700000000000004,0.48700000000000004,483,583,0.828,83,336,419,388,99,12,243,172,2078
15,2011-12,33.0,LAL,NBA,SG,58,58,2232,574,1336,0.43,87,287,0.303,487,1049,0.46399999999999997,0.462,381,451,0.845,66,247,313,264,69,18,204,105,1616
16,2012-13,34.0,LAL,NBA,SG,78,78,3013,738,1595,0.46299999999999997,132,407,0.324,606,1188,0.51,0.504,525,626,0.8390000000000001,66,367,433,469,106,25,287,173,2133
17,2013-14,35.0,LAL,NBA,SG,6,6,177,31,73,0.425,3,16,0.188,28,57,0.491,0.445,18,21,0.857,2,24,26,38,7,1,34,9,83
18,2014-15,36.0,LAL,NBA,SG,35,35,1207,266,713,0.373,54,184,0.293,212,529,0.401,0.41100000000000003,196,241,0.813,26,173,199,197,47,7,128,65,782
19,2015-16,37.0,LAL,NBA,SF,66,66,1863,398,1113,0.358,133,467,0.285,265,646,0.41,0.41700000000000004,232,281,0.826,41,206,247,184,62,13,129,115,1161
20,Career,,,NBA,,1346,1198,48637,11719,26200,0.447,1827,5546,0.32899999999999996,9892,20654,0.479,0.48200000000000004,8378,10011,0.8370000000000001,1499,5548,7047,6306,1944,640,4010,3353,33643
