,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
0,1996-97,18.0,LAL,NBA,SG,71,6,1103,8.4,20.2,0.41700000000000004,2.4,6.5,0.375,6.0,13.7,0.43700000000000006,6.5,7.9,0.8190000000000001,2.2,4.1,6.3,4.3,2.3,1.1,5.3,4.9,25.7,,101,105
1,1997-98,19.0,LAL,NBA,SG,79,1,2056,9.8,22.8,0.428,1.9,5.5,0.341,7.9,17.3,0.456,9.1,11.4,0.794,2.0,4.1,6.0,5.0,1.8,1.0,3.9,4.5,30.4,,110,106
2,1998-99,20.0,LAL,NBA,SG,50,50,1896,10.0,21.5,0.465,0.7,2.8,0.267,9.3,18.7,0.494,6.8,8.1,0.8390000000000001,1.5,5.8,7.3,5.2,2.0,1.4,4.3,4.2,27.5,,106,104
3,1999-00,21.0,LAL,NBA,SG,66,62,2524,11.3,24.1,0.46799999999999997,0.9,2.9,0.319,10.3,21.2,0.489,6.7,8.2,0.821,2.2,6.3,8.5,6.6,2.2,1.3,3.7,4.5,30.3,,110,98
4,2000-01,22.0,LAL,NBA,SG,68,68,2783,13.2,28.4,0.46399999999999997,1.1,3.8,0.305,12.0,24.6,0.489,8.9,10.5,0.853,2.0,5.5,7.5,6.4,2.1,0.8,4.1,4.2,36.4,,112,105
5,2001-02,23.0,LAL,NBA,SG,80,80,3063,12.7,27.2,0.469,0.6,2.2,0.25,12.2,24.9,0.489,8.3,10.0,0.8290000000000001,1.9,5.6,7.5,7.5,2.0,0.6,3.8,3.9,34.4,,112,103
6,2002-03,24.0,LAL,NBA,SG,82,82,3401,13.2,29.4,0.451,1.9,4.9,0.38299999999999995,11.4,24.4,0.465,9.2,10.9,0.843,1.6,7.0,8.6,7.3,2.8,1.0,4.4,3.3,37.6,,111,103
7,2003-04,25.0,LAL,NBA,SG,65,64,2447,11.0,25.0,0.43799999999999994,1.5,4.6,0.327,9.5,20.4,0.46299999999999997,9.7,11.3,0.852,2.2,5.4,7.6,7.0,2.4,0.6,3.6,3.7,33.1,,112,102
8,2004-05,26.0,LAL,NBA,SG,66,66,2689,11.3,26.0,0.433,2.6,7.6,0.33899999999999997,8.7,18.4,0.47200000000000003,10.7,13.0,0.816,1.9,5.8,7.7,7.8,1.7,1.0,5.3,3.4,35.7,,111,111
9,2005-06,27.0,LAL,NBA,SG,80,80,3277,15.8,35.0,0.45,2.9,8.3,0.34700000000000003,12.9,26.7,0.48200000000000004,11.2,13.2,0.85,1.1,5.7,6.8,5.8,2.4,0.5,4.0,3.8,45.6,,114,105
10,2006-07,28.0,LAL,NBA,SG,77,77,3140,13.3,28.7,0.46299999999999997,2.2,6.5,0.344,11.0,22.2,0.49700000000000005,10.9,12.6,0.868,1.2,5.9,7.2,6.7,1.8,0.6,4.2,3.4,39.7,,115,109
11,2007-08,29.0,LAL,NBA,SG,82,82,3192,12.2,26.6,0.45899999999999996,2.4,6.5,0.361,9.8,20.1,0.49,9.8,11.7,0.84,1.5,6.7,8.1,6.9,2.4,0.6,4.0,3.6,36.5,,115,105
12,2008-09,30.0,LAL,NBA,SG,82,82,2960,13.8,29.4,0.467,2.0,5.8,0.35100000000000003,11.7,23.7,0.496,8.3,9.7,0.856,1.5,5.8,7.4,6.9,2.1,0.6,3.6,3.3,37.8,,115,106
13,2009-10,31.0,LAL,NBA,SG,73,73,2835,13.1,28.6,0.456,1.8,5.5,0.32899999999999996,11.3,23.1,0.48700000000000004,8.0,9.9,0.8109999999999999,1.4,5.7,7.1,6.7,2.1,0.4,4.3,3.4,35.9,,109,104
14,2010-11,32.0,LAL,NBA,SG,82,82,2779,14.1,31.2,0.451,2.2,6.8,0.32299999999999995,11.9,24.4,0.48700000000000004,9.2,11.1,0.828,1.6,6.4,8.0,7.4,1.9,0.2,4.6,3.3,39.6,,111,105
15,2011-12,33.0,LAL,NBA,SG,58,58,2232,13.6,31.7,0.43,2.1,6.8,0.303,11.6,24.9,0.46399999999999997,9.1,10.7,0.845,1.6,5.9,7.4,6.3,1.6,0.4,4.8,2.5,38.4,,105,106
16,2012-13,34.0,LAL,NBA,SG,78,78,3013,12.5,26.9,0.46299999999999997,2.2,6.9,0.324,10.2,20.0,0.51,8.9,10.6,0.8390000000000001,1.1,6.2,7.3,7.9,1.8,0.4,4.8,2.9,36.0,,112,107
17,2013-14,35.0,LAL,NBA,SG,6,6,177,8.5,20.1,0.425,0.8,4.4,0.188,7.7,15.7,0.491,4.9,5.8,0.857,0.5,6.6,7.1,10.4,1.9,0.3,9.3,2.5,22.8,,84,111
18,2014-15,36.0,LAL,NBA,SG,35,35,1207,11.3,30.2,0.373,2.3,7.8,0.293,9.0,22.4,0.401,8.3,10.2,0.813,1.1,7.3,8.4,8.3,2.0,0.3,5.4,2.8,33.1,,96,110
19,2015-16,37.0,LAL,NBA,SF,66,66,1863,10.7,30.0,0.358,3.6,12.6,0.285,7.1,17.4,0.41,6.3,7.6,0.826,1.1,5.6,6.7,5.0,1.7,0.4,3.5,3.1,31.3,,95,113
20,Career,,,NBA,,1346,1198,48637,12.5,27.9,0.447,1.9,5.9,0.32899999999999996,10.5,22.0,0.479,8.9,10.7,0.8370000000000001,1.6,5.9,7.5,6.7,2.1,0.7,4.3,3.6,35.8,,110,105
