,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2009-10,21.0,GSW,NBA,PG,80,77,2896,528,1143,0.462,166,380,0.43700000000000006,362,763,0.474,0.535,177,200,0.885,48,308,356,472,152,19,243,252,1399
1,2010-11,22.0,GSW,NBA,PG,74,74,2489,505,1053,0.48,151,342,0.442,354,711,0.498,0.551,212,227,0.934,52,234,286,432,109,20,226,233,1373
2,2011-12,23.0,GSW,NBA,PG,26,23,732,145,296,0.49,55,121,0.455,90,175,0.514,0.583,38,47,0.809,15,73,88,138,39,8,65,62,383
3,2012-13,24.0,GSW,NBA,PG,78,78,2983,626,1388,0.451,272,600,0.45299999999999996,354,788,0.449,0.5489999999999999,262,291,0.9,59,255,314,539,126,12,240,198,1786
4,2013-14,25.0,GSW,NBA,PG,78,78,2846,652,1383,0.47100000000000003,261,615,0.424,391,768,0.509,0.5660000000000001,308,348,0.885,46,288,334,666,128,14,294,194,1873
5,2014-15,26.0,GSW,NBA,PG,80,80,2613,653,1341,0.48700000000000004,286,646,0.44299999999999995,367,695,0.528,0.594,308,337,0.914,56,285,341,619,163,16,249,158,1900
6,2015-16,27.0,GSW,NBA,PG,79,79,2700,805,1598,0.504,402,886,0.45399999999999996,403,712,0.5660000000000001,0.63,363,400,0.9079999999999999,68,362,430,527,169,15,262,161,2375
7,2016-17,28.0,GSW,NBA,PG,79,79,2638,675,1443,0.46799999999999997,324,789,0.41100000000000003,351,654,0.537,0.58,325,362,0.898,61,292,353,524,142,17,239,183,1999
8,2017-18,29.0,GSW,NBA,PG,51,51,1631,428,864,0.495,212,501,0.423,216,363,0.595,0.618,278,302,0.9209999999999999,36,225,261,310,80,8,153,114,1346
9,2018-19,30.0,GSW,NBA,PG,69,69,2331,632,1340,0.47200000000000003,354,810,0.43700000000000006,278,530,0.525,0.604,263,287,0.9159999999999999,45,324,369,361,92,25,192,166,1881
10,Career,,,NBA,,694,688,23859,5649,11849,0.47700000000000004,2483,5690,0.436,3166,6159,0.514,0.5820000000000001,2534,2801,0.905,486,2646,3132,4588,1200,154,2163,1721,16315
