,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
0,2009-10,21.0,GSW,NBA,PG,80,77,2896,8.7,18.9,0.462,2.7,6.3,0.43700000000000006,6.0,12.6,0.474,2.9,3.3,0.885,0.8,5.1,5.9,7.8,2.5,0.3,4.0,4.2,23.1,,107,111
1,2010-11,22.0,GSW,NBA,PG,74,74,2489,10.3,21.4,0.48,3.1,7.0,0.442,7.2,14.5,0.498,4.3,4.6,0.934,1.1,4.8,5.8,8.8,2.2,0.4,4.6,4.7,27.9,,113,112
2,2011-12,23.0,GSW,NBA,PG,26,23,732,10.3,21.0,0.49,3.9,8.6,0.455,6.4,12.4,0.514,2.7,3.3,0.809,1.1,5.2,6.2,9.8,2.8,0.6,4.6,4.4,27.2,,112,108
3,2012-13,24.0,GSW,NBA,PG,78,78,2983,10.7,23.6,0.451,4.6,10.2,0.45299999999999996,6.0,13.4,0.449,4.5,5.0,0.9,1.0,4.3,5.3,9.2,2.1,0.2,4.1,3.4,30.4,,115,107
4,2013-14,25.0,GSW,NBA,PG,78,78,2846,11.4,24.2,0.47100000000000003,4.6,10.8,0.424,6.9,13.5,0.509,5.4,6.1,0.885,0.8,5.0,5.9,11.7,2.2,0.2,5.2,3.4,32.8,,117,104
5,2014-15,26.0,GSW,NBA,PG,80,80,2613,12.2,25.1,0.48700000000000004,5.3,12.1,0.44299999999999995,6.9,13.0,0.528,5.8,6.3,0.914,1.0,5.3,6.4,11.6,3.0,0.3,4.7,3.0,35.5,,122,101
6,2015-16,27.0,GSW,NBA,PG,79,79,2700,14.4,28.6,0.504,7.2,15.9,0.45399999999999996,7.2,12.7,0.5660000000000001,6.5,7.2,0.9079999999999999,1.2,6.5,7.7,9.4,3.0,0.3,4.7,2.9,42.5,,125,103
7,2016-17,28.0,GSW,NBA,PG,79,79,2638,12.3,26.3,0.46799999999999997,5.9,14.4,0.41100000000000003,6.4,11.9,0.537,5.9,6.6,0.898,1.1,5.3,6.4,9.6,2.6,0.3,4.4,3.3,36.5,,119,105
8,2017-18,29.0,GSW,NBA,PG,51,51,1631,12.6,25.5,0.495,6.3,14.8,0.423,6.4,10.7,0.595,8.2,8.9,0.9209999999999999,1.1,6.6,7.7,9.2,2.4,0.2,4.5,3.4,39.8,,125,108
9,2018-19,30.0,GSW,NBA,PG,69,69,2331,12.9,27.3,0.47200000000000003,7.2,16.5,0.43700000000000006,5.7,10.8,0.525,5.4,5.9,0.9159999999999999,0.9,6.6,7.5,7.4,1.9,0.5,3.9,3.4,38.4,,120,110
10,Career,,,NBA,,694,688,23859,11.6,24.4,0.47700000000000004,5.1,11.7,0.436,6.5,12.7,0.514,5.2,5.8,0.905,1.0,5.4,6.4,9.4,2.5,0.3,4.4,3.5,33.5,,118,107
