,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1997-98,21.0,SAS,NBA,PF,82,82,3204,7.9,14.5,0.5489999999999999,0.0,0.1,0.0,7.9,14.3,0.5529999999999999,3.6,5.4,0.662,3.1,7.9,11.0,2.5,0.6,2.3,3.1,2.9,19.4
1,1998-99,22.0,SAS,NBA,PF,50,50,1963,7.7,15.5,0.495,0.0,0.1,0.14300000000000002,7.6,15.4,0.498,4.5,6.6,0.69,2.9,7.6,10.5,2.2,0.8,2.3,2.7,2.7,19.9
2,1999-00,23.0,SAS,NBA,PF,74,74,2875,7.9,16.0,0.49,0.0,0.1,0.091,7.9,15.9,0.494,5.7,7.6,0.7609999999999999,3.3,8.2,11.5,2.9,0.8,2.1,3.0,2.6,21.5
3,2000-01,24.0,SAS,NBA,PF,82,82,3174,8.0,15.9,0.499,0.1,0.3,0.259,7.9,15.6,0.504,4.6,7.5,0.618,2.9,8.4,11.3,2.8,0.8,2.2,2.7,2.8,20.6
4,2001-02,25.0,SAS,NBA,PF,82,82,3329,8.3,16.3,0.508,0.0,0.1,0.1,8.3,16.2,0.511,6.1,7.6,0.799,2.9,8.4,11.3,3.3,0.7,2.2,2.8,2.3,22.6
5,2002-03,26.0,SAS,NBA,PF,81,81,3181,8.1,15.8,0.513,0.1,0.2,0.273,8.0,15.5,0.517,5.1,7.2,0.71,2.9,8.9,11.8,3.6,0.6,2.7,2.8,2.6,21.3
6,2003-04,27.0,SAS,NBA,PF,69,68,2527,8.4,16.8,0.501,0.0,0.2,0.16699999999999998,8.4,16.7,0.505,5.0,8.4,0.599,3.2,9.0,12.2,3.0,0.9,2.6,2.6,2.3,21.9
7,2004-05,28.0,SAS,NBA,PF,66,66,2203,8.4,17.0,0.496,0.0,0.1,0.33299999999999996,8.4,16.9,0.498,5.0,7.4,0.67,3.3,8.7,12.0,2.9,0.7,2.8,2.1,2.4,21.9
8,2005-06,29.0,SAS,NBA,PF,80,80,2784,7.4,15.3,0.484,0.0,0.1,0.4,7.4,15.3,0.485,4.3,6.9,0.629,3.0,8.4,11.4,3.3,0.9,2.1,2.6,2.8,19.2
9,2006-07,30.0,SAS,NBA,C,80,80,2726,8.2,14.9,0.546,0.0,0.1,0.111,8.1,14.8,0.55,4.8,7.5,0.637,2.8,8.4,11.2,3.6,0.9,2.5,3.0,2.7,21.1
10,2007-08,31.0,SAS,NBA,C,78,78,2651,7.9,16.0,0.49700000000000005,0.0,0.1,0.0,7.9,15.9,0.498,4.6,6.3,0.73,3.2,8.7,12.0,3.0,0.8,2.1,2.4,2.5,20.5
11,2008-09,32.0,SAS,NBA,C,75,75,2524,8.0,15.8,0.504,0.0,0.0,0.0,8.0,15.8,0.505,4.8,6.9,0.6920000000000001,2.9,8.5,11.4,3.8,0.5,1.8,2.4,2.5,20.7
12,2009-10,33.0,SAS,NBA,C,78,77,2438,8.3,16.0,0.518,0.0,0.2,0.182,8.3,15.8,0.522,4.0,5.5,0.725,3.3,8.4,11.6,3.6,0.7,1.7,2.1,2.2,20.6
13,2010-11,34.0,SAS,NBA,C,76,76,2156,7.0,14.0,0.5,0.0,0.1,0.0,7.0,13.9,0.502,3.1,4.3,0.716,2.8,8.5,11.3,3.4,0.8,2.4,2.0,2.0,17.1
14,2011-12,35.0,SAS,NBA,C,58,58,1634,8.0,16.1,0.49200000000000005,0.0,0.1,0.0,8.0,16.1,0.495,3.8,5.5,0.695,2.4,9.0,11.5,2.9,0.8,1.9,2.1,2.2,19.7
15,2012-13,36.0,SAS,NBA,C,69,69,2078,8.5,16.9,0.502,0.0,0.1,0.28600000000000003,8.5,16.8,0.504,4.2,5.2,0.8170000000000001,2.1,9.7,11.9,3.2,0.9,3.2,2.5,2.0,21.3
16,2013-14,37.0,SAS,NBA,C,74,74,2158,7.4,15.1,0.49,0.0,0.1,0.0,7.4,15.0,0.493,3.9,5.3,0.731,2.6,9.4,12.0,3.7,0.7,2.3,2.7,2.2,18.7
17,2014-15,38.0,SAS,NBA,C,77,77,2227,6.8,13.2,0.512,0.0,0.1,0.28600000000000003,6.7,13.1,0.514,3.7,5.0,0.74,2.7,8.6,11.4,3.7,1.0,2.4,2.1,2.7,17.3
18,2015-16,39.0,SAS,NBA,C,61,60,1536,5.0,10.3,0.488,0.0,0.0,0.0,5.0,10.3,0.49,2.2,3.1,0.7020000000000001,2.7,7.8,10.5,3.8,1.1,1.8,2.1,2.9,12.2
19,Career,,,NBA,,1392,1389,47368,7.8,15.5,0.506,0.0,0.1,0.179,7.8,15.3,0.509,4.5,6.4,0.696,2.9,8.5,11.5,3.2,0.8,2.3,2.6,2.5,20.1
