,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2007-08,19.0,SEA,NBA,SG,80.0,80.0,2768.0,587.0,1366.0,0.43,59.0,205.0,0.28800000000000003,528.0,1161.0,0.455,0.451,391.0,448.0,0.873,70.0,278.0,348.0,192.0,78.0,75.0,232.0,122.0,1624.0
1,2008-09,20.0,OKC,NBA,SF,74.0,74.0,2885.0,661.0,1390.0,0.47600000000000003,97.0,230.0,0.42200000000000004,564.0,1160.0,0.486,0.51,452.0,524.0,0.863,77.0,405.0,482.0,205.0,96.0,53.0,225.0,134.0,1871.0
2,2009-10,21.0,OKC,NBA,SF,82.0,82.0,3239.0,794.0,1668.0,0.47600000000000003,128.0,351.0,0.365,666.0,1317.0,0.506,0.514,756.0,840.0,0.9,105.0,518.0,623.0,231.0,112.0,84.0,271.0,171.0,2472.0
3,2010-11,22.0,OKC,NBA,SF,78.0,78.0,3038.0,711.0,1538.0,0.462,145.0,414.0,0.35,566.0,1124.0,0.504,0.509,594.0,675.0,0.88,57.0,476.0,533.0,214.0,88.0,76.0,218.0,159.0,2161.0
4,2011-12,23.0,OKC,NBA,SF,66.0,66.0,2546.0,643.0,1297.0,0.496,133.0,344.0,0.387,510.0,953.0,0.535,0.547,431.0,501.0,0.86,40.0,487.0,527.0,231.0,88.0,77.0,248.0,133.0,1850.0
5,2012-13,24.0,OKC,NBA,SF,81.0,81.0,3119.0,731.0,1433.0,0.51,139.0,334.0,0.41600000000000004,592.0,1099.0,0.539,0.5589999999999999,679.0,750.0,0.905,46.0,594.0,640.0,374.0,116.0,105.0,280.0,143.0,2280.0
6,2013-14,25.0,OKC,NBA,SF,81.0,81.0,3122.0,849.0,1688.0,0.503,192.0,491.0,0.391,657.0,1197.0,0.5489999999999999,0.56,703.0,805.0,0.873,58.0,540.0,598.0,445.0,103.0,59.0,285.0,174.0,2593.0
7,2014-15,26.0,OKC,NBA,SF,27.0,27.0,913.0,238.0,467.0,0.51,64.0,159.0,0.40299999999999997,174.0,308.0,0.565,0.578,146.0,171.0,0.8540000000000001,16.0,162.0,178.0,110.0,24.0,25.0,74.0,40.0,686.0
8,2015-16,27.0,OKC,NBA,SF,72.0,72.0,2578.0,698.0,1381.0,0.505,186.0,481.0,0.387,512.0,900.0,0.569,0.573,447.0,498.0,0.898,45.0,544.0,589.0,361.0,69.0,85.0,250.0,137.0,2029.0
9,2016-17,28.0,GSW,NBA,PF,62.0,62.0,2070.0,551.0,1026.0,0.537,117.0,312.0,0.375,434.0,714.0,0.608,0.594,336.0,384.0,0.875,39.0,474.0,513.0,300.0,66.0,99.0,138.0,117.0,1555.0
10,2017-18,29.0,GSW,NBA,SF,68.0,68.0,2325.0,630.0,1222.0,0.516,173.0,413.0,0.419,457.0,809.0,0.565,0.586,359.0,404.0,0.889,31.0,433.0,464.0,366.0,50.0,119.0,207.0,133.0,1792.0
11,2018-19,30.0,GSW,NBA,SF,78.0,78.0,2702.0,721.0,1383.0,0.521,137.0,388.0,0.353,584.0,995.0,0.5870000000000001,0.5710000000000001,448.0,506.0,0.885,33.0,464.0,497.0,457.0,58.0,84.0,225.0,155.0,2027.0
12,Career,,,NBA,,849.0,849.0,31305.0,7814.0,15859.0,0.493,1570.0,4122.0,0.381,6244.0,11737.0,0.532,0.542,5742.0,6506.0,0.883,617.0,5375.0,5992.0,3486.0,948.0,941.0,2653.0,1618.0,22940.0
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9 seasons,,"SEA,OKC",NBA,,641.0,641.0,24208.0,5912.0,12228.0,0.483,1143.0,3009.0,0.38,4769.0,9219.0,0.517,0.53,4599.0,5212.0,0.882,514.0,4004.0,4518.0,2363.0,774.0,639.0,2083.0,1213.0,17566.0
15,3 seasons,,GSW,NBA,,208.0,208.0,7097.0,1902.0,3631.0,0.524,427.0,1113.0,0.384,1475.0,2518.0,0.586,0.583,1143.0,1294.0,0.883,103.0,1371.0,1474.0,1123.0,174.0,302.0,570.0,405.0,5374.0
