,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
0,2007-08,19.0,SEA,NBA,SG,80.0,80.0,2768.0,10.6,24.6,0.43,1.1,3.7,0.28800000000000003,9.5,20.9,0.455,7.0,8.1,0.873,1.3,5.0,6.3,3.5,1.4,1.3,4.2,2.2,29.2,,100.0,110.0
1,2008-09,20.0,OKC,NBA,SF,74.0,74.0,2885.0,11.7,24.7,0.47600000000000003,1.7,4.1,0.42200000000000004,10.0,20.6,0.486,8.0,9.3,0.863,1.4,7.2,8.6,3.6,1.7,0.9,4.0,2.4,33.3,,111.0,109.0
2,2009-10,21.0,OKC,NBA,SF,82.0,82.0,3239.0,12.6,26.6,0.47600000000000003,2.0,5.6,0.365,10.6,21.0,0.506,12.0,13.4,0.9,1.7,8.2,9.9,3.7,1.8,1.3,4.3,2.7,39.4,,118.0,104.0
3,2010-11,22.0,OKC,NBA,SF,78.0,78.0,3038.0,12.1,26.2,0.462,2.5,7.1,0.35,9.6,19.2,0.504,10.1,11.5,0.88,1.0,8.1,9.1,3.6,1.5,1.3,3.7,2.7,36.8,,115.0,107.0
4,2011-12,23.0,OKC,NBA,SF,66.0,66.0,2546.0,13.0,26.3,0.496,2.7,7.0,0.387,10.3,19.3,0.535,8.7,10.2,0.86,0.8,9.9,10.7,4.7,1.8,1.6,5.0,2.7,37.5,,114.0,101.0
5,2012-13,24.0,OKC,NBA,SF,81.0,81.0,3119.0,12.1,23.6,0.51,2.3,5.5,0.41600000000000004,9.8,18.1,0.539,11.2,12.4,0.905,0.8,9.8,10.6,6.2,1.9,1.7,4.6,2.4,37.6,,122.0,100.0
6,2013-14,25.0,OKC,NBA,SF,81.0,81.0,3122.0,13.7,27.2,0.503,3.1,7.9,0.391,10.6,19.3,0.5489999999999999,11.3,13.0,0.873,0.9,8.7,9.6,7.2,1.7,1.0,4.6,2.8,41.8,,123.0,104.0
7,2014-15,26.0,OKC,NBA,SF,27.0,27.0,913.0,13.1,25.6,0.51,3.5,8.7,0.40299999999999997,9.6,16.9,0.565,8.0,9.4,0.8540000000000001,0.9,8.9,9.8,6.0,1.3,1.4,4.1,2.2,37.7,,121.0,105.0
8,2015-16,27.0,OKC,NBA,SF,72.0,72.0,2578.0,13.4,26.6,0.505,3.6,9.3,0.387,9.9,17.3,0.569,8.6,9.6,0.898,0.9,10.5,11.3,7.0,1.3,1.6,4.8,2.6,39.1,,122.0,104.0
9,2016-17,28.0,GSW,NBA,PF,62.0,62.0,2070.0,12.8,23.8,0.537,2.7,7.3,0.375,10.1,16.6,0.608,7.8,8.9,0.875,0.9,11.0,11.9,7.0,1.5,2.3,3.2,2.7,36.1,,125.0,101.0
10,2017-18,29.0,GSW,NBA,SF,68.0,68.0,2325.0,13.1,25.3,0.516,3.6,8.6,0.419,9.5,16.8,0.565,7.4,8.4,0.889,0.6,9.0,9.6,7.6,1.0,2.5,4.3,2.8,37.1,,119.0,107.0
11,2018-19,30.0,GSW,NBA,SF,78.0,78.0,2702.0,12.7,24.4,0.521,2.4,6.8,0.353,10.3,17.5,0.5870000000000001,7.9,8.9,0.885,0.6,8.2,8.8,8.0,1.0,1.5,4.0,2.7,35.7,,121.0,110.0
12,Career,,,NBA,,849.0,849.0,31305.0,12.5,25.4,0.493,2.5,6.6,0.381,10.0,18.8,0.532,9.2,10.4,0.883,1.0,8.6,9.6,5.6,1.5,1.5,4.3,2.6,36.8,,117.0,105.0
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9 seasons,,"SEA,OKC",NBA,,641.0,641.0,24208.0,12.4,25.7,0.483,2.4,6.3,0.38,10.0,19.4,0.517,9.7,11.0,0.882,1.1,8.4,9.5,5.0,1.6,1.3,4.4,2.6,36.9,,116.0,105.0
15,3 seasons,,GSW,NBA,,208.0,208.0,7097.0,12.8,24.5,0.524,2.9,7.5,0.384,10.0,17.0,0.586,7.7,8.7,0.883,0.7,9.3,10.0,7.6,1.2,2.0,3.8,2.7,36.3,,121.0,106.0
