,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1995-96,19.0,MIN,NBA,SF,80.0,43.0,2293.0,5.7,11.5,0.491,0.1,0.4,0.28600000000000003,5.5,11.1,0.499,1.6,2.3,0.705,2.7,5.1,7.9,2.3,1.4,2.1,1.7,3.0,13.1
1,1996-97,20.0,MIN,NBA,SF,77.0,77.0,2995.0,6.6,13.2,0.499,0.1,0.3,0.28600000000000003,6.5,13.0,0.503,2.5,3.3,0.754,2.3,5.1,7.4,2.8,1.3,2.0,2.1,2.4,15.7
2,1997-98,21.0,MIN,NBA,PF,82.0,82.0,3222.0,7.1,14.4,0.491,0.0,0.2,0.188,7.1,14.3,0.495,2.7,3.7,0.738,2.5,6.3,8.8,3.9,1.6,1.7,2.1,2.5,17.0
3,1998-99,22.0,MIN,NBA,PF,47.0,47.0,1780.0,8.4,18.2,0.46,0.1,0.3,0.28600000000000003,8.3,17.9,0.46299999999999997,2.9,4.2,0.7040000000000001,3.4,6.5,9.9,4.1,1.6,1.7,2.7,3.1,19.8
4,1999-00,23.0,MIN,NBA,PF,81.0,81.0,3243.0,8.4,16.9,0.49700000000000005,0.3,0.9,0.37,8.1,16.0,0.504,3.4,4.5,0.765,2.5,8.1,10.6,4.5,1.3,1.4,3.0,2.3,20.6
5,2000-01,24.0,MIN,NBA,PF,81.0,81.0,3202.0,7.9,16.6,0.47700000000000004,0.2,0.7,0.28800000000000003,7.7,15.8,0.486,4.0,5.3,0.764,2.5,7.9,10.4,4.5,1.2,1.6,2.6,2.3,20.1
6,2001-02,25.0,MIN,NBA,PF,81.0,81.0,3175.0,7.5,15.9,0.47,0.4,1.3,0.319,7.1,14.6,0.484,4.1,5.1,0.8009999999999999,2.8,8.4,11.1,4.8,1.1,1.4,2.6,2.1,19.4
7,2002-03,26.0,MIN,NBA,PF,82.0,82.0,3321.0,8.1,16.1,0.502,0.2,0.8,0.282,7.8,15.3,0.513,4.1,5.4,0.7509999999999999,2.6,9.3,11.9,5.4,1.2,1.4,2.5,2.2,20.4
8,2003-04,27.0,MIN,NBA,PF,82.0,82.0,3231.0,9.0,17.9,0.499,0.1,0.5,0.256,8.8,17.5,0.506,4.1,5.2,0.7909999999999999,2.7,10.0,12.7,4.6,1.3,2.0,2.4,2.3,22.1
9,2004-05,28.0,MIN,NBA,PF,82.0,82.0,3121.0,7.9,15.7,0.502,0.1,0.3,0.24,7.8,15.4,0.507,5.1,6.3,0.8109999999999999,2.8,9.9,12.8,5.4,1.4,1.3,2.6,2.4,21.0
