,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1995-96,19.0,MIN,NBA,SF,80.0,2293.0,15.8,0.522,0.038,0.203,9.1,17.0,13.1,10.6,1.9,4.4,12.1,17.6,,1.8,2.6,4.4,0.092,,-0.7,2.4,1.7,2.1
1,1996-97,20.0,MIN,NBA,SF,77.0,2995.0,18.2,0.537,0.019,0.247,7.6,16.8,12.2,14.1,1.9,4.1,12.5,21.3,,3.4,3.9,7.3,0.11599999999999999,,0.3,2.6,2.9,3.7
2,1997-98,21.0,MIN,NBA,PF,82.0,3222.0,20.4,0.527,0.012,0.257,7.9,19.7,13.9,18.2,2.2,3.3,11.8,22.5,,5.3,4.2,9.6,0.14300000000000002,,1.9,2.9,4.8,5.5
3,1998-99,22.0,MIN,NBA,PF,47.0,1780.0,22.4,0.493,0.016,0.22899999999999998,9.7,22.0,15.4,21.3,2.3,3.5,12.0,27.8,,2.4,3.0,5.4,0.146,,2.5,3.2,5.7,3.5
4,1999-00,23.0,MIN,NBA,PF,81.0,3243.0,23.6,0.545,0.053,0.265,7.9,26.6,17.1,21.5,1.9,2.8,13.6,27.4,,6.1,5.6,11.6,0.172,,3.1,3.0,6.1,6.6
5,2000-01,24.0,MIN,NBA,PF,81.0,3202.0,23.9,0.531,0.045,0.317,7.7,25.3,16.4,21.8,1.8,3.2,12.0,27.0,,7.0,4.8,11.8,0.17600000000000002,,3.0,2.7,5.7,6.2
6,2001-02,25.0,MIN,NBA,PF,81.0,3175.0,23.8,0.536,0.083,0.32,9.0,26.5,17.8,22.4,1.6,2.9,12.5,26.0,,7.9,4.9,12.8,0.19399999999999998,,3.6,3.1,6.7,7.0
7,2002-03,26.0,MIN,NBA,PF,82.0,3321.0,26.4,0.5529999999999999,0.048,0.33899999999999997,8.6,28.5,18.8,25.8,1.8,2.8,11.9,26.4,,9.8,5.8,15.6,0.225,,5.0,3.7,8.7,9.0
8,2003-04,27.0,MIN,NBA,PF,82.0,3231.0,29.4,0.547,0.027000000000000003,0.289,9.1,30.0,20.1,24.4,2.0,4.0,10.5,29.6,,10.4,8.0,18.3,0.272,,4.9,5.0,9.9,9.8
9,2004-05,28.0,MIN,NBA,PF,82.0,3121.0,28.2,0.5670000000000001,0.018000000000000002,0.40399999999999997,9.5,30.2,20.3,27.1,2.1,2.6,12.2,27.1,,10.1,6.0,16.1,0.248,,5.3,4.4,9.7,9.3
10,2005-06,29.0,MIN,NBA,PF,76.0,2957.0,26.8,0.589,0.025,0.41100000000000003,8.9,29.7,19.6,20.2,1.9,2.7,11.3,25.5,,9.0,5.9,14.9,0.242,,4.4,3.5,7.9,7.4
11,2006-07,30.0,MIN,NBA,PF,76.0,2995.0,24.1,0.546,0.042,0.371,7.5,30.8,19.5,19.5,1.6,3.2,11.6,27.4,,5.7,4.9,10.7,0.171,,1.8,3.2,5.0,5.2
12,2007-08,31.0,BOS,NBA,PF,71.0,2328.0,25.3,0.588,0.011000000000000001,0.33899999999999997,7.3,25.1,16.8,19.9,2.3,3.1,10.8,25.5,,6.6,6.2,12.9,0.265,,2.7,4.7,7.4,5.5
13,2008-09,32.0,BOS,NBA,PF,57.0,1772.0,21.2,0.563,0.011000000000000001,0.17800000000000002,5.6,26.7,16.6,14.7,1.9,3.1,10.1,23.4,,3.0,4.1,7.1,0.193,,0.2,3.7,4.0,2.7
14,2009-10,33.0,BOS,NBA,PF,69.0,2060.0,19.4,0.569,0.006,0.28600000000000003,4.8,24.8,15.1,15.7,1.7,2.2,10.4,22.1,,3.6,3.8,7.3,0.171,,0.0,2.6,2.6,2.4
15,2010-11,34.0,BOS,NBA,PF,71.0,2220.0,20.6,0.575,0.006,0.264,4.9,28.7,17.5,13.5,2.3,2.0,11.1,22.3,,3.4,5.6,9.0,0.19399999999999998,,0.0,4.1,4.0,3.4
16,2011-12,35.0,BOS,NBA,C,60.0,1864.0,20.4,0.55,0.012,0.243,4.4,25.8,15.6,17.9,1.6,2.5,11.1,24.9,,2.6,4.3,6.9,0.17800000000000002,,0.2,3.3,3.6,2.6
17,2012-13,36.0,BOS,NBA,C,68.0,2022.0,19.2,0.535,0.019,0.23600000000000002,4.5,25.8,15.5,14.4,2.0,2.4,10.5,24.5,,1.8,3.8,5.6,0.133,,-1.2,2.3,1.0,1.5
18,2013-14,37.0,BRK,NBA,C,54.0,1109.0,13.3,0.467,0.008,0.132,6.5,32.1,19.3,12.4,2.0,3.0,15.5,18.9,,-0.7,1.9,1.2,0.054000000000000006,,-4.7,2.8,-1.9,0.0
19,2014-15,38.0,TOT,NBA,PF,47.0,952.0,15.2,0.496,0.023,0.147,5.7,31.1,18.3,13.1,2.5,1.4,12.4,17.8,,0.4,1.5,1.9,0.096,,-2.6,2.4,-0.2,0.4
20,2014-15,38.0,BRK,NBA,PF,42.0,854.0,14.8,0.486,0.022000000000000002,0.149,6.1,31.3,18.7,13.0,2.5,1.2,13.3,18.1,,0.2,1.4,1.6,0.08900000000000001,,-2.8,2.5,-0.4,0.3
21,2014-15,38.0,MIN,NBA,PF,5.0,98.0,19.3,0.58,0.032,0.129,2.3,28.9,15.2,14.3,2.6,3.2,3.0,15.2,,0.2,0.1,0.3,0.161,,-0.2,1.7,1.4,0.1
22,2015-16,39.0,MIN,NBA,PF,38.0,556.0,12.3,0.491,0.009000000000000001,0.183,3.2,27.9,15.7,16.4,2.5,1.5,11.4,11.3,,0.4,0.7,1.1,0.092,,-2.5,2.5,0.0,0.3
23,Career,,,NBA,,1462.0,50418.0,22.7,0.546,0.03,0.293,7.6,26.0,17.0,19.3,1.9,3.0,11.8,24.7,,99.9,91.5,191.4,0.182,,2.1,3.3,5.4,94.0
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,14 seasons,,MIN,NBA,,970.0,36189.0,23.7,0.5429999999999999,0.037000000000000005,0.309,8.4,25.6,17.1,20.8,1.9,3.2,12.0,25.3,,79.5,60.3,139.8,0.185,,2.9,3.3,6.3,75.5
26,6 seasons,,BOS,NBA,,396.0,12266.0,21.1,0.564,0.011000000000000001,0.262,5.3,26.2,16.2,16.1,2.0,2.6,10.7,23.8,,21.0,27.8,48.8,0.191,,0.4,3.5,3.9,18.1
27,2 seasons,,BRK,NBA,,96.0,1963.0,13.9,0.47600000000000003,0.013999999999999999,0.139,6.3,31.8,19.1,12.7,2.2,2.3,14.5,18.5,,-0.5,3.3,2.8,0.069,,-3.9,2.7,-1.2,0.4
