,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2009-10,20.0,OKC,NBA,SG,76.0,0.0,1738.0,4.8,12.0,0.40299999999999997,1.9,5.1,0.375,2.9,6.8,0.424,4.0,5.0,0.8079999999999999,1.0,4.1,5.1,2.8,1.7,0.4,2.2,4.1,15.6
1,2010-11,21.0,OKC,NBA,SG,82.0,5.0,2189.0,4.9,11.2,0.436,1.9,5.3,0.349,3.0,5.9,0.514,4.8,5.6,0.843,0.7,3.5,4.2,2.9,1.5,0.4,1.7,3.4,16.4
2,2011-12,22.0,OKC,NBA,SG,62.0,2.0,1946.0,5.7,11.6,0.491,2.1,5.4,0.39,3.6,6.2,0.579,5.8,6.8,0.846,0.6,4.1,4.7,4.2,1.1,0.3,2.5,2.8,19.3
3,2012-13,23.0,HOU,NBA,SG,78.0,78.0,2985.0,7.1,16.1,0.43799999999999994,2.2,5.9,0.368,4.9,10.3,0.47700000000000004,8.1,9.6,0.851,0.7,3.8,4.6,5.5,1.7,0.5,3.6,2.1,24.4
4,2013-14,24.0,HOU,NBA,SG,73.0,73.0,2777.0,7.1,15.6,0.456,2.3,6.3,0.366,4.8,9.4,0.515,7.5,8.6,0.866,0.8,3.7,4.5,5.8,1.5,0.4,3.4,2.3,24.0
5,2014-15,25.0,HOU,NBA,SG,81.0,81.0,2981.0,7.8,17.8,0.44,2.5,6.7,0.375,5.3,11.0,0.48,8.6,10.0,0.868,0.9,4.6,5.5,6.8,1.9,0.7,3.9,2.5,26.8
6,2015-16,26.0,HOU,NBA,SG,82.0,82.0,3125.0,8.2,18.6,0.439,2.7,7.6,0.359,5.5,11.1,0.494,8.3,9.6,0.86,0.7,5.0,5.8,7.1,1.6,0.6,4.3,2.6,27.4
7,2016-17,27.0,HOU,NBA,PG,81.0,81.0,2947.0,8.2,18.7,0.44,3.2,9.2,0.34700000000000003,5.0,9.5,0.53,9.1,10.8,0.847,1.2,6.9,8.1,11.1,1.5,0.5,5.7,2.6,28.8
8,2017-18,28.0,HOU,NBA,SG,72.0,72.0,2551.0,9.2,20.4,0.449,3.7,10.2,0.36700000000000005,5.4,10.3,0.531,8.8,10.3,0.858,0.6,4.9,5.5,8.9,1.8,0.7,4.4,2.4,30.9
9,2018-19,29.0,HOU,NBA,PG,78.0,78.0,2867.0,10.6,24.0,0.442,4.7,12.9,0.368,5.8,11.1,0.528,9.5,10.8,0.879,0.8,5.7,6.5,7.4,2.0,0.7,4.9,3.1,35.4
10,Career,,,NBA,,765.0,552.0,26106.0,7.6,17.1,0.44299999999999995,2.8,7.7,0.365,4.8,9.5,0.506,7.7,9.0,0.857,0.8,4.7,5.5,6.5,1.6,0.5,3.8,2.7,25.7
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7 seasons,,HOU,NBA,,545.0,545.0,20233.0,8.3,18.7,0.44299999999999995,3.0,8.3,0.364,5.3,10.4,0.506,8.6,9.9,0.861,0.8,5.0,5.8,7.5,1.7,0.6,4.3,2.5,28.2
13,3 seasons,,OKC,NBA,,220.0,7.0,5873.0,5.1,11.6,0.444,2.0,5.3,0.37,3.2,6.3,0.506,4.9,5.8,0.835,0.7,3.9,4.6,3.3,1.4,0.4,2.1,3.4,17.1
