,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
0,2009-10,20.0,OKC,NBA,SG,76.0,0.0,1738.0,6.9,17.1,0.40299999999999997,2.8,7.4,0.375,4.2,9.8,0.424,5.8,7.1,0.8079999999999999,1.4,5.8,7.2,4.1,2.4,0.6,3.1,5.9,22.3,,109.0,104.0
1,2010-11,21.0,OKC,NBA,SG,82.0,5.0,2189.0,7.0,16.2,0.436,2.7,7.7,0.349,4.4,8.5,0.514,6.8,8.1,0.843,1.0,5.0,6.0,4.2,2.2,0.6,2.5,4.9,23.6,,119.0,108.0
2,2011-12,22.0,OKC,NBA,SG,62.0,2.0,1946.0,8.2,16.7,0.491,3.0,7.7,0.39,5.2,8.9,0.579,8.3,9.8,0.846,0.8,5.9,6.7,6.1,1.6,0.4,3.6,4.0,27.7,,125.0,105.0
3,2012-13,23.0,HOU,NBA,SG,78.0,78.0,2985.0,9.8,22.4,0.43799999999999994,3.0,8.1,0.368,6.8,14.2,0.47700000000000004,11.3,13.3,0.851,1.0,5.3,6.3,7.6,2.4,0.6,4.9,3.0,33.8,,116.0,106.0
4,2013-14,24.0,HOU,NBA,SG,73.0,73.0,2777.0,9.9,21.6,0.456,3.2,8.7,0.366,6.7,13.0,0.515,10.3,11.9,0.866,1.1,5.1,6.2,8.0,2.1,0.5,4.8,3.2,33.2,,120.0,107.0
5,2014-15,25.0,HOU,NBA,SG,81.0,81.0,2981.0,10.8,24.5,0.44,3.5,9.3,0.375,7.3,15.3,0.48,11.9,13.7,0.868,1.3,6.4,7.7,9.4,2.6,1.0,5.4,3.5,37.0,,118.0,103.0
6,2015-16,26.0,HOU,NBA,SG,82.0,82.0,3125.0,11.2,25.4,0.439,3.7,10.3,0.359,7.5,15.1,0.494,11.3,13.2,0.86,1.0,6.9,7.9,9.6,2.2,0.8,5.9,3.6,37.4,,115.0,108.0
7,2016-17,27.0,HOU,NBA,PG,81.0,81.0,2947.0,11.0,25.0,0.44,4.3,12.3,0.34700000000000003,6.7,12.7,0.53,12.1,14.3,0.847,1.5,9.2,10.7,14.8,2.0,0.6,7.6,3.5,38.4,,118.0,107.0
8,2017-18,28.0,HOU,NBA,SG,72.0,72.0,2551.0,12.6,27.9,0.449,5.1,13.9,0.36700000000000005,7.4,14.0,0.531,12.0,14.0,0.858,0.8,6.7,7.5,12.2,2.4,1.0,6.1,3.3,42.3,,120.0,105.0
9,2018-19,29.0,HOU,NBA,PG,78.0,78.0,2867.0,14.4,32.7,0.442,6.5,17.6,0.368,8.0,15.1,0.528,12.9,14.7,0.879,1.1,7.7,8.9,10.0,2.7,1.0,6.6,4.2,48.2,,118.0,108.0
10,Career,,,NBA,,765.0,552.0,26106.0,10.5,23.7,0.44299999999999995,3.9,10.6,0.365,6.6,13.1,0.506,10.7,12.5,0.857,1.1,6.5,7.6,9.0,2.3,0.7,5.3,3.8,35.5,,118.0,106.0
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7 seasons,,HOU,NBA,,545.0,545.0,20233.0,11.3,25.6,0.44299999999999995,4.2,11.4,0.364,7.2,14.2,0.506,11.7,13.6,0.861,1.1,6.8,7.9,10.2,2.3,0.8,5.9,3.5,38.5,,118.0,106.0
13,3 seasons,,OKC,NBA,,220.0,7.0,5873.0,7.4,16.6,0.444,2.8,7.6,0.37,4.6,9.0,0.506,7.0,8.4,0.835,1.0,5.6,6.6,4.8,2.1,0.5,3.1,4.9,24.6,,118.0,106.0
