,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2009-10,20.0,OKC,NBA,SG,76.0,1738.0,14.0,0.551,0.429,0.415,3.2,12.7,8.1,12.3,2.4,0.9,13.4,20.4,,2.0,2.5,4.5,0.124,,0.7,0.3,1.0,1.3
1,2010-11,21.0,OKC,NBA,SG,82.0,2189.0,16.4,0.598,0.474,0.501,2.3,11.0,6.8,12.8,2.2,0.8,11.3,19.5,,5.0,2.1,7.1,0.156,,2.9,-0.6,2.3,2.4
2,2011-12,22.0,OKC,NBA,SG,62.0,1946.0,21.1,0.66,0.46399999999999997,0.5870000000000001,1.9,12.2,7.4,19.3,1.6,0.6,14.8,21.6,,7.5,1.8,9.3,0.23,,5.6,-1.1,4.5,3.2
3,2012-13,23.0,HOU,NBA,SG,78.0,2985.0,23.0,0.6,0.364,0.5920000000000001,2.4,11.9,7.2,25.7,2.4,1.0,14.9,29.0,,9.8,3.0,12.8,0.20600000000000002,,5.4,0.1,5.5,5.7
4,2013-14,24.0,HOU,NBA,SG,73.0,2777.0,23.5,0.618,0.401,0.552,2.6,10.7,6.9,27.3,2.1,0.8,15.0,27.8,,10.1,2.7,12.8,0.221,,6.2,-0.5,5.7,5.4
5,2014-15,25.0,HOU,NBA,SG,81.0,2981.0,26.7,0.605,0.37799999999999995,0.561,2.8,14.2,8.5,34.6,2.6,1.6,14.9,31.3,,12.2,4.2,16.4,0.265,,7.4,1.0,8.4,7.8
6,2015-16,26.0,HOU,NBA,SG,82.0,3125.0,25.3,0.598,0.406,0.518,2.2,15.6,8.8,35.4,2.2,1.4,15.9,32.5,,10.7,2.6,13.3,0.204,,7.1,-0.4,6.7,6.9
7,2016-17,27.0,HOU,NBA,PG,81.0,2947.0,27.4,0.613,0.493,0.575,3.5,20.9,12.2,50.7,2.0,1.0,19.5,34.2,,11.5,3.6,15.0,0.245,,8.7,1.5,10.1,9.0
8,2017-18,28.0,HOU,NBA,SG,72.0,2551.0,29.8,0.619,0.498,0.502,1.8,15.2,8.6,45.1,2.4,1.7,15.1,36.1,,11.6,3.8,15.4,0.289,,9.6,1.3,10.9,8.3
9,2018-19,29.0,HOU,NBA,PG,78.0,2867.0,30.6,0.616,0.539,0.449,2.5,17.8,10.0,39.5,2.7,1.7,14.5,40.5,,11.4,3.8,15.2,0.254,,10.5,1.1,11.7,9.9
10,Career,,,NBA,,765.0,26106.0,24.4,0.609,0.447,0.527,2.5,14.5,8.6,31.8,2.3,1.2,15.3,30.2,,92.0,29.9,121.9,0.22399999999999998,,6.8,0.3,7.1,59.9
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7 seasons,,HOU,NBA,,545.0,20233.0,26.5,0.61,0.446,0.531,2.6,15.2,8.9,36.8,2.3,1.3,15.7,33.0,,77.4,23.6,100.9,0.239,,7.8,0.6,8.4,53.0
13,3 seasons,,OKC,NBA,,220.0,5873.0,17.2,0.605,0.457,0.503,2.4,11.9,7.4,14.8,2.1,0.7,13.1,20.4,,14.6,6.4,21.0,0.171,,3.1,-0.5,2.7,6.9
