,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1996-97,21.0,PHI,NBA,PG,76.0,74.0,40.1,8.2,19.8,0.41600000000000004,2.0,6.0,0.341,6.2,13.8,0.44799999999999995,0.467,5.0,7.2,0.7020000000000001,1.5,2.6,4.1,7.5,2.1,0.3,4.4,3.1,23.5
1,1997-98,22.0,PHI,NBA,PG,80.0,80.0,39.4,8.1,17.6,0.461,0.9,2.9,0.298,7.2,14.7,0.494,0.486,4.9,6.7,0.7290000000000001,1.1,2.6,3.7,6.2,2.2,0.3,3.1,2.5,22.0
2,1998-99,23.0,PHI,NBA,SG,48.0,48.0,41.5,9.1,22.0,0.41200000000000003,1.2,4.1,0.29100000000000004,7.9,17.9,0.44,0.439,7.4,9.9,0.7509999999999999,1.4,3.5,4.9,4.6,2.3,0.1,3.5,2.0,26.8
3,1999-00,24.0,PHI,NBA,SG,70.0,70.0,40.8,10.4,24.8,0.42100000000000004,1.3,3.7,0.341,9.1,21.0,0.435,0.446,6.3,8.9,0.713,1.0,2.8,3.8,4.7,2.1,0.1,3.3,2.3,28.4
4,2000-01,25.0,PHI,NBA,SG,71.0,71.0,42.0,10.7,25.5,0.42,1.4,4.3,0.32,9.4,21.2,0.441,0.447,8.2,10.1,0.8140000000000001,0.7,3.1,3.8,4.6,2.5,0.3,3.3,2.1,31.1
5,2001-02,26.0,PHI,NBA,SG,60.0,59.0,43.7,11.1,27.8,0.39799999999999996,1.3,4.5,0.29100000000000004,9.8,23.4,0.419,0.42200000000000004,7.9,9.8,0.812,0.7,3.8,4.5,5.5,2.8,0.2,4.0,1.7,31.4
6,2002-03,27.0,PHI,NBA,SG,82.0,82.0,42.5,9.8,23.7,0.414,1.0,3.7,0.27699999999999997,8.8,20.0,0.44,0.436,7.0,9.0,0.774,0.8,3.4,4.2,5.5,2.7,0.2,3.5,1.8,27.6
7,2003-04,28.0,PHI,NBA,SG,48.0,47.0,42.5,9.1,23.4,0.387,1.2,4.1,0.28600000000000003,7.9,19.3,0.408,0.41200000000000003,7.1,9.5,0.745,0.7,3.0,3.7,6.8,2.4,0.1,4.4,1.8,26.4
8,2004-05,29.0,PHI,NBA,PG,75.0,75.0,42.3,10.3,24.2,0.424,1.4,4.5,0.308,8.9,19.7,0.451,0.45299999999999996,8.7,10.5,0.835,0.7,3.3,4.0,7.9,2.4,0.1,4.6,1.9,30.7
9,2005-06,30.0,PHI,NBA,PG,72.0,72.0,43.1,11.3,25.3,0.447,1.0,3.1,0.32299999999999995,10.3,22.2,0.465,0.467,9.4,11.5,0.8140000000000001,0.6,2.6,3.2,7.4,1.9,0.1,3.4,1.7,33.0
10,2006-07,31.0,TOT,NBA,SG-PG,65.0,64.0,42.5,8.9,20.2,0.442,1.0,3.0,0.315,8.0,17.2,0.465,0.466,7.5,9.4,0.795,0.4,2.6,3.0,7.2,1.9,0.2,4.1,1.5,26.3
11,2006-07,31.0,PHI,NBA,PG,15.0,15.0,42.7,10.1,24.4,0.413,0.8,3.5,0.226,9.3,20.9,0.444,0.429,10.3,11.6,0.885,0.5,2.3,2.7,7.3,2.2,0.1,4.4,1.4,31.2
12,2006-07,31.0,DEN,NBA,SG,50.0,49.0,42.4,8.6,18.9,0.45399999999999996,1.0,2.9,0.34700000000000003,7.6,16.1,0.473,0.48,6.6,8.7,0.759,0.3,2.7,3.0,7.2,1.8,0.2,4.0,1.5,24.8
13,2007-08,32.0,DEN,NBA,SG,82.0,82.0,41.8,8.7,19.0,0.45799999999999996,1.2,3.4,0.345,7.5,15.6,0.48200000000000004,0.488,7.9,9.7,0.809,0.6,2.4,3.0,7.1,2.0,0.1,3.0,1.3,26.4
14,2008-09,33.0,TOT,NBA,PG-SG,57.0,53.0,36.7,6.1,14.6,0.41700000000000004,0.5,1.7,0.28300000000000003,5.6,12.9,0.435,0.434,4.8,6.1,0.7809999999999999,0.5,2.5,3.0,5.0,1.5,0.1,2.6,1.5,17.5
15,2008-09,33.0,DEN,NBA,SG,3.0,3.0,41.0,6.0,13.3,0.45,0.7,2.7,0.25,5.3,10.7,0.5,0.475,6.0,8.3,0.72,1.0,1.7,2.7,6.7,1.0,0.3,3.3,1.0,18.7
16,2008-09,33.0,DET,NBA,PG,54.0,50.0,36.5,6.1,14.7,0.41600000000000004,0.5,1.7,0.28600000000000003,5.6,13.0,0.43200000000000005,0.43200000000000005,4.7,6.0,0.7859999999999999,0.5,2.6,3.1,4.9,1.6,0.1,2.5,1.5,17.4
17,2009-10,34.0,TOT,NBA,SG-PG,28.0,24.0,30.9,4.9,11.3,0.43,0.3,0.9,0.36,4.5,10.4,0.436,0.445,3.7,4.7,0.794,0.6,2.3,2.8,4.0,0.7,0.1,2.3,1.7,13.8
18,2009-10,34.0,MEM,NBA,PG,3.0,0.0,22.3,5.0,8.7,0.5770000000000001,0.3,0.3,1.0,4.7,8.3,0.56,0.596,2.0,4.0,0.5,0.3,1.0,1.3,3.7,0.3,0.0,2.3,1.7,12.3
19,2009-10,34.0,PHI,NBA,SG,25.0,24.0,31.9,4.8,11.6,0.41700000000000004,0.3,1.0,0.33299999999999996,4.5,10.6,0.425,0.431,3.9,4.8,0.8240000000000001,0.6,2.4,3.0,4.1,0.7,0.1,2.3,1.7,13.9
