,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
0,1996-97,21.0,PHI,NBA,PG,76.0,74.0,3045.0,10.3,24.9,0.41600000000000004,2.6,7.5,0.341,7.8,17.4,0.44799999999999995,6.3,9.0,0.7020000000000001,1.9,3.3,5.2,9.4,2.6,0.4,5.6,3.9,29.6,,104.0,112.0
1,1997-98,22.0,PHI,NBA,PG,80.0,80.0,3150.0,10.9,23.7,0.461,1.2,4.0,0.298,9.8,19.7,0.494,6.6,9.0,0.7290000000000001,1.4,3.5,5.0,8.3,3.0,0.4,4.1,3.4,29.6,,109.0,106.0
2,1998-99,23.0,PHI,NBA,SG,48.0,48.0,1990.0,11.8,28.7,0.41200000000000003,1.6,5.4,0.29100000000000004,10.3,23.3,0.44,9.7,12.9,0.7509999999999999,1.8,4.6,6.4,6.1,3.0,0.2,4.5,2.7,34.9,,105.0,99.0
3,1999-00,24.0,PHI,NBA,SG,70.0,70.0,2853.0,13.2,31.5,0.42100000000000004,1.6,4.7,0.341,11.6,26.7,0.435,8.0,11.3,0.713,1.3,3.6,4.8,6.0,2.6,0.1,4.2,2.9,36.1,,101.0,102.0
4,2000-01,25.0,PHI,NBA,SG,71.0,71.0,2979.0,13.6,32.2,0.42,1.7,5.4,0.32,11.8,26.8,0.441,10.4,12.8,0.8140000000000001,0.9,4.0,4.9,5.8,3.2,0.4,4.2,2.6,39.3,,106.0,99.0
5,2001-02,26.0,PHI,NBA,SG,60.0,59.0,2622.0,13.7,34.4,0.39799999999999996,1.6,5.5,0.29100000000000004,12.1,28.9,0.419,9.8,12.0,0.812,0.9,4.6,5.5,6.8,3.5,0.3,4.9,2.1,38.8,,101.0,100.0
6,2002-03,27.0,PHI,NBA,SG,82.0,82.0,3485.0,12.1,29.2,0.414,1.3,4.6,0.27699999999999997,10.8,24.7,0.44,8.6,11.1,0.774,1.0,4.2,5.2,6.8,3.4,0.2,4.3,2.2,34.1,,103.0,102.0
7,2003-04,28.0,PHI,NBA,SG,48.0,47.0,2040.0,11.6,30.1,0.387,1.5,5.3,0.28600000000000003,10.1,24.8,0.408,9.1,12.2,0.745,0.9,3.8,4.8,8.7,3.1,0.1,5.6,2.3,33.8,,96.0,102.0
8,2004-05,29.0,PHI,NBA,PG,75.0,75.0,3174.0,12.3,29.0,0.424,1.7,5.4,0.308,10.6,23.6,0.451,10.4,12.5,0.835,0.8,3.9,4.8,9.5,2.9,0.1,5.5,2.2,36.7,,105.0,105.0
9,2005-06,30.0,PHI,NBA,PG,72.0,72.0,3103.0,13.6,30.4,0.447,1.2,3.7,0.32299999999999995,12.4,26.7,0.465,11.3,13.8,0.8140000000000001,0.7,3.1,3.9,8.9,2.3,0.2,4.1,2.0,39.7,,111.0,110.0
10,2006-07,31.0,TOT,NBA,SG-PG,65.0,64.0,2761.0,10.5,23.8,0.442,1.1,3.6,0.315,9.4,20.2,0.465,8.8,11.1,0.795,0.4,3.1,3.5,8.5,2.2,0.2,4.9,1.7,31.0,,106.0,108.0
