,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1996-97,21.0,PHI,NBA,PG,76.0,3045.0,18.0,0.513,0.303,0.36200000000000004,4.0,7.2,5.6,33.6,2.6,0.6,16.2,28.9,,3.1,1.0,4.1,0.065,,3.4,-2.0,1.5,2.7
1,1997-98,22.0,PHI,NBA,PG,80.0,3150.0,20.4,0.535,0.16699999999999998,0.38,3.1,7.7,5.4,30.6,3.0,0.6,12.9,26.9,,6.3,2.8,9.0,0.138,,4.5,-0.7,3.8,4.6
2,1998-99,23.0,PHI,NBA,SG,48.0,1990.0,22.2,0.508,0.188,0.449,3.8,10.1,6.9,24.2,3.0,0.3,11.7,32.6,,4.3,2.9,7.2,0.17300000000000001,,4.9,-0.3,4.6,3.3
3,1999-00,24.0,PHI,NBA,SG,70.0,2853.0,20.0,0.496,0.151,0.358,2.7,7.7,5.2,23.0,2.6,0.1,10.3,34.4,,3.3,3.6,6.9,0.11599999999999999,,3.4,-0.8,2.6,3.3
4,2000-01,25.0,PHI,NBA,SG,71.0,2979.0,24.0,0.518,0.16899999999999998,0.397,1.9,8.3,5.2,23.0,3.2,0.5,10.0,35.9,,7.3,4.5,11.8,0.19,,5.0,-0.1,4.8,5.1
5,2001-02,26.0,PHI,NBA,SG,60.0,2622.0,21.9,0.489,0.161,0.35100000000000003,1.9,9.6,5.8,27.6,3.5,0.4,11.0,37.8,,2.6,4.3,6.9,0.126,,3.7,0.2,3.8,3.9
6,2002-03,27.0,PHI,NBA,SG,82.0,3485.0,21.2,0.5,0.156,0.379,2.3,9.5,5.8,25.1,3.4,0.3,11.2,32.9,,5.0,4.2,9.2,0.127,,3.1,-0.3,2.8,4.2
7,2003-04,28.0,PHI,NBA,SG,48.0,2040.0,19.3,0.478,0.177,0.40399999999999997,2.0,8.2,5.1,34.4,3.1,0.2,13.6,35.3,,0.5,2.3,2.8,0.066,,3.1,-0.6,2.5,2.3
8,2004-05,29.0,PHI,NBA,PG,75.0,3174.0,23.2,0.532,0.18600000000000003,0.43200000000000005,1.8,8.9,5.3,37.6,2.9,0.2,13.7,35.0,,5.3,3.7,9.0,0.136,,4.8,-0.5,4.3,5.0
9,2005-06,30.0,PHI,NBA,PG,72.0,3103.0,25.9,0.5429999999999999,0.122,0.455,1.7,7.1,4.4,34.9,2.3,0.2,10.2,35.8,,8.8,1.8,10.6,0.165,,6.0,-2.5,3.5,4.3
10,2006-07,31.0,TOT,NBA,SG-PG,65.0,2761.0,19.6,0.54,0.15,0.465,1.0,6.9,4.0,29.6,2.2,0.3,14.5,29.3,,4.0,2.2,6.2,0.10800000000000001,,2.2,-1.5,0.8,1.9
11,2006-07,31.0,PHI,NBA,PG,15.0,640.0,23.5,0.529,0.145,0.475,1.3,6.4,3.8,34.0,2.7,0.1,13.0,36.7,,1.0,0.5,1.6,0.11900000000000001,,4.1,-2.2,2.0,0.6
12,2006-07,31.0,DEN,NBA,SG,50.0,2121.0,18.4,0.545,0.152,0.46,0.9,7.1,4.0,28.3,2.1,0.4,15.1,27.1,,2.9,1.7,4.6,0.105,,1.6,-1.2,0.4,1.3
13,2007-08,32.0,DEN,NBA,SG,82.0,3424.0,20.9,0.5670000000000001,0.177,0.512,1.5,6.1,3.8,27.4,2.2,0.2,11.4,26.7,,8.9,2.8,11.6,0.163,,3.5,-1.9,1.6,3.1
14,2008-09,33.0,TOT,NBA,PG-SG,57.0,2093.0,15.8,0.504,0.11900000000000001,0.41600000000000004,1.7,8.2,4.9,23.1,2.3,0.2,12.9,25.7,,0.9,1.9,2.9,0.066,,0.0,-0.7,-0.7,0.7
15,2008-09,33.0,DEN,NBA,SG,3.0,123.0,15.2,0.5489999999999999,0.2,0.625,2.9,4.6,3.8,25.9,1.2,0.6,16.4,22.1,,0.2,0.1,0.2,0.087,,-0.3,-3.2,-3.5,0.0
16,2008-09,33.0,DET,NBA,PG,54.0,1970.0,15.9,0.502,0.115,0.406,1.6,8.4,5.0,23.0,2.4,0.2,12.7,25.9,,0.8,1.9,2.7,0.065,,0.0,-0.5,-0.5,0.7
17,2009-10,34.0,TOT,NBA,SG-PG,28.0,865.0,13.4,0.515,0.079,0.415,2.1,8.7,5.4,21.0,1.2,0.2,14.6,23.0,,0.5,0.2,0.7,0.037000000000000005,,-1.4,-2.8,-4.2,-0.5
18,2009-10,34.0,MEM,NBA,PG,3.0,67.0,16.9,0.591,0.038,0.462,1.7,5.2,3.5,28.0,0.8,0.0,18.3,25.0,,0.1,0.0,0.1,0.07400000000000001,,-0.2,-5.1,-5.3,-0.1
19,2009-10,34.0,PHI,NBA,SG,25.0,798.0,13.1,0.508,0.083,0.41,2.2,9.0,5.5,20.4,1.2,0.2,14.3,22.8,,0.4,0.2,0.6,0.034,,-1.5,-2.6,-4.1,-0.4
20,Career,,,NBA,,914.0,37584.0,20.9,0.518,0.17,0.41,2.2,8.1,5.1,28.8,2.7,0.3,12.2,31.8,,60.9,38.1,99.0,0.126,,3.6,-1.0,2.7,44.1
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,12 seasons,,PHI,NBA,,722.0,29879.0,21.5,0.513,0.17300000000000001,0.39799999999999996,2.5,8.4,5.4,29.4,2.9,0.3,12.0,33.2,,48.0,31.7,79.7,0.128,,4.1,-0.9,3.2,39.0
23,3 seasons,,DEN,NBA,,135.0,5668.0,19.8,0.5589999999999999,0.168,0.495,1.3,6.4,3.9,27.7,2.2,0.3,12.9,26.7,,12.0,4.5,16.5,0.14,,2.7,-1.7,1.0,4.3
