,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
0,2003-04,19.0,CLE,NBA,SG,79.0,79.0,3122.0,10.5,25.3,0.41700000000000004,1.1,3.7,0.29,9.5,21.6,0.43799999999999994,5.9,7.8,0.754,1.7,5.6,7.3,7.9,2.2,1.0,4.6,2.5,28.0,,99.0,104.0
1,2004-05,20.0,CLE,NBA,SF,80.0,80.0,3388.0,12.6,26.6,0.47200000000000003,1.7,4.9,0.35100000000000003,10.8,21.7,0.499,7.5,10.0,0.75,1.8,7.5,9.3,9.1,2.8,0.8,4.1,2.3,34.3,,114.0,103.0
2,2005-06,21.0,CLE,NBA,SF,79.0,79.0,3361.0,13.9,29.0,0.48,2.0,6.0,0.335,11.9,23.0,0.518,9.6,12.9,0.738,1.2,7.6,8.8,8.3,2.0,1.0,4.1,2.9,39.4,,115.0,104.0
3,2006-07,22.0,CLE,NBA,SF,78.0,78.0,3190.0,12.8,26.9,0.47600000000000003,1.6,5.1,0.319,11.2,21.7,0.513,8.1,11.6,0.698,1.4,7.3,8.7,7.8,2.1,0.9,4.1,2.8,35.3,,112.0,100.0
4,2007-08,23.0,CLE,NBA,SF,75.0,74.0,3027.0,14.0,28.9,0.484,2.0,6.3,0.315,12.0,22.6,0.531,9.7,13.6,0.7120000000000001,2.3,8.1,10.4,9.5,2.4,1.4,4.5,2.9,39.6,,116.0,104.0
5,2008-09,24.0,CLE,NBA,SF,81.0,81.0,3054.0,14.0,28.6,0.489,2.3,6.8,0.344,11.6,21.8,0.535,10.5,13.5,0.78,1.9,9.0,10.9,10.4,2.4,1.6,4.3,2.5,40.8,,122.0,99.0
6,2009-10,25.0,CLE,NBA,SF,76.0,76.0,2966.0,13.6,27.1,0.503,2.3,6.9,0.33299999999999996,11.3,20.2,0.56,10.5,13.7,0.767,1.3,8.6,9.8,11.5,2.2,1.4,4.6,2.1,40.0,,121.0,102.0
7,2010-11,26.0,MIA,NBA,SF,79.0,79.0,3063.0,13.1,25.6,0.51,1.6,4.8,0.33,11.5,20.8,0.552,8.7,11.4,0.759,1.4,8.8,10.2,9.6,2.1,0.9,4.9,2.8,36.4,,116.0,102.0
8,2011-12,27.0,MIA,NBA,SF,62.0,62.0,2326.0,14.1,26.4,0.531,1.2,3.4,0.36200000000000004,12.8,23.1,0.556,8.8,11.4,0.7709999999999999,2.1,9.0,11.1,8.8,2.6,1.1,4.8,2.2,38.1,,118.0,97.0
9,2012-13,28.0,MIA,NBA,PF,76.0,76.0,2877.0,14.1,24.9,0.565,1.9,4.7,0.406,12.2,20.2,0.602,7.4,9.8,0.753,1.8,9.4,11.2,10.1,2.4,1.2,4.2,2.0,37.5,,125.0,101.0
10,2013-14,29.0,MIA,NBA,PF,77.0,77.0,2902.0,13.9,24.5,0.5670000000000001,2.1,5.5,0.379,11.8,19.0,0.622,8.0,10.6,0.75,1.5,8.2,9.7,8.8,2.2,0.5,4.9,2.3,37.9,,121.0,105.0
11,2014-15,30.0,CLE,NBA,SF,69.0,69.0,2493.0,13.0,26.7,0.488,2.5,7.1,0.354,10.5,19.6,0.536,7.8,11.0,0.71,1.1,7.6,8.7,10.7,2.3,1.0,5.7,2.8,36.3,,112.0,105.0
12,2015-16,31.0,CLE,NBA,SF,76.0,76.0,2709.0,14.0,26.9,0.52,1.7,5.4,0.309,12.3,21.5,0.573,6.8,9.3,0.731,2.1,8.6,10.7,9.8,2.0,0.9,4.7,2.7,36.5,,116.0,103.0
13,2016-17,32.0,CLE,NBA,SF,74.0,74.0,2794.0,13.1,24.0,0.5479999999999999,2.2,6.1,0.363,10.9,17.9,0.611,6.4,9.5,0.674,1.7,9.7,11.4,11.5,1.6,0.8,5.4,2.4,34.9,,119.0,108.0
14,2017-18,33.0,CLE,NBA,PF,82.0,82.0,3026.0,13.9,25.6,0.542,2.4,6.6,0.36700000000000005,11.5,19.0,0.603,6.3,8.6,0.731,1.6,9.9,11.5,12.1,1.9,1.1,5.6,2.2,36.4,,118.0,109.0
15,2018-19,34.0,LAL,NBA,SF,55.0,55.0,1937.0,13.4,26.3,0.51,2.7,7.9,0.33899999999999997,10.7,18.4,0.5820000000000001,6.7,10.0,0.665,1.4,9.8,11.2,10.9,1.7,0.8,4.7,2.3,36.2,,114.0,108.0
16,Career,,,NBA,,1198.0,1197.0,46235.0,13.3,26.5,0.504,1.9,5.7,0.34299999999999997,11.4,20.8,0.5479999999999999,8.0,10.9,0.736,1.6,8.4,10.0,9.8,2.2,1.0,4.7,2.5,36.7,,116.0,103.0
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,11 seasons,,CLE,NBA,,849.0,848.0,33130.0,13.2,26.9,0.49200000000000005,2.0,5.9,0.337,11.2,21.0,0.535,8.1,11.0,0.733,1.6,8.1,9.8,9.8,2.2,1.1,4.7,2.6,36.5,,115.0,104.0
19,4 seasons,,MIA,NBA,,294.0,294.0,11168.0,13.8,25.3,0.5429999999999999,1.7,4.7,0.369,12.0,20.7,0.5820000000000001,8.2,10.8,0.758,1.7,8.8,10.5,9.4,2.3,0.9,4.7,2.3,37.4,,120.0,101.0
20,1 season,,LAL,NBA,,55.0,55.0,1937.0,13.4,26.3,0.51,2.7,7.9,0.33899999999999997,10.7,18.4,0.5820000000000001,6.7,10.0,0.665,1.4,9.8,11.2,10.9,1.7,0.8,4.7,2.3,36.2,,114.0,108.0
