,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2003-04,19.0,CLE,NBA,SG,79.0,3122.0,18.3,0.488,0.145,0.308,3.5,11.8,7.6,27.8,2.2,1.3,13.9,28.2,,2.4,2.6,5.1,0.078,,2.2,-0.2,1.9,3.1
1,2004-05,20.0,CLE,NBA,SF,80.0,3388.0,25.7,0.5539999999999999,0.183,0.37799999999999995,3.8,17.0,10.2,32.9,2.8,1.1,11.8,29.7,,9.7,4.6,14.3,0.203,,6.9,1.5,8.3,8.8
2,2005-06,21.0,CLE,NBA,SF,79.0,3361.0,28.1,0.568,0.20800000000000002,0.447,2.6,17.1,9.8,32.8,2.0,1.5,10.7,33.6,,12.0,4.3,16.3,0.23199999999999998,,7.9,1.4,9.3,9.5
3,2006-07,22.0,CLE,NBA,SF,78.0,3190.0,24.5,0.552,0.191,0.43200000000000005,3.0,16.6,9.6,29.1,2.1,1.3,11.5,31.0,,8.0,5.7,13.7,0.20600000000000002,,5.4,2.0,7.4,7.6
4,2007-08,23.0,CLE,NBA,SF,75.0,3027.0,29.1,0.568,0.21899999999999997,0.47,4.9,17.8,11.1,37.3,2.4,2.1,11.4,33.5,,10.7,4.6,15.2,0.242,,9.0,2.3,11.2,10.1
5,2008-09,24.0,CLE,NBA,SF,81.0,3054.0,31.7,0.591,0.23800000000000002,0.47200000000000003,4.3,19.0,11.9,38.0,2.4,2.4,11.0,33.8,,13.7,6.5,20.3,0.318,,9.4,3.6,13.0,11.6
6,2009-10,25.0,CLE,NBA,SF,76.0,2966.0,31.1,0.604,0.253,0.506,3.0,18.5,11.1,41.8,2.2,2.0,12.3,33.5,,13.3,5.2,18.5,0.299,,9.7,2.8,12.5,10.9
7,2010-11,26.0,MIA,NBA,SF,79.0,3063.0,27.3,0.594,0.188,0.446,3.3,18.7,11.4,34.9,2.1,1.3,13.8,31.5,,10.3,5.3,15.6,0.244,,6.5,2.1,8.6,8.2
8,2011-12,27.0,MIA,NBA,SF,62.0,2326.0,30.7,0.605,0.127,0.429,5.0,19.7,12.6,33.6,2.6,1.7,13.3,32.0,,10.0,4.5,14.5,0.298,,8.3,2.7,11.0,7.6
9,2012-13,28.0,MIA,NBA,PF,76.0,2877.0,31.6,0.64,0.188,0.395,4.4,20.8,13.1,36.4,2.4,1.9,12.4,30.2,,14.6,4.7,19.3,0.322,,9.2,2.4,11.6,9.8
10,2013-14,29.0,MIA,NBA,PF,77.0,2902.0,29.3,0.649,0.226,0.43200000000000005,3.6,18.9,11.5,32.0,2.2,0.8,14.4,31.0,,12.3,3.7,15.9,0.264,,8.0,0.9,8.9,8.0
11,2014-15,30.0,CLE,NBA,SF,69.0,2493.0,25.9,0.5770000000000001,0.265,0.413,2.4,16.6,9.6,38.6,2.3,1.6,15.3,32.3,,7.4,2.9,10.4,0.19899999999999998,,6.2,1.2,7.4,5.9
12,2015-16,31.0,CLE,NBA,SF,76.0,2709.0,27.5,0.588,0.19899999999999998,0.34700000000000003,4.7,18.8,11.8,36.0,2.0,1.5,13.2,31.4,,9.6,4.0,13.6,0.242,,6.9,2.3,9.1,7.6
13,2016-17,32.0,CLE,NBA,SF,74.0,2794.0,27.0,0.619,0.254,0.395,4.0,20.7,12.6,41.3,1.6,1.3,16.1,30.0,,9.8,3.0,12.9,0.221,,6.8,1.6,8.4,7.3
14,2017-18,33.0,CLE,NBA,PF,82.0,3026.0,28.6,0.621,0.257,0.336,3.7,22.3,13.1,44.4,1.9,2.0,16.1,31.6,,11.0,3.0,14.0,0.221,,7.6,2.0,9.6,8.9
15,2018-19,34.0,LAL,NBA,SF,55.0,1937.0,25.6,0.588,0.299,0.382,3.1,21.3,12.4,39.4,1.7,1.4,13.3,31.6,,4.7,2.6,7.2,0.179,,6.2,1.9,8.1,4.9
16,Career,,,NBA,,1198.0,46235.0,27.6,0.586,0.214,0.413,3.7,18.3,11.2,35.8,2.2,1.6,13.0,31.5,,159.6,67.0,226.6,0.235,,7.3,1.9,9.1,129.8
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,11 seasons,,CLE,NBA,,849.0,33130.0,27.0,0.575,0.218,0.41100000000000003,3.6,17.8,10.7,36.1,2.2,1.6,12.9,31.7,,107.7,46.3,154.1,0.223,,7.1,1.8,8.9,91.3
19,4 seasons,,MIA,NBA,,294.0,11168.0,29.6,0.622,0.184,0.426,4.0,19.5,12.1,34.2,2.3,1.4,13.5,31.1,,47.2,18.1,65.3,0.281,,7.9,2.0,9.9,33.5
20,1 season,,LAL,NBA,,55.0,1937.0,25.6,0.588,0.299,0.382,3.1,21.3,12.4,39.4,1.7,1.4,13.3,31.6,,4.7,2.6,7.2,0.179,,6.2,1.9,8.1,4.9
