,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1996-97,22.0,PHO,NBA,PG,65.0,684.0,10.8,0.539,0.314,0.29100000000000004,2.8,8.0,5.4,29.5,1.5,0.0,24.2,17.1,,0.4,0.3,0.7,0.047,,-1.8,-2.8,-4.6,-0.5
1,1997-98,23.0,PHO,NBA,PG,76.0,1664.0,15.6,0.556,0.33399999999999996,0.147,2.3,8.8,5.6,25.2,2.0,0.2,13.6,19.6,,2.9,1.8,4.8,0.13699999999999998,,1.8,-1.2,0.5,1.1
2,1998-99,24.0,DAL,NBA,PG,40.0,1269.0,10.9,0.47100000000000003,0.41700000000000004,0.146,2.8,7.3,5.0,27.2,1.6,0.1,19.9,15.1,,0.6,0.3,1.0,0.037000000000000005,,0.1,-1.9,-1.8,0.1
3,1999-00,25.0,DAL,NBA,PG,56.0,1532.0,13.5,0.601,0.41,0.23399999999999999,2.4,6.1,4.2,25.5,1.2,0.1,20.3,14.5,,2.8,0.2,3.0,0.094,,1.3,-2.8,-1.5,0.2
4,2000-01,26.0,DAL,NBA,PG,70.0,2387.0,19.6,0.603,0.27699999999999997,0.326,2.2,8.1,5.2,34.6,1.6,0.1,18.5,21.1,,6.8,1.6,8.4,0.16899999999999998,,4.1,-1.9,2.2,2.5
5,2001-02,27.0,DAL,NBA,PG,82.0,2837.0,20.7,0.602,0.315,0.26899999999999996,2.0,7.9,5.0,36.1,1.0,0.1,15.8,23.0,,9.5,0.3,9.9,0.16699999999999998,,5.4,-3.1,2.3,3.1
6,2002-03,28.0,DAL,NBA,PG,82.0,2711.0,22.6,0.5760000000000001,0.24100000000000002,0.304,2.6,7.0,4.8,36.3,1.6,0.2,13.2,24.4,,9.7,1.9,11.6,0.20600000000000002,,5.5,-2.1,3.3,3.7
7,2003-04,29.0,DAL,NBA,PG,78.0,2612.0,20.5,0.59,0.304,0.297,2.4,7.4,4.8,38.3,1.3,0.2,17.9,19.5,,8.9,-0.1,8.8,0.162,,4.7,-3.7,1.0,2.0
8,2004-05,30.0,PHO,NBA,PG,75.0,2573.0,22.0,0.606,0.254,0.278,2.5,7.6,5.2,49.2,1.4,0.2,20.3,20.5,,9.7,1.2,10.9,0.203,,4.5,-2.9,1.7,2.4
9,2005-06,31.0,PHO,NBA,PG,79.0,2796.0,23.3,0.632,0.324,0.264,1.9,11.1,6.6,44.4,1.1,0.3,19.0,23.3,,10.3,2.1,12.4,0.212,,5.4,-1.6,3.7,4.0
10,2006-07,32.0,PHO,NBA,PG,76.0,2682.0,23.8,0.654,0.353,0.254,1.4,9.9,5.8,50.1,1.1,0.2,21.0,22.9,,10.8,1.7,12.6,0.225,,6.1,-2.3,3.8,3.9
11,2007-08,33.0,PHO,NBA,PG,81.0,2780.0,21.1,0.6409999999999999,0.396,0.255,1.2,9.6,5.7,47.3,0.9,0.1,21.6,22.0,,9.0,1.4,10.5,0.18100000000000002,,4.8,-3.2,1.6,2.6
12,2008-09,34.0,PHO,NBA,PG,74.0,2484.0,19.5,0.615,0.289,0.247,0.9,9.2,5.2,42.4,1.1,0.3,20.8,21.1,,6.7,0.5,7.3,0.14,,3.5,-3.4,0.0,1.3
13,2009-10,35.0,PHO,NBA,PG,81.0,2660.0,21.6,0.615,0.295,0.228,1.5,9.4,5.7,50.9,0.8,0.3,21.4,22.9,,9.1,0.8,9.9,0.17800000000000002,,4.9,-3.1,1.8,2.6
14,2010-11,36.0,PHO,NBA,PG,75.0,2497.0,20.8,0.601,0.253,0.307,1.8,10.2,6.0,53.1,1.0,0.1,22.4,21.4,,7.3,0.7,7.9,0.153,,3.6,-3.0,0.6,1.6
15,2011-12,37.0,PHO,NBA,PG,62.0,1961.0,20.3,0.625,0.254,0.256,1.5,9.1,5.3,53.1,1.0,0.3,27.1,19.6,,5.2,0.6,5.9,0.14400000000000002,,2.9,-3.5,-0.5,0.7
16,2012-13,38.0,LAL,NBA,PG,50.0,1627.0,16.0,0.605,0.27399999999999997,0.244,1.8,7.7,4.8,32.8,0.9,0.2,19.3,17.8,,3.7,0.6,4.3,0.127,,1.5,-2.6,-1.1,0.4
17,2013-14,39.0,LAL,NBA,PG,15.0,313.0,12.2,0.488,0.255,0.255,1.4,8.5,4.9,40.3,1.1,0.5,22.9,18.9,,0.1,0.0,0.1,0.017,,-2.5,-3.7,-6.2,-0.3
18,Career,,,NBA,,1217.0,38069.0,20.0,0.605,0.306,0.262,1.9,8.6,5.4,41.5,1.2,0.2,19.5,21.0,,113.7,16.1,129.7,0.16399999999999998,,4.0,-2.7,1.3,31.2
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,10 seasons,,PHO,NBA,,744.0,22781.0,20.8,0.617,0.31,0.253,1.7,9.4,5.7,46.4,1.1,0.2,21.0,21.5,,71.5,11.2,82.7,0.174,,4.2,-2.7,1.4,19.7
21,6 seasons,,DAL,NBA,,408.0,13348.0,19.1,0.585,0.303,0.282,2.3,7.4,4.9,34.2,1.4,0.2,16.7,20.5,,38.4,4.2,42.7,0.153,,4.1,-2.6,1.4,11.5
22,2 seasons,,LAL,NBA,,65.0,1940.0,15.4,0.585,0.271,0.24600000000000002,1.7,7.8,4.8,34.0,1.0,0.3,19.9,18.0,,3.8,0.7,4.4,0.109,,0.8,-2.7,-1.9,0.0
