,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1998-99,20.0,DAL,NBA,PF,47,24,958,5.1,12.6,0.405,0.5,2.6,0.20600000000000002,4.6,10.1,0.455,3.7,4.8,0.773,1.5,4.5,6.1,1.8,1.1,1.0,2.7,3.9,14.5
1,1999-00,21.0,DAL,NBA,PF,82,81,2938,6.3,13.7,0.461,1.4,3.7,0.379,4.9,9.9,0.491,3.5,4.3,0.83,1.2,5.3,6.5,2.5,0.8,0.8,1.7,3.1,17.6
2,2000-01,22.0,DAL,NBA,PF,82,82,3125,6.8,14.4,0.474,1.7,4.5,0.387,5.1,9.9,0.513,5.2,6.2,0.838,1.4,7.3,8.7,2.0,0.9,1.2,1.8,2.8,20.6
3,2001-02,23.0,DAL,NBA,C,76,76,2891,7.5,15.7,0.47700000000000004,1.7,4.4,0.397,5.7,11.3,0.508,5.5,6.4,0.853,1.5,7.9,9.4,2.3,1.0,1.0,1.8,2.8,22.2
4,2002-03,24.0,DAL,NBA,PF,80,80,3117,8.0,17.2,0.46299999999999997,1.7,4.5,0.379,6.3,12.7,0.493,5.6,6.3,0.8809999999999999,0.9,8.2,9.1,2.8,1.3,0.9,1.8,2.4,23.2
5,2003-04,25.0,DAL,NBA,C,77,77,2915,7.5,16.2,0.462,1.2,3.6,0.341,6.2,12.6,0.496,4.6,5.2,0.877,1.1,7.2,8.3,2.6,1.1,1.3,1.7,2.7,20.7
6,2004-05,26.0,DAL,NBA,PF,78,78,3020,7.9,17.2,0.45899999999999996,1.1,2.7,0.39899999999999997,6.8,14.5,0.47,7.3,8.4,0.8690000000000001,1.1,7.9,9.0,2.9,1.2,1.4,2.1,2.6,24.2
7,2005-06,27.0,DAL,NBA,PF,81,81,3089,8.8,18.2,0.48,1.3,3.2,0.406,7.5,15.1,0.496,6.3,7.0,0.9009999999999999,1.3,7.1,8.5,2.6,0.7,1.0,1.8,1.9,25.1
8,2006-07,28.0,DAL,NBA,PF,78,78,2820,8.6,17.1,0.502,0.9,2.2,0.41600000000000004,7.7,14.9,0.515,6.4,7.0,0.904,1.6,7.3,8.8,3.4,0.7,0.8,2.1,2.2,24.5
9,2007-08,29.0,DAL,NBA,PF,77,77,2769,8.2,17.1,0.479,1.0,2.9,0.359,7.2,14.2,0.504,6.2,7.1,0.879,1.2,7.3,8.6,3.5,0.7,0.9,2.1,2.6,23.6
10,2008-09,30.0,DAL,NBA,PF,81,81,3050,9.1,19.1,0.479,0.7,2.0,0.359,8.4,17.1,0.493,5.7,6.4,0.89,1.0,7.0,8.0,2.3,0.7,0.7,1.9,2.1,24.7
11,2009-10,31.0,DAL,NBA,PF,81,80,3039,8.5,17.7,0.48100000000000004,0.6,1.4,0.42100000000000004,7.9,16.3,0.48700000000000004,6.3,6.9,0.915,0.9,6.4,7.3,2.6,0.8,0.9,1.8,2.5,24.0
12,2010-11,32.0,DAL,NBA,PF,73,73,2504,8.8,17.0,0.517,0.9,2.4,0.39299999999999996,7.8,14.5,0.5379999999999999,5.7,6.4,0.892,0.7,6.7,7.4,2.7,0.5,0.7,2.0,2.5,24.2
13,2011-12,33.0,DAL,NBA,PF,62,62,2079,8.2,17.9,0.457,1.4,3.7,0.368,6.8,14.2,0.48100000000000004,5.5,6.1,0.8959999999999999,0.8,6.4,7.2,2.4,0.7,0.5,2.0,2.2,23.2
14,2012-13,34.0,DAL,NBA,PF,53,47,1661,7.4,15.8,0.47100000000000003,1.4,3.4,0.414,6.0,12.4,0.48700000000000004,3.6,4.2,0.86,0.8,7.1,7.9,2.9,0.8,0.8,1.5,2.0,19.9
15,2013-14,35.0,DAL,NBA,PF,80,80,2628,8.7,17.4,0.49700000000000005,1.8,4.5,0.39799999999999996,6.9,12.9,0.532,4.6,5.2,0.899,0.5,6.3,6.8,3.0,1.0,0.6,1.6,2.3,23.8
16,2014-15,36.0,DAL,NBA,PF,77,77,2282,7.7,16.8,0.45899999999999996,1.6,4.3,0.38,6.0,12.4,0.486,4.0,4.6,0.882,0.7,6.5,7.2,2.3,0.6,0.5,1.3,2.5,21.0
17,2015-16,37.0,DAL,NBA,PF,75,75,2364,7.6,16.9,0.44799999999999995,1.9,5.2,0.368,5.7,11.7,0.483,3.8,4.3,0.893,0.8,6.7,7.4,2.0,0.8,0.8,1.3,2.5,20.9
18,2016-17,38.0,DAL,NBA,PF,54,54,1424,7.5,17.1,0.43700000000000006,2.0,5.3,0.37799999999999995,5.5,11.9,0.46299999999999997,2.5,2.8,0.875,0.6,8.3,8.9,2.1,0.8,1.0,1.3,2.9,19.4
19,2017-18,39.0,DAL,NBA,C,77,77,1900,6.6,14.4,0.456,2.6,6.4,0.409,3.9,8.0,0.494,1.8,2.0,0.898,0.4,7.9,8.3,2.3,0.8,0.9,1.0,2.8,17.6
20,2018-19,40.0,DAL,NBA,PF,51,20,795,6.1,17.0,0.359,2.9,9.3,0.312,3.2,7.7,0.415,1.8,2.3,0.78,0.2,6.9,7.2,1.6,0.4,0.8,0.8,3.4,16.9
21,Career,,,NBA,,1522,1460,51368,7.8,16.6,0.47100000000000003,1.4,3.7,0.38,6.4,13.0,0.496,5.1,5.8,0.879,1.0,7.0,8.1,2.6,0.8,0.9,1.7,2.5,22.1
