,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1998-99,20.0,DAL,NBA,PF,47,958,12.8,0.491,0.20199999999999999,0.381,4.8,14.3,9.5,8.4,1.6,2.0,15.7,22.3,,0.1,0.7,0.8,0.04,,-2.0,-0.9,-2.9,-0.2
1,1999-00,21.0,DAL,NBA,PF,82,2938,17.5,0.564,0.27399999999999997,0.311,3.8,15.6,9.7,10.9,1.1,1.6,10.0,21.2,,6.1,1.9,8.1,0.132,,2.3,-0.6,1.7,2.7
2,2000-01,22.0,DAL,NBA,PF,82,3125,22.8,0.601,0.313,0.431,4.4,22.1,13.5,9.4,1.3,2.3,9.5,23.8,,10.3,4.3,14.6,0.22399999999999998,,4.3,0.5,4.7,5.3
3,2001-02,23.0,DAL,NBA,C,76,2891,24.1,0.599,0.278,0.41,4.7,24.0,14.5,10.8,1.5,1.9,8.9,25.5,,10.2,3.1,13.4,0.222,,4.6,0.1,4.7,4.8
4,2002-03,24.0,DAL,NBA,PF,80,3117,25.6,0.581,0.262,0.368,2.9,25.1,14.0,13.3,1.8,2.0,8.1,27.4,,10.8,5.3,16.1,0.249,,4.6,1.0,5.7,6.1
5,2003-04,25.0,DAL,NBA,C,77,2915,22.5,0.561,0.221,0.32299999999999995,3.3,22.2,12.5,11.3,1.6,2.6,8.3,24.5,,9.0,2.5,11.5,0.19,,3.5,0.0,3.4,4.0
6,2004-05,26.0,DAL,NBA,PF,78,3020,26.1,0.578,0.158,0.49,3.6,24.0,14.0,14.3,1.7,2.9,9.1,28.7,,10.3,5.2,15.6,0.248,,4.0,1.7,5.7,5.9
7,2005-06,27.0,DAL,NBA,PF,81,3089,28.1,0.589,0.17300000000000001,0.382,4.6,23.4,14.2,14.7,1.0,2.1,7.9,30.0,,13.5,4.3,17.7,0.275,,5.8,-0.1,5.7,6.0
8,2006-07,28.0,DAL,NBA,PF,78,2820,27.6,0.605,0.129,0.41100000000000003,5.3,23.9,14.8,17.8,1.0,1.7,9.5,28.9,,11.8,4.5,16.3,0.278,,5.4,1.3,6.7,6.2
9,2007-08,29.0,DAL,NBA,PF,77,2769,24.6,0.585,0.16699999999999998,0.414,4.1,22.8,13.8,17.8,1.0,1.9,9.3,28.8,,8.9,4.0,12.9,0.223,,4.2,0.9,5.2,5.0
10,2008-09,30.0,DAL,NBA,PF,81,3050,23.1,0.564,0.105,0.337,3.3,22.1,12.8,12.1,1.0,1.5,7.8,30.3,,7.5,3.4,10.9,0.171,,1.9,-0.7,1.2,2.4
11,2009-10,31.0,DAL,NBA,PF,81,3039,22.9,0.578,0.081,0.392,3.1,20.1,11.7,13.0,1.2,2.0,7.8,28.8,,8.4,3.9,12.3,0.19399999999999998,,2.3,0.3,2.6,3.5
12,2010-11,32.0,DAL,NBA,PF,73,2504,23.4,0.612,0.142,0.376,2.4,20.8,12.0,14.2,0.8,1.4,9.1,28.2,,7.8,3.3,11.1,0.213,,3.2,0.6,3.8,3.7
13,2011-12,33.0,DAL,NBA,PF,62,2079,21.7,0.564,0.205,0.34299999999999997,2.5,19.9,11.3,12.6,1.1,1.2,9.0,29.2,,5.0,2.6,7.6,0.175,,2.3,-0.5,1.8,2.0
14,2012-13,34.0,DAL,NBA,PF,53,1661,19.8,0.564,0.21600000000000003,0.265,2.5,21.5,12.2,13.5,1.2,1.7,7.9,24.2,,3.3,1.8,5.0,0.145,,1.7,0.0,1.7,1.5
15,2013-14,35.0,DAL,NBA,PF,80,2628,23.6,0.603,0.258,0.295,1.8,20.0,10.9,14.2,1.4,1.4,7.5,26.9,,8.6,2.3,10.9,0.19899999999999998,,4.1,-0.8,3.3,3.5
16,2014-15,36.0,DAL,NBA,PF,77,2282,19.2,0.56,0.258,0.272,2.1,19.9,11.0,10.4,0.9,1.2,6.5,24.9,,5.2,2.0,7.2,0.152,,1.7,-1.0,0.7,1.5
17,2015-16,37.0,DAL,NBA,PF,75,2364,19.0,0.555,0.308,0.252,2.4,20.3,11.4,10.1,1.1,1.8,6.4,25.5,,4.2,2.6,6.8,0.138,,1.2,-0.3,0.9,1.7
18,2016-17,38.0,DAL,NBA,PF,54,1424,17.0,0.529,0.308,0.165,1.8,28.3,14.4,10.6,1.1,2.4,6.6,25.8,,0.6,1.9,2.5,0.084,,-1.6,0.3,-1.3,0.2
19,2017-18,39.0,DAL,NBA,C,77,1900,16.7,0.575,0.445,0.142,1.2,25.2,12.8,10.4,1.1,2.1,6.0,20.5,,2.6,2.2,4.8,0.121,,0.1,0.3,0.3,1.1
20,2018-19,40.0,DAL,NBA,PF,51,795,9.6,0.469,0.545,0.133,0.7,20.5,10.6,6.9,0.5,1.9,4.3,22.5,,-0.5,0.8,0.3,0.016,,-3.8,-2.1,-5.9,-0.8
21,Career,,,NBA,,1522,51368,22.4,0.5770000000000001,0.22,0.34700000000000003,3.3,21.9,12.7,12.6,1.2,1.9,8.4,26.5,,143.8,62.6,206.3,0.193,,3.0,0.1,3.1,66.3
