,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2008-09,20.0,CHI,NBA,PG,81.0,80.0,3000.0,574.0,1208.0,0.475,16.0,72.0,0.222,558.0,1136.0,0.491,0.48200000000000004,197.0,250.0,0.7879999999999999,96.0,221.0,317.0,512.0,66.0,18.0,202.0,125.0,1361.0
1,2009-10,21.0,CHI,NBA,PG,78.0,78.0,2871.0,672.0,1373.0,0.489,16.0,60.0,0.267,656.0,1313.0,0.5,0.495,259.0,338.0,0.7659999999999999,65.0,228.0,293.0,469.0,57.0,27.0,217.0,96.0,1619.0
2,2010-11,22.0,CHI,NBA,PG,81.0,81.0,3026.0,711.0,1597.0,0.445,128.0,385.0,0.332,583.0,1212.0,0.48100000000000004,0.485,476.0,555.0,0.858,81.0,249.0,330.0,623.0,85.0,51.0,278.0,136.0,2026.0
3,2011-12,23.0,CHI,NBA,PG,39.0,39.0,1375.0,302.0,695.0,0.435,54.0,173.0,0.312,248.0,522.0,0.475,0.473,194.0,239.0,0.812,26.0,105.0,131.0,307.0,35.0,28.0,119.0,52.0,852.0
4,2013-14,25.0,CHI,NBA,PG,10.0,10.0,311.0,58.0,164.0,0.354,16.0,47.0,0.34,42.0,117.0,0.359,0.402,27.0,32.0,0.8440000000000001,9.0,23.0,32.0,43.0,5.0,1.0,34.0,15.0,159.0
5,2014-15,26.0,CHI,NBA,PG,51.0,51.0,1530.0,338.0,835.0,0.405,76.0,271.0,0.28,262.0,564.0,0.465,0.45,152.0,187.0,0.813,35.0,126.0,161.0,251.0,36.0,16.0,161.0,63.0,904.0
6,2015-16,27.0,CHI,NBA,PG,66.0,66.0,2097.0,447.0,1048.0,0.42700000000000005,44.0,150.0,0.293,403.0,898.0,0.449,0.44799999999999995,142.0,179.0,0.7929999999999999,46.0,179.0,225.0,311.0,44.0,14.0,175.0,84.0,1080.0
7,2016-17,28.0,NYK,NBA,PG,64.0,64.0,2082.0,460.0,977.0,0.47100000000000003,13.0,60.0,0.217,447.0,917.0,0.48700000000000004,0.47700000000000004,221.0,253.0,0.8740000000000001,66.0,180.0,246.0,283.0,44.0,17.0,147.0,84.0,1154.0
8,2017-18,29.0,TOT,NBA,PG,25.0,7.0,420.0,81.0,186.0,0.435,7.0,30.0,0.233,74.0,156.0,0.474,0.45399999999999996,40.0,46.0,0.87,13.0,22.0,35.0,37.0,7.0,4.0,35.0,16.0,209.0
9,2017-18,29.0,CLE,NBA,PG,16.0,7.0,308.0,58.0,132.0,0.439,6.0,24.0,0.25,52.0,108.0,0.48100000000000004,0.462,35.0,41.0,0.8540000000000001,10.0,19.0,29.0,26.0,3.0,4.0,28.0,14.0,157.0
10,2017-18,29.0,MIN,NBA,PG,9.0,0.0,112.0,23.0,54.0,0.426,1.0,6.0,0.16699999999999998,22.0,48.0,0.45799999999999996,0.435,5.0,5.0,1.0,3.0,3.0,6.0,11.0,4.0,0.0,7.0,2.0,52.0
11,2018-19,30.0,MIN,NBA,PG,51.0,13.0,1392.0,363.0,753.0,0.48200000000000004,54.0,146.0,0.37,309.0,607.0,0.509,0.518,137.0,160.0,0.856,33.0,107.0,140.0,220.0,31.0,12.0,82.0,57.0,917.0
12,Career,,,NBA,,546.0,489.0,18104.0,4006.0,8836.0,0.45299999999999996,424.0,1394.0,0.304,3582.0,7442.0,0.48100000000000004,0.47700000000000004,1845.0,2239.0,0.8240000000000001,470.0,1440.0,1910.0,3056.0,410.0,188.0,1450.0,728.0,10281.0
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7 seasons,,CHI,NBA,,406.0,405.0,14210.0,3102.0,6920.0,0.44799999999999995,350.0,1158.0,0.302,2752.0,5762.0,0.478,0.474,1447.0,1780.0,0.813,358.0,1131.0,1489.0,2516.0,328.0,155.0,1186.0,571.0,8001.0
15,1 season,,NYK,NBA,,64.0,64.0,2082.0,460.0,977.0,0.47100000000000003,13.0,60.0,0.217,447.0,917.0,0.48700000000000004,0.47700000000000004,221.0,253.0,0.8740000000000001,66.0,180.0,246.0,283.0,44.0,17.0,147.0,84.0,1154.0
16,2 seasons,,MIN,NBA,,60.0,13.0,1504.0,386.0,807.0,0.478,55.0,152.0,0.36200000000000004,331.0,655.0,0.505,0.512,142.0,165.0,0.861,36.0,110.0,146.0,231.0,35.0,12.0,89.0,59.0,969.0
17,1 season,,CLE,NBA,,16.0,7.0,308.0,58.0,132.0,0.439,6.0,24.0,0.25,52.0,108.0,0.48100000000000004,0.462,35.0,41.0,0.8540000000000001,10.0,19.0,29.0,26.0,3.0,4.0,28.0,14.0,157.0
