,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2008-09,20.0,CHI,NBA,PG,81.0,80.0,3000.0,6.9,14.5,0.475,0.2,0.9,0.222,6.7,13.6,0.491,2.4,3.0,0.7879999999999999,1.2,2.7,3.8,6.1,0.8,0.2,2.4,1.5,16.3
1,2009-10,21.0,CHI,NBA,PG,78.0,78.0,2871.0,8.4,17.2,0.489,0.2,0.8,0.267,8.2,16.5,0.5,3.2,4.2,0.7659999999999999,0.8,2.9,3.7,5.9,0.7,0.3,2.7,1.2,20.3
2,2010-11,22.0,CHI,NBA,PG,81.0,81.0,3026.0,8.5,19.0,0.445,1.5,4.6,0.332,6.9,14.4,0.48100000000000004,5.7,6.6,0.858,1.0,3.0,3.9,7.4,1.0,0.6,3.3,1.6,24.1
3,2011-12,23.0,CHI,NBA,PG,39.0,39.0,1375.0,7.9,18.2,0.435,1.4,4.5,0.312,6.5,13.7,0.475,5.1,6.3,0.812,0.7,2.7,3.4,8.0,0.9,0.7,3.1,1.4,22.3
4,2013-14,25.0,CHI,NBA,PG,10.0,10.0,311.0,6.7,19.0,0.354,1.9,5.4,0.34,4.9,13.5,0.359,3.1,3.7,0.8440000000000001,1.0,2.7,3.7,5.0,0.6,0.1,3.9,1.7,18.4
5,2014-15,26.0,CHI,NBA,PG,51.0,51.0,1530.0,8.0,19.6,0.405,1.8,6.4,0.28,6.2,13.3,0.465,3.6,4.4,0.813,0.8,3.0,3.8,5.9,0.8,0.4,3.8,1.5,21.3
6,2015-16,27.0,CHI,NBA,PG,66.0,66.0,2097.0,7.7,18.0,0.42700000000000005,0.8,2.6,0.293,6.9,15.4,0.449,2.4,3.1,0.7929999999999999,0.8,3.1,3.9,5.3,0.8,0.2,3.0,1.4,18.5
7,2016-17,28.0,NYK,NBA,PG,64.0,64.0,2082.0,8.0,16.9,0.47100000000000003,0.2,1.0,0.217,7.7,15.9,0.48700000000000004,3.8,4.4,0.8740000000000001,1.1,3.1,4.3,4.9,0.8,0.3,2.5,1.5,20.0
8,2017-18,29.0,TOT,NBA,PG,25.0,7.0,420.0,6.9,15.9,0.435,0.6,2.6,0.233,6.3,13.4,0.474,3.4,3.9,0.87,1.1,1.9,3.0,3.2,0.6,0.3,3.0,1.4,17.9
9,2017-18,29.0,CLE,NBA,PG,16.0,7.0,308.0,6.8,15.4,0.439,0.7,2.8,0.25,6.1,12.6,0.48100000000000004,4.1,4.8,0.8540000000000001,1.2,2.2,3.4,3.0,0.4,0.5,3.3,1.6,18.4
10,2017-18,29.0,MIN,NBA,PG,9.0,0.0,112.0,7.4,17.4,0.426,0.3,1.9,0.16699999999999998,7.1,15.4,0.45799999999999996,1.6,1.6,1.0,1.0,1.0,1.9,3.5,1.3,0.0,2.3,0.6,16.7
11,2018-19,30.0,MIN,NBA,PG,51.0,13.0,1392.0,9.4,19.5,0.48200000000000004,1.4,3.8,0.37,8.0,15.7,0.509,3.5,4.1,0.856,0.9,2.8,3.6,5.7,0.8,0.3,2.1,1.5,23.7
12,Career,,,NBA,,546.0,489.0,18104.0,8.0,17.6,0.45299999999999996,0.8,2.8,0.304,7.1,14.8,0.48100000000000004,3.7,4.5,0.8240000000000001,0.9,2.9,3.8,6.1,0.8,0.4,2.9,1.4,20.4
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7 seasons,,CHI,NBA,,406.0,405.0,14210.0,7.9,17.5,0.44799999999999995,0.9,2.9,0.302,7.0,14.6,0.478,3.7,4.5,0.813,0.9,2.9,3.8,6.4,0.8,0.4,3.0,1.4,20.3
15,1 season,,NYK,NBA,,64.0,64.0,2082.0,8.0,16.9,0.47100000000000003,0.2,1.0,0.217,7.7,15.9,0.48700000000000004,3.8,4.4,0.8740000000000001,1.1,3.1,4.3,4.9,0.8,0.3,2.5,1.5,20.0
16,2 seasons,,MIN,NBA,,60.0,13.0,1504.0,9.2,19.3,0.478,1.3,3.6,0.36200000000000004,7.9,15.7,0.505,3.4,3.9,0.861,0.9,2.6,3.5,5.5,0.8,0.3,2.1,1.4,23.2
17,1 season,,CLE,NBA,,16.0,7.0,308.0,6.8,15.4,0.439,0.7,2.8,0.25,6.1,12.6,0.48100000000000004,4.1,4.8,0.8540000000000001,1.2,2.2,3.4,3.0,0.4,0.5,3.3,1.6,18.4
