,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2008-09,20.0,CHI,NBA,PG,81.0,3000.0,16.0,0.516,0.06,0.207,3.7,8.4,6.1,28.8,1.1,0.4,13.3,22.6,,3.4,1.5,4.9,0.078,,0.9,-1.5,-0.6,1.1
1,2009-10,21.0,CHI,NBA,PG,78.0,2871.0,18.6,0.532,0.044000000000000004,0.24600000000000002,2.6,8.7,5.7,30.3,1.0,0.7,12.5,27.2,,3.5,2.5,6.0,0.1,,1.7,-1.3,0.5,1.8
2,2010-11,22.0,CHI,NBA,PG,81.0,3026.0,23.5,0.55,0.24100000000000002,0.348,3.2,9.4,6.4,38.7,1.5,1.3,13.1,32.2,,8.3,4.8,13.1,0.20800000000000002,,5.8,0.1,5.9,6.0
3,2011-12,23.0,CHI,NBA,PG,39.0,1375.0,23.0,0.532,0.249,0.344,2.1,8.4,5.3,40.3,1.4,1.4,12.9,30.5,,4.1,2.0,6.0,0.21100000000000002,,5.5,-0.6,4.9,2.4
4,2013-14,25.0,CHI,NBA,PG,10.0,311.0,9.7,0.446,0.287,0.195,3.3,8.3,5.9,26.2,0.9,0.2,16.0,31.5,,-0.6,0.4,-0.2,-0.036000000000000004,,-2.8,-2.3,-5.1,-0.2
5,2014-15,26.0,CHI,NBA,PG,51.0,1530.0,15.9,0.493,0.325,0.22399999999999998,2.6,8.7,5.7,30.7,1.2,0.8,14.9,31.7,,0.0,1.2,1.2,0.038,,1.1,-2.3,-1.3,0.3
6,2015-16,27.0,CHI,NBA,PG,66.0,2097.0,13.4,0.479,0.14300000000000002,0.171,2.4,8.8,5.6,25.5,1.1,0.5,13.4,27.3,,-0.8,1.2,0.4,0.009000000000000001,,-1.2,-2.1,-3.3,-0.7
7,2016-17,28.0,NYK,NBA,PG,64.0,2082.0,17.0,0.53,0.061,0.259,3.4,9.3,6.4,22.8,1.1,0.7,11.9,25.7,,2.4,0.6,3.0,0.068,,0.2,-2.2,-1.9,0.0
8,2017-18,29.0,TOT,NBA,PG,25.0,420.0,11.5,0.507,0.161,0.247,3.5,5.8,4.7,13.6,0.8,0.8,14.5,25.4,,-0.2,0.1,-0.2,-0.018000000000000002,,-3.8,-3.9,-7.8,-0.6
9,2017-18,29.0,CLE,NBA,PG,16.0,308.0,11.6,0.523,0.182,0.311,3.7,6.8,5.3,13.0,0.5,1.1,15.7,25.6,,-0.1,0.0,-0.1,-0.013999999999999999,,-3.9,-3.8,-7.7,-0.4
10,2017-18,29.0,MIN,NBA,PG,9.0,112.0,11.2,0.46299999999999997,0.111,0.09300000000000001,3.1,3.1,3.1,15.2,1.8,0.0,11.1,25.0,,-0.1,0.0,-0.1,-0.028999999999999998,,-3.8,-4.3,-8.1,-0.2
11,2018-19,30.0,MIN,NBA,PG,51.0,1392.0,19.5,0.557,0.19399999999999998,0.212,2.5,8.3,5.4,26.4,1.1,0.7,9.1,27.3,,2.6,0.3,3.0,0.102,,2.3,-2.9,-0.6,0.5
12,Career,,,NBA,,546.0,18104.0,18.1,0.523,0.158,0.253,2.9,8.7,5.9,30.1,1.2,0.8,12.9,27.8,,22.7,14.5,37.2,0.099,,1.8,-1.5,0.3,10.5
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7 seasons,,CHI,NBA,,406.0,14210.0,18.3,0.519,0.16699999999999998,0.257,2.9,8.8,5.9,32.0,1.2,0.8,13.3,28.2,,17.9,13.5,31.4,0.106,,2.2,-1.2,1.0,10.6
15,1 season,,NYK,NBA,,64.0,2082.0,17.0,0.53,0.061,0.259,3.4,9.3,6.4,22.8,1.1,0.7,11.9,25.7,,2.4,0.6,3.0,0.068,,0.2,-2.2,-1.9,0.0
16,2 seasons,,MIN,NBA,,60.0,1504.0,18.8,0.551,0.188,0.204,2.6,7.9,5.2,25.5,1.1,0.7,9.2,27.2,,2.5,0.4,2.9,0.092,,1.9,-3.0,-1.2,0.3
17,1 season,,CLE,NBA,,16.0,308.0,11.6,0.523,0.182,0.311,3.7,6.8,5.3,13.0,0.5,1.1,15.7,25.6,,-0.1,0.0,-0.1,-0.013999999999999999,,-3.9,-3.8,-7.7,-0.4
