,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2008-09,20.0,OKC,NBA,PG,82,65,2668,436,1095,0.39799999999999996,35,129,0.271,401,966,0.415,0.414,349,428,0.815,178,221,399,435,110,16,274,191,1256
1,2009-10,21.0,OKC,NBA,PG,82,82,2813,485,1160,0.418,23,104,0.221,462,1056,0.43799999999999994,0.428,329,422,0.78,143,258,401,652,108,34,268,204,1322
2,2010-11,22.0,OKC,NBA,PG,82,82,2847,614,1390,0.442,34,103,0.33,580,1287,0.451,0.45399999999999996,531,631,0.8420000000000001,121,258,379,670,155,30,316,207,1793
3,2011-12,23.0,OKC,NBA,PG,66,66,2331,578,1266,0.457,62,196,0.316,516,1070,0.48200000000000004,0.48100000000000004,340,413,0.823,96,205,301,362,112,21,239,147,1558
4,2012-13,24.0,OKC,NBA,PG,82,82,2861,673,1535,0.43799999999999994,97,300,0.32299999999999995,576,1235,0.466,0.47,460,575,0.8,111,317,428,607,145,24,273,189,1903
5,2013-14,25.0,OKC,NBA,PG,46,46,1412,346,791,0.43700000000000006,68,214,0.318,278,577,0.48200000000000004,0.48,242,293,0.826,55,208,263,319,88,7,177,104,1002
6,2014-15,26.0,OKC,NBA,PG,67,67,2302,627,1471,0.426,86,288,0.299,541,1183,0.457,0.455,546,654,0.835,124,364,488,574,140,14,293,184,1886
7,2015-16,27.0,OKC,NBA,PG,80,80,2750,656,1444,0.45399999999999996,101,341,0.29600000000000004,555,1103,0.503,0.489,465,573,0.812,145,481,626,834,163,20,342,200,1878
8,2016-17,28.0,OKC,NBA,PG,81,81,2802,824,1941,0.425,200,583,0.34299999999999997,624,1358,0.45899999999999996,0.47600000000000003,710,840,0.845,137,727,864,840,132,31,438,190,2558
9,2017-18,29.0,OKC,NBA,PG,80,80,2914,757,1687,0.449,97,326,0.298,660,1361,0.485,0.47700000000000004,417,566,0.737,152,652,804,820,147,20,381,200,2028
10,2018-19,30.0,OKC,NBA,PG,73,73,2630,630,1473,0.428,119,411,0.29,511,1062,0.48100000000000004,0.46799999999999997,296,451,0.6559999999999999,109,698,807,784,142,33,325,245,1675
11,Career,,,NBA,,821,804,28330,6626,15253,0.434,922,2995,0.308,5704,12258,0.465,0.465,4685,5846,0.8009999999999999,1371,4389,5760,6897,1442,250,3326,2061,18859
