,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2008-09,20.0,OKC,NBA,PG,82,65,2668,5.9,14.8,0.39799999999999996,0.5,1.7,0.271,5.4,13.0,0.415,4.7,5.8,0.815,2.4,3.0,5.4,5.9,1.5,0.2,3.7,2.6,16.9
1,2009-10,21.0,OKC,NBA,PG,82,82,2813,6.2,14.8,0.418,0.3,1.3,0.221,5.9,13.5,0.43799999999999994,4.2,5.4,0.78,1.8,3.3,5.1,8.3,1.4,0.4,3.4,2.6,16.9
2,2010-11,22.0,OKC,NBA,PG,82,82,2847,7.8,17.6,0.442,0.4,1.3,0.33,7.3,16.3,0.451,6.7,8.0,0.8420000000000001,1.5,3.3,4.8,8.5,2.0,0.4,4.0,2.6,22.7
3,2011-12,23.0,OKC,NBA,PG,66,66,2331,8.9,19.6,0.457,1.0,3.0,0.316,8.0,16.5,0.48200000000000004,5.3,6.4,0.823,1.5,3.2,4.6,5.6,1.7,0.3,3.7,2.3,24.1
4,2012-13,24.0,OKC,NBA,PG,82,82,2861,8.5,19.3,0.43799999999999994,1.2,3.8,0.32299999999999995,7.2,15.5,0.466,5.8,7.2,0.8,1.4,4.0,5.4,7.6,1.8,0.3,3.4,2.4,23.9
5,2013-14,25.0,OKC,NBA,PG,46,46,1412,8.8,20.2,0.43700000000000006,1.7,5.5,0.318,7.1,14.7,0.48200000000000004,6.2,7.5,0.826,1.4,5.3,6.7,8.1,2.2,0.2,4.5,2.7,25.5
6,2014-15,26.0,OKC,NBA,PG,67,67,2302,9.8,23.0,0.426,1.3,4.5,0.299,8.5,18.5,0.457,8.5,10.2,0.835,1.9,5.7,7.6,9.0,2.2,0.2,4.6,2.9,29.5
7,2015-16,27.0,OKC,NBA,PG,80,80,2750,8.6,18.9,0.45399999999999996,1.3,4.5,0.29600000000000004,7.3,14.4,0.503,6.1,7.5,0.812,1.9,6.3,8.2,10.9,2.1,0.3,4.5,2.6,24.6
8,2016-17,28.0,OKC,NBA,PG,81,81,2802,10.6,24.9,0.425,2.6,7.5,0.34299999999999997,8.0,17.4,0.45899999999999996,9.1,10.8,0.845,1.8,9.3,11.1,10.8,1.7,0.4,5.6,2.4,32.9
9,2017-18,29.0,OKC,NBA,PG,80,80,2914,9.4,20.8,0.449,1.2,4.0,0.298,8.2,16.8,0.485,5.2,7.0,0.737,1.9,8.1,9.9,10.1,1.8,0.2,4.7,2.5,25.1
10,2018-19,30.0,OKC,NBA,PG,73,73,2630,8.6,20.2,0.428,1.6,5.6,0.29,7.0,14.5,0.48100000000000004,4.1,6.2,0.6559999999999999,1.5,9.6,11.0,10.7,1.9,0.5,4.4,3.4,22.9
11,Career,,,NBA,,821,804,28330,8.4,19.4,0.434,1.2,3.8,0.308,7.2,15.6,0.465,6.0,7.4,0.8009999999999999,1.7,5.6,7.3,8.8,1.8,0.3,4.2,2.6,24.0
