,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
0,2008-09,20.0,OKC,NBA,PG,82,65,2668,8.4,21.0,0.39799999999999996,0.7,2.5,0.271,7.7,18.6,0.415,6.7,8.2,0.815,3.4,4.2,7.7,8.4,2.1,0.3,5.3,3.7,24.1,,99,111
1,2009-10,21.0,OKC,NBA,PG,82,82,2813,8.9,21.3,0.418,0.4,1.9,0.221,8.5,19.4,0.43799999999999994,6.0,7.7,0.78,2.6,4.7,7.4,12.0,2.0,0.6,4.9,3.7,24.2,,105,106
2,2010-11,22.0,OKC,NBA,PG,82,82,2847,11.2,25.3,0.442,0.6,1.9,0.33,10.5,23.4,0.451,9.7,11.5,0.8420000000000001,2.2,4.7,6.9,12.2,2.8,0.5,5.7,3.8,32.6,,110,107
3,2011-12,23.0,OKC,NBA,PG,66,66,2331,12.8,28.0,0.457,1.4,4.3,0.316,11.4,23.7,0.48200000000000004,7.5,9.1,0.823,2.1,4.5,6.7,8.0,2.5,0.5,5.3,3.3,34.5,,108,105
4,2012-13,24.0,OKC,NBA,PG,82,82,2861,12.1,27.6,0.43799999999999994,1.7,5.4,0.32299999999999995,10.4,22.2,0.466,8.3,10.3,0.8,2.0,5.7,7.7,10.9,2.6,0.4,4.9,3.4,34.2,,111,103
5,2013-14,25.0,OKC,NBA,PG,46,46,1412,12.3,28.2,0.43700000000000006,2.4,7.6,0.318,9.9,20.6,0.48200000000000004,8.6,10.4,0.826,2.0,7.4,9.4,11.4,3.1,0.2,6.3,3.7,35.7,,108,102
6,2014-15,26.0,OKC,NBA,PG,67,67,2302,13.7,32.0,0.426,1.9,6.3,0.299,11.8,25.8,0.457,11.9,14.2,0.835,2.7,7.9,10.6,12.5,3.0,0.3,6.4,4.0,41.1,,111,103
7,2015-16,27.0,OKC,NBA,PG,80,80,2750,11.8,26.1,0.45399999999999996,1.8,6.2,0.29600000000000004,10.0,19.9,0.503,8.4,10.3,0.812,2.6,8.7,11.3,15.1,2.9,0.4,6.2,3.6,33.9,,115,103
8,2016-17,28.0,OKC,NBA,PG,81,81,2802,14.4,34.0,0.425,3.5,10.2,0.34299999999999997,10.9,23.8,0.45899999999999996,12.4,14.7,0.845,2.4,12.7,15.1,14.7,2.3,0.5,7.7,3.3,44.8,,112,104
9,2017-18,29.0,OKC,NBA,PG,80,80,2914,12.9,28.7,0.449,1.7,5.6,0.298,11.2,23.2,0.485,7.1,9.6,0.737,2.6,11.1,13.7,14.0,2.5,0.3,6.5,3.4,34.5,,109,104
10,2018-19,30.0,OKC,NBA,PG,73,73,2630,11.2,26.1,0.428,2.1,7.3,0.29,9.1,18.8,0.48100000000000004,5.3,8.0,0.6559999999999999,1.9,12.4,14.3,13.9,2.5,0.6,5.8,4.3,29.7,,105,103
11,Career,,,NBA,,821,804,28330,11.7,27.0,0.434,1.6,5.3,0.308,10.1,21.7,0.465,8.3,10.4,0.8009999999999999,2.4,7.8,10.2,12.2,2.6,0.4,5.9,3.7,33.4,,109,105
