,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2008-09,20.0,OKC,NBA,PG,82,2668,15.2,0.489,0.11800000000000001,0.391,7.6,9.7,8.6,27.5,2.1,0.4,17.6,25.8,,-0.1,2.0,1.9,0.035,,0.1,-0.2,-0.1,1.3
1,2009-10,21.0,OKC,NBA,PG,82,2813,17.8,0.491,0.09,0.364,6.0,10.3,8.2,38.6,2.0,0.9,16.6,25.7,,2.7,3.4,6.1,0.105,,1.4,0.6,2.1,2.9
2,2010-11,22.0,OKC,NBA,PG,82,2847,23.6,0.5379999999999999,0.07400000000000001,0.45399999999999996,5.2,10.3,7.8,42.7,2.8,0.8,15.9,31.6,,6.3,3.1,9.4,0.159,,4.4,0.5,5.0,5.0
3,2011-12,23.0,OKC,NBA,PG,66,2331,22.9,0.5379999999999999,0.155,0.326,5.0,9.4,7.4,29.8,2.5,0.7,14.2,32.7,,5.5,2.4,7.9,0.163,,3.7,-0.5,3.2,3.0
4,2012-13,24.0,OKC,NBA,PG,82,2861,23.9,0.532,0.195,0.375,4.8,11.8,8.6,38.4,2.6,0.6,13.2,32.8,,7.7,3.9,11.6,0.195,,4.7,0.3,5.0,5.1
5,2013-14,25.0,OKC,NBA,PG,46,1412,24.7,0.545,0.271,0.37,4.6,15.9,10.5,40.2,3.1,0.4,16.1,34.4,,3.0,2.3,5.2,0.17800000000000002,,5.2,1.2,6.4,3.0
6,2014-15,26.0,OKC,NBA,PG,67,2302,29.1,0.536,0.196,0.445,5.9,16.7,11.4,47.0,3.0,0.5,14.3,38.4,,7.5,3.2,10.6,0.222,,8.8,2.2,11.0,7.6
7,2015-16,27.0,OKC,NBA,PG,80,2750,27.6,0.5539999999999999,0.23600000000000002,0.397,6.1,18.1,12.4,49.6,2.9,0.6,16.8,31.6,,10.0,4.0,14.0,0.245,,7.6,2.4,10.0,8.3
8,2016-17,28.0,OKC,NBA,PG,81,2802,30.6,0.5539999999999999,0.3,0.433,5.4,28.8,17.1,57.3,2.3,0.9,15.9,41.7,,8.5,4.6,13.1,0.22399999999999998,,10.9,4.7,15.6,12.4
9,2017-18,29.0,OKC,NBA,PG,80,2914,24.7,0.524,0.193,0.336,5.6,25.7,15.3,49.8,2.5,0.6,16.4,34.1,,5.5,4.5,10.1,0.166,,5.1,3.1,8.2,7.5
10,2018-19,30.0,OKC,NBA,PG,73,2630,21.1,0.501,0.27899999999999997,0.306,4.1,28.3,15.8,46.5,2.5,1.1,16.3,30.9,,1.8,5.0,6.8,0.124,,2.5,3.9,6.5,5.6
11,Career,,,NBA,,821,28330,23.7,0.529,0.196,0.38299999999999995,5.5,16.9,11.3,42.8,2.6,0.7,15.7,32.6,,58.5,38.5,96.9,0.16399999999999998,,4.9,1.7,6.6,61.6
