,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1996-97,22.0,PHO,NBA,PG,65.0,2.0,684.0,3.9,9.2,0.423,1.2,2.9,0.418,2.7,6.3,0.425,2.2,2.7,0.8240000000000001,0.8,2.5,3.3,7.3,1.1,0.0,3.3,4.8,11.2
1,1997-98,23.0,PHO,NBA,PG,76.0,9.0,1664.0,5.8,12.6,0.45899999999999996,1.8,4.2,0.415,4.0,8.4,0.48100000000000004,1.6,1.9,0.86,0.7,2.8,3.5,5.7,1.4,0.1,2.1,3.1,14.9
2,1998-99,24.0,DAL,NBA,PG,40.0,40.0,1269.0,3.2,8.9,0.363,1.4,3.7,0.374,1.8,5.2,0.355,1.1,1.3,0.826,0.9,2.3,3.2,6.2,1.0,0.1,2.4,2.8,8.9
3,1999-00,25.0,DAL,NBA,PG,56.0,27.0,1532.0,4.1,8.5,0.47700000000000004,1.4,3.5,0.40299999999999997,2.7,5.0,0.528,1.8,2.0,0.882,0.8,2.0,2.8,6.4,0.9,0.1,2.4,2.9,11.3
4,2000-01,26.0,DAL,NBA,PG,70.0,70.0,2387.0,5.8,11.9,0.48700000000000004,1.3,3.3,0.406,4.5,8.6,0.518,3.5,3.9,0.895,0.7,2.7,3.4,7.7,1.1,0.1,3.1,2.4,16.5
5,2001-02,27.0,DAL,NBA,PG,82.0,82.0,2837.0,6.7,13.8,0.483,2.0,4.4,0.455,4.7,9.5,0.495,3.3,3.7,0.887,0.6,2.6,3.2,8.0,0.7,0.1,2.9,2.1,18.6
6,2002-03,28.0,DAL,NBA,PG,82.0,82.0,2711.0,6.9,14.8,0.465,1.5,3.6,0.413,5.4,11.2,0.48200000000000004,4.1,4.5,0.909,0.8,2.3,3.1,7.9,1.1,0.1,2.5,1.8,19.3
7,2003-04,29.0,DAL,NBA,PG,78.0,78.0,2612.0,5.5,11.6,0.47,1.4,3.5,0.405,4.0,8.1,0.498,3.2,3.5,0.9159999999999999,0.8,2.4,3.2,9.5,0.9,0.1,2.9,1.9,15.5
8,2004-05,30.0,PHO,NBA,PG,75.0,75.0,2573.0,6.0,12.0,0.502,1.3,3.1,0.431,4.7,8.9,0.526,3.0,3.3,0.887,0.8,2.7,3.5,12.0,1.0,0.1,3.4,1.9,16.3
9,2005-06,31.0,PHO,NBA,PG,79.0,79.0,2796.0,7.0,13.6,0.512,1.9,4.4,0.439,5.0,9.2,0.5479999999999999,3.3,3.6,0.9209999999999999,0.6,3.7,4.3,10.6,0.8,0.2,3.6,1.5,19.2
10,2006-07,32.0,PHO,NBA,PG,76.0,76.0,2682.0,6.9,13.0,0.532,2.1,4.6,0.455,4.8,8.4,0.575,3.0,3.3,0.899,0.4,3.2,3.6,11.9,0.8,0.1,3.9,1.6,19.0
11,2007-08,33.0,PHO,NBA,PG,81.0,81.0,2780.0,6.3,12.5,0.504,2.3,4.9,0.47,4.0,7.5,0.527,2.9,3.2,0.9059999999999999,0.4,3.3,3.7,11.6,0.7,0.1,3.8,1.5,17.8
12,2008-09,34.0,PHO,NBA,PG,74.0,74.0,2484.0,6.2,12.3,0.503,1.6,3.6,0.439,4.6,8.8,0.529,2.8,3.0,0.9329999999999999,0.3,3.0,3.2,10.4,0.8,0.1,3.6,1.6,16.8
13,2009-10,35.0,PHO,NBA,PG,81.0,81.0,2660.0,6.8,13.3,0.507,1.7,3.9,0.426,5.1,9.4,0.54,2.9,3.0,0.938,0.5,3.2,3.6,12.1,0.6,0.2,4.0,1.5,18.0
14,2010-11,36.0,PHO,NBA,PG,75.0,75.0,2497.0,5.8,11.7,0.49200000000000005,1.2,3.0,0.395,4.6,8.7,0.525,3.3,3.6,0.912,0.6,3.2,3.7,12.3,0.7,0.1,3.8,1.3,15.9
15,2011-12,37.0,PHO,NBA,PG,62.0,62.0,1961.0,5.4,10.2,0.532,1.0,2.6,0.39,4.4,7.6,0.58,2.3,2.6,0.894,0.5,2.9,3.4,12.2,0.7,0.1,4.2,1.0,14.2
16,2012-13,38.0,LAL,NBA,PG,50.0,50.0,1627.0,5.2,10.5,0.49700000000000005,1.3,2.9,0.43799999999999994,4.0,7.6,0.519,2.4,2.6,0.922,0.6,2.6,3.1,7.4,0.7,0.1,2.8,1.5,14.1
17,2013-14,39.0,LAL,NBA,PG,15.0,10.0,313.0,4.1,10.8,0.38299999999999995,0.9,2.8,0.33299999999999996,3.2,8.1,0.4,2.5,2.8,0.917,0.5,2.9,3.3,9.9,0.8,0.2,3.6,2.1,11.7
18,Career,,,NBA,,1217.0,1053.0,38069.0,6.0,12.2,0.49,1.6,3.7,0.428,4.4,8.5,0.518,2.9,3.2,0.904,0.6,2.8,3.4,9.8,0.9,0.1,3.3,1.9,16.4
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,10 seasons,,PHO,NBA,,744.0,614.0,22781.0,6.2,12.3,0.504,1.7,3.8,0.435,4.6,8.5,0.535,2.8,3.1,0.907,0.5,3.1,3.6,11.1,0.8,0.1,3.6,1.7,16.9
21,6 seasons,,DAL,NBA,,408.0,379.0,13348.0,5.7,12.2,0.46799999999999997,1.5,3.7,0.41600000000000004,4.2,8.5,0.49,3.1,3.4,0.898,0.8,2.4,3.2,7.9,0.9,0.1,2.8,2.2,16.0
22,2 seasons,,LAL,NBA,,65.0,60.0,1940.0,5.0,10.6,0.478,1.2,2.9,0.42200000000000004,3.8,7.7,0.499,2.4,2.6,0.9209999999999999,0.6,2.6,3.2,7.8,0.7,0.1,2.9,1.6,13.7
