,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
0,1996-97,22.0,PHO,NBA,PG,65.0,2.0,684.0,5.6,13.2,0.423,1.7,4.1,0.418,3.8,9.0,0.425,3.2,3.8,0.8240000000000001,1.2,3.5,4.7,10.4,1.5,0.0,4.7,6.9,16.0,,103.0,112.0
1,1997-98,23.0,PHO,NBA,PG,76.0,9.0,1664.0,8.5,18.4,0.45899999999999996,2.6,6.2,0.415,5.9,12.3,0.48100000000000004,2.3,2.7,0.86,1.0,4.0,5.0,8.3,2.0,0.1,3.1,4.6,21.8,,111.0,105.0
2,1998-99,24.0,DAL,NBA,PG,40.0,40.0,1269.0,4.8,13.3,0.363,2.1,5.6,0.374,2.8,7.8,0.355,1.6,2.0,0.826,1.4,3.5,4.8,9.3,1.6,0.1,3.5,4.2,13.4,,99.0,108.0
3,1999-00,25.0,DAL,NBA,PG,56.0,27.0,1532.0,5.7,12.0,0.47700000000000004,2.0,4.9,0.40299999999999997,3.7,7.1,0.528,2.5,2.8,0.882,1.1,2.9,4.0,9.0,1.2,0.1,3.4,4.0,15.9,,114.0,111.0
4,2000-01,26.0,DAL,NBA,PG,70.0,70.0,2387.0,8.3,17.1,0.48700000000000004,1.9,4.7,0.406,6.4,12.4,0.518,5.0,5.6,0.895,1.0,3.8,4.8,11.0,1.6,0.1,4.4,3.4,23.6,,115.0,106.0
5,2001-02,27.0,DAL,NBA,PG,82.0,82.0,2837.0,9.6,19.8,0.483,2.8,6.3,0.455,6.7,13.6,0.495,4.7,5.3,0.887,0.9,3.7,4.6,11.6,1.0,0.1,4.2,3.0,26.7,,118.0,112.0
6,2002-03,28.0,DAL,NBA,PG,82.0,82.0,2711.0,9.9,21.3,0.465,2.1,5.1,0.413,7.8,16.2,0.48200000000000004,5.9,6.5,0.909,1.2,3.3,4.5,11.4,1.6,0.1,3.7,2.6,27.8,,118.0,106.0
7,2003-04,29.0,DAL,NBA,PG,78.0,78.0,2612.0,7.8,16.7,0.47,2.1,5.1,0.405,5.8,11.6,0.498,4.5,4.9,0.9159999999999999,1.2,3.4,4.6,13.5,1.3,0.2,4.1,2.7,22.2,,120.0,111.0
8,2004-05,30.0,PHO,NBA,PG,75.0,75.0,2573.0,8.4,16.7,0.502,1.8,4.2,0.431,6.5,12.4,0.526,4.1,4.6,0.887,1.1,3.7,4.8,16.7,1.4,0.1,4.8,2.6,22.7,,123.0,111.0
9,2005-06,31.0,PHO,NBA,PG,79.0,79.0,2796.0,9.7,18.9,0.512,2.7,6.1,0.439,7.0,12.8,0.5479999999999999,4.6,5.0,0.9209999999999999,0.8,5.1,6.0,14.8,1.1,0.2,4.9,2.1,26.7,,121.0,109.0
