G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1993-11-05,Indiana Pacers,W,116,110,W 1,1-0,6
2,1993-11-08,Chicago Bulls,L,80,106,L 1,1-1,-26
3,1993-11-10,Utah Jazz,L,88,91,L 2,1-2,-3
4,1993-11-12,Portland Trail Blazers,L,84,94,L 3,1-3,-10
5,1993-11-13,Seattle SuperSonics,L,89,97,L 4,1-4,-8
6,1993-11-16,Sacramento Kings,W,118,95,W 1,2-4,23
7,1993-11-17,Philadelphia 76ers,W,92,90,W 2,3-4,2
8,1993-11-19,Miami Heat,W,95,92,W 3,4-4,3
9,1993-11-20,Charlotte Hornets,W,96,91,W 4,5-4,5
10,1993-11-23,Los Angeles Lakers,W,103,94,W 5,6-4,9
11,1993-11-24,Milwaukee Bucks,W,89,85,W 6,7-4,4
12,1993-11-26,Washington Bullets,W,124,108,W 7,8-4,16
13,1993-11-27,Philadelphia 76ers,W,111,79,W 8,9-4,32
14,1993-11-30,Boston Celtics,W,122,114,W 9,10-4,8
15,1993-12-03,Houston Rockets,W,133,111,W 10,11-4,22
16,1993-12-08,Detroit Pistons,W,105,97,W 11,12-4,8
17,1993-12-09,San Antonio Spurs,W,105,95,W 12,13-4,10
18,1993-12-11,Washington Bullets,W,116,108,W 13,14-4,8
19,1993-12-14,Cleveland Cavaliers,W,103,92,W 14,15-4,11
20,1993-12-16,Indiana Pacers,L,81,99,L 1,15-5,-18
21,1993-12-18,Denver Nuggets,W,102,96,W 1,16-5,6
22,1993-12-22,Boston Celtics,W,108,103,W 2,17-5,5
23,1993-12-23,New York Knicks,L,75,84,L 1,17-6,-9
24,1993-12-26,New Jersey Nets,L,87,91,L 2,17-7,-4
25,1993-12-28,Detroit Pistons,W,119,101,W 1,18-7,18
26,1993-12-29,Orlando Magic,W,92,90,W 2,19-7,2
27,1994-01-04,Charlotte Hornets,W,133,94,W 3,20-7,39
28,1994-01-07,Portland Trail Blazers,W,100,85,W 4,21-7,15
29,1994-01-08,Cleveland Cavaliers,W,102,89,W 5,22-7,13
30,1994-01-12,Chicago Bulls,W,92,81,W 6,23-7,11
