G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1972-10-11,Detroit Pistons,W,121,108,W 1,1-0,13
2,1972-10-13,Los Angeles Lakers,W,112,104,W 2,2-0,8
3,1972-10-14,Chicago Bulls,W,96,88,W 3,3-0,8
4,1972-10-17,Atlanta Hawks,W,119,115,W 4,4-0,4
5,1972-10-20,Buffalo Braves,W,126,118,W 5,5-0,8
6,1972-10-21,Baltimore Bullets,W,104,101,W 6,6-0,3
7,1972-10-23,Philadelphia 76ers,W,105,85,W 7,7-0,20
8,1972-10-24,Buffalo Braves,W,105,97,W 8,8-0,8
9,1972-10-27,Cleveland Cavaliers,W,123,97,W 9,9-0,26
10,1972-11-03,Baltimore Bullets,W,109,96,W 10,10-0,13
11,1972-11-04,Kansas City-Omaha Kings,L,107,118,L 1,10-1,-11
12,1972-11-08,Golden State Warriors,W,128,111,W 1,11-1,17
13,1972-11-10,Buffalo Braves,W,106,104,W 2,12-1,2
14,1972-11-11,Detroit Pistons,W,121,118,W 3,13-1,3
15,1972-11-15,Phoenix Suns,W,113,94,W 4,14-1,19
16,1972-11-17,Milwaukee Bucks,L,88,95,L 1,14-2,-7
17,1972-11-21,Milwaukee Bucks,W,116,102,W 1,15-2,14
18,1972-11-22,Portland Trail Blazers,W,126,107,W 2,16-2,19
19,1972-11-24,New York Knicks,W,114,97,W 3,17-2,17
20,1972-11-25,New York Knicks,L,94,97,L 1,17-3,-3
21,1972-11-29,Seattle SuperSonics,W,120,98,W 1,18-3,22
22,1972-12-01,Philadelphia 76ers,W,105,99,W 2,19-3,6
23,1972-12-02,Philadelphia 76ers,W,131,120,W 3,20-3,11
24,1972-12-08,Cleveland Cavaliers,W,96,87,W 4,21-3,9
25,1972-12-09,Cleveland Cavaliers,W,123,88,W 5,22-3,35
26,1972-12-13,Phoenix Suns,W,105,100,W 6,23-3,5
27,1972-12-15,Los Angeles Lakers,W,102,98,W 7,24-3,4
28,1972-12-16,Portland Trail Blazers,W,123,116,W 8,25-3,7
29,1972-12-17,Seattle SuperSonics,W,123,98,W 9,26-3,25
30,1972-12-19,Golden State Warriors,L,112,115,L 1,26-4,-3
31,1972-12-22,Kansas City-Omaha Kings,W,118,90,W 1,27-4,28
32,1972-12-23,Milwaukee Bucks,L,98,104,L 1,27-5,-6
33,1972-12-26,New York Knicks,W,115,106,W 1,28-5,9
34,1972-12-29,Chicago Bulls,L,99,106,L 1,28-6,-7
35,1972-12-30,Philadelphia 76ers,W,117,107,W 1,29-6,10
36,1973-01-02,Houston Rockets,W,130,110,W 2,30-6,20
37,1973-01-03,Houston Rockets,L,112,123,L 1,30-7,-11
38,1973-01-05,Atlanta Hawks,W,126,108,W 1,31-7,18
39,1973-01-07,Baltimore Bullets,W,116,98,W 2,32-7,18
40,1973-01-10,Houston Rockets,W,128,107,W 3,33-7,21
41,1973-01-12,Atlanta Hawks,W,133,109,W 4,34-7,24
42,1973-01-13,Philadelphia 76ers,W,111,95,W 5,35-7,16
43,1973-01-16,Buffalo Braves,W,106,102,W 6,36-7,4
44,1973-01-17,Portland Trail Blazers,W,117,99,W 7,37-7,18
45,1973-01-19,Seattle SuperSonics,W,124,104,W 8,38-7,20
46,1973-01-21,Buffalo Braves,W,104,97,W 9,39-7,7
47,1973-01-26,Houston Rockets,W,139,126,W 10,40-7,13
48,1973-01-27,New York Knicks,L,108,111,L 1,40-8,-3
49,1973-01-28,New York Knicks,L,93,96,L 2,40-9,-3
50,1973-01-31,Cleveland Cavaliers,W,94,89,W 1,41-9,5
51,1973-02-02,Atlanta Hawks,L,99,100,L 1,41-10,-1
52,1973-02-03,Philadelphia 76ers,W,104,100,W 1,42-10,4
53,1973-02-04,Philadelphia 76ers,W,123,115,W 2,43-10,8
54,1973-02-06,Cleveland Cavaliers,L,105,110,L 1,43-11,-5
55,1973-02-07,Los Angeles Lakers,W,113,112,W 1,44-11,1
56,1973-02-09,Detroit Pistons,L,95,104,L 1,44-12,-9
57,1973-02-11,Milwaukee Bucks,W,120,96,W 1,45-12,24
58,1973-02-13,Chicago Bulls,W,105,101,W 2,46-12,4
59,1973-02-14,Kansas City-Omaha Kings,W,104,101,W 3,47-12,3
60,1973-02-16,Portland Trail Blazers,W,112,105,W 4,48-12,7
61,1973-02-17,Golden State Warriors,W,110,106,W 5,49-12,4
62,1973-02-18,Seattle SuperSonics,W,106,105,W 6,50-12,1
63,1973-02-20,Phoenix Suns,W,107,97,W 7,51-12,10
64,1973-02-25,Cleveland Cavaliers,W,105,92,W 8,52-12,13
65,1973-02-27,New York Knicks,L,91,123,L 1,52-13,-32
66,1973-02-28,Golden State Warriors,W,118,111,W 1,53-13,7
67,1973-03-02,Detroit Pistons,W,115,101,W 2,54-13,14
68,1973-03-04,Buffalo Braves,W,125,113,W 3,55-13,12
