G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2013-10-30,Cleveland Cavaliers,L,94,98,L 1,0-1,-4
2,2013-11-01,Miami Heat,W,101,100,W 1,1-1,1
3,2013-11-03,Orlando Magic,L,86,107,L 1,1-2,-21
4,2013-11-05,Utah Jazz,W,104,88,W 1,2-2,16
5,2013-11-08,Washington Wizards,L,108,112,L 1,2-3,-4
6,2013-11-09,Indiana Pacers,L,91,96,L 2,2-4,-5
7,2013-11-13,Sacramento Kings,L,86,107,L 3,2-5,-21
8,2013-11-15,Phoenix Suns,W,100,98,W 1,3-5,2
9,2013-11-16,Los Angeles Clippers,L,103,110,L 1,3-6,-7
10,2013-11-18,Portland Trail Blazers,L,98,108,L 2,3-7,-10
11,2013-11-20,Charlotte Bobcats,L,91,95,L 3,3-8,-4
12,2013-11-22,Minnesota Timberwolves,L,81,111,L 4,3-9,-30
13,2013-11-24,Detroit Pistons,L,97,109,L 5,3-10,-12
14,2013-11-26,Toronto Raptors,W,102,100,W 1,4-10,2
15,2013-11-27,Los Angeles Lakers,L,94,99,L 1,4-11,-5
16,2013-11-29,Houston Rockets,L,95,114,L 2,4-12,-19
17,2013-11-30,Memphis Grizzlies,W,97,88,W 1,5-12,9
18,2013-12-03,Denver Nuggets,L,87,111,L 1,5-13,-24
19,2013-12-05,New York Knicks,L,83,113,L 2,5-14,-30
20,2013-12-07,Milwaukee Bucks,W,90,82,W 1,6-14,8
21,2013-12-10,Boston Celtics,W,104,96,W 2,7-14,8
22,2013-12-12,Los Angeles Clippers,W,102,93,W 3,8-14,9
23,2013-12-13,Detroit Pistons,L,99,103,L 1,8-15,-4
24,2013-12-16,Philadelphia 76ers,W,130,94,W 1,9-15,36
25,2013-12-18,Washington Wizards,L,107,113,L 1,9-16,-6
26,2013-12-20,Philadelphia 76ers,L,120,121,L 2,9-17,-1
27,2013-12-23,Indiana Pacers,L,86,103,L 3,9-18,-17
28,2013-12-25,Chicago Bulls,L,78,95,L 4,9-19,-17
29,2013-12-27,Milwaukee Bucks,W,104,93,W 1,10-19,11
30,2013-12-28,Indiana Pacers,L,91,105,L 1,10-20,-14
31,2013-12-31,San Antonio Spurs,L,92,113,L 2,10-21,-21
32,2014-01-02,Oklahoma City Thunder,W,95,93,W 1,11-21,2
33,2014-01-04,Cleveland Cavaliers,W,89,82,W 2,12-21,7
34,2014-01-06,Atlanta Hawks,W,91,86,W 3,13-21,5
35,2014-01-08,Golden State Warriors,W,102,98,W 4,14-21,4
36,2014-01-10,Miami Heat,W,104,95,W 5,15-21,9
37,2014-01-11,Toronto Raptors,L,80,96,L 1,15-22,-16
38,2014-01-16,Atlanta Hawks,W,127,110,W 1,16-22,17
39,2014-01-20,New York Knicks,W,103,80,W 2,17-22,23
40,2014-01-21,Orlando Magic,W,101,90,W 3,18-22,11
41,2014-01-24,Dallas Mavericks,W,107,106,W 4,19-22,1
42,2014-01-26,Boston Celtics,W,85,79,W 5,20-22,6
43,2014-01-27,Toronto Raptors,L,103,104,L 1,20-23,-1
44,2014-01-31,Oklahoma City Thunder,L,95,120,L 2,20-24,-25
45,2014-02-01,Indiana Pacers,L,96,97,L 3,20-25,-1
46,2014-02-03,Philadelphia 76ers,W,108,102,W 1,21-25,6
47,2014-02-06,San Antonio Spurs,W,103,89,W 2,22-25,14
48,2014-02-07,Detroit Pistons,L,95,111,L 1,22-26,-16
49,2014-02-09,New Orleans Pelicans,W,93,81,W 1,23-26,12
50,2014-02-12,Charlotte Bobcats,W,105,89,W 2,24-26,16
51,2014-02-13,Chicago Bulls,L,76,92,L 1,24-27,-16
52,2014-02-19,Utah Jazz,W,105,99,W 1,25-27,6
