G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2005-11-02,Charlotte Bobcats,W,109,105,W 1,1-0,4
2,2005-11-05,New Jersey Nets,L,99,100,L 1,1-1,-1
3,2005-11-07,San Antonio Spurs,L,95,104,L 2,1-2,-9
4,2005-11-09,Golden State Warriors,W,85,84,W 1,2-2,1
5,2005-11-12,Utah Jazz,W,103,98,W 2,3-2,5
6,2005-11-14,Golden State Warriors,L,82,100,L 1,3-3,-18
7,2005-11-16,Portland Trail Blazers,L,93,96,L 2,3-4,-3
8,2005-11-18,Seattle SuperSonics,L,84,98,L 3,3-5,-14
9,2005-11-20,Los Angeles Lakers,W,96,93,W 1,4-5,3
10,2005-11-25,San Antonio Spurs,W,106,99,W 2,5-5,7
11,2005-11-26,Houston Rockets,W,94,89,W 3,6-5,5
12,2005-11-29,Orlando Magic,W,85,76,W 4,7-5,9
13,2005-11-30,New York Knicks,L,101,109,L 1,7-6,-8
14,2005-12-02,Boston Celtics,W,106,102,W 1,8-6,4
15,2005-12-03,Detroit Pistons,L,79,92,L 1,8-7,-13
16,2005-12-05,Dallas Mavericks,L,94,102,L 2,8-8,-8
17,2005-12-07,Orlando Magic,W,102,93,W 1,9-8,9
18,2005-12-09,Los Angeles Lakers,L,80,93,L 1,9-9,-13
19,2005-12-10,Washington Wizards,W,118,111,W 1,10-9,7
20,2005-12-13,Miami Heat,L,97,100,L 1,10-10,-3
21,2005-12-14,Toronto Raptors,W,105,94,W 1,11-10,11
22,2005-12-16,Detroit Pistons,L,82,110,L 1,11-11,-28
23,2005-12-17,Boston Celtics,W,118,86,W 1,12-11,32
24,2005-12-20,Charlotte Bobcats,L,92,105,L 1,12-12,-13
25,2005-12-22,Cleveland Cavaliers,L,100,108,L 2,12-13,-8
26,2005-12-23,Memphis Grizzlies,L,77,95,L 3,12-14,-18
27,2005-12-26,Cleveland Cavaliers,L,91,102,L 4,12-15,-11
28,2005-12-28,Charlotte Bobcats,L,80,93,L 5,12-16,-13
29,2005-12-31,Phoenix Suns,L,98,107,L 6,12-17,-9
30,2006-01-02,Milwaukee Bucks,L,92,93,L 7,12-18,-1
31,2006-01-04,Seattle SuperSonics,L,97,101,L 8,12-19,-4
32,2006-01-06,Milwaukee Bucks,W,105,91,W 1,13-19,14
33,2006-01-07,Memphis Grizzlies,W,111,82,W 2,14-19,29
34,2006-01-09,Toronto Raptors,W,113,104,W 3,15-19,9
35,2006-01-11,Minnesota Timberwolves,L,93,99,L 1,15-20,-6
36,2006-01-14,Indiana Pacers,L,89,91,L 2,15-21,-2
37,2006-01-16,Denver Nuggets,L,94,97,L 3,15-22,-3
38,2006-01-18,New York Knicks,W,106,104,W 1,16-22,2
39,2006-01-20,Houston Rockets,L,108,109,L 1,16-23,-1
40,2006-01-21,Indiana Pacers,W,101,89,W 1,17-23,12
41,2006-01-25,Toronto Raptors,W,104,88,W 2,18-23,16
42,2006-01-27,Washington Wizards,W,90,79,W 3,19-23,11
43,2006-01-28,Atlanta Hawks,W,111,99,W 4,20-23,12
44,2006-01-31,Dallas Mavericks,L,94,98,L 1,20-24,-4
45,2006-02-01,New Orleans/Oklahoma City Hornets,L,95,100,L 2,20-25,-5
46,2006-02-04,Phoenix Suns,L,101,118,L 3,20-26,-17
47,2006-02-06,Utah Jazz,L,107,109,L 4,20-27,-2
48,2006-02-08,Denver Nuggets,W,110,107,W 1,21-27,3
49,2006-02-09,Sacramento Kings,L,80,98,L 1,21-28,-18
50,2006-02-12,Los Angeles Clippers,W,97,91,W 1,22-28,6
51,2006-02-14,Sacramento Kings,L,101,105,L 1,22-29,-4
52,2006-02-16,Philadelphia 76ers,W,117,84,W 1,23-29,33
53,2006-02-22,Milwaukee Bucks,W,97,91,W 2,24-29,6
54,2006-02-24,Detroit Pistons,L,87,95,L 1,24-30,-8
55,2006-02-25,Philadelphia 76ers,L,102,108,L 2,24-31,-6
56,2006-02-28,Minnesota Timberwolves,W,111,100,W 1,25-31,11
57,2006-03-02,Cleveland Cavaliers,L,91,92,L 1,25-32,-1
58,2006-03-03,New York Knicks,W,108,101,W 1,26-32,7
59,2006-03-05,Cleveland Cavaliers,L,72,91,L 1,26-33,-19
60,2006-03-07,New Jersey Nets,W,95,87,W 1,27-33,8
61,2006-03-08,Detroit Pistons,L,101,106,L 1,27-34,-5
62,2006-03-10,Los Angeles Clippers,L,96,107,L 2,27-35,-11
63,2006-03-11,Atlanta Hawks,W,95,90,W 1,28-35,5
64,2006-03-14,Portland Trail Blazers,W,95,66,W 2,29-35,29
65,2006-03-15,Milwaukee Bucks,L,88,104,L 1,29-36,-16
66,2006-03-18,Miami Heat,L,84,85,L 2,29-37,-1
67,2006-03-19,Washington Wizards,L,104,113,L 3,29-38,-9
68,2006-03-22,Indiana Pacers,L,85,95,L 4,29-39,-10
69,2006-03-24,New Orleans/Oklahoma City Hornets,W,96,82,W 1,30-39,14
70,2006-03-26,Boston Celtics,W,101,97,W 2,31-39,4
71,2006-03-28,Orlando Magic,L,93,97,L 1,31-40,-4
72,2006-03-31,Charlotte Bobcats,W,113,107,W 1,32-40,6
73,2006-04-01,Boston Celtics,W,100,94,W 2,33-40,6
74,2006-04-04,Indiana Pacers,W,102,96,W 3,34-40,6
75,2006-04-05,Philadelphia 76ers,W,99,92,W 4,35-40,7
76,2006-04-08,Philadelphia 76ers,L,75,89,L 1,35-41,-14
77,2006-04-11,New Jersey Nets,W,104,101,W 1,36-41,3
78,2006-04-12,Atlanta Hawks,W,96,90,W 2,37-41,6
79,2006-04-14,Washington Wizards,W,103,101,W 3,38-41,2
80,2006-04-16,Miami Heat,W,117,93,W 4,39-41,24
81,2006-04-17,Orlando Magic,W,116,112,W 5,40-41,4
82,2006-04-19,Toronto Raptors,W,127,106,W 6,41-41,21
