G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2016-10-25,New York Knicks,W,117,88,W 1,1-0,29
2,2016-10-28,Toronto Raptors,W,94,91,W 2,2-0,3
3,2016-10-29,Orlando Magic,W,105,99,W 3,3-0,6
4,2016-11-01,Houston Rockets,W,128,120,W 4,4-0,8
5,2016-11-03,Boston Celtics,W,128,122,W 5,5-0,6
6,2016-11-05,Philadelphia 76ers,W,102,101,W 6,6-0,1
7,2016-11-08,Atlanta Hawks,L,106,110,L 1,6-1,-4
8,2016-11-11,Washington Wizards,W,105,94,W 1,7-1,11
9,2016-11-13,Charlotte Hornets,W,100,93,W 2,8-1,7
10,2016-11-15,Toronto Raptors,W,121,117,W 3,9-1,4
11,2016-11-16,Indiana Pacers,L,93,103,L 1,9-2,-10
12,2016-11-18,Detroit Pistons,W,104,81,W 1,10-2,23
13,2016-11-23,Portland Trail Blazers,W,137,125,W 2,11-2,12
14,2016-11-25,Dallas Mavericks,W,128,90,W 3,12-2,38
15,2016-11-27,Philadelphia 76ers,W,112,108,W 4,13-2,4
16,2016-11-29,Milwaukee Bucks,L,101,118,L 1,13-3,-17
17,2016-12-01,Los Angeles Clippers,L,94,113,L 2,13-4,-19
18,2016-12-02,Chicago Bulls,L,105,111,L 3,13-5,-6
19,2016-12-05,Toronto Raptors,W,116,112,W 1,14-5,4
20,2016-12-07,New York Knicks,W,126,94,W 2,15-5,32
21,2016-12-09,Miami Heat,W,114,84,W 3,16-5,30
22,2016-12-10,Charlotte Hornets,W,116,105,W 4,17-5,11
23,2016-12-13,Memphis Grizzlies,W,103,86,W 5,18-5,17
24,2016-12-14,Memphis Grizzlies,L,85,93,L 1,18-6,-8
25,2016-12-17,Los Angeles Lakers,W,119,108,W 1,19-6,11
26,2016-12-20,Milwaukee Bucks,W,114,108,W 2,20-6,6
27,2016-12-21,Milwaukee Bucks,W,113,102,W 3,21-6,11
28,2016-12-23,Brooklyn Nets,W,119,99,W 4,22-6,20
29,2016-12-25,Golden State Warriors,W,109,108,W 5,23-6,1
30,2016-12-26,Detroit Pistons,L,90,106,L 1,23-7,-16
31,2016-12-29,Boston Celtics,W,124,118,W 1,24-7,6
32,2016-12-31,Charlotte Hornets,W,121,109,W 2,25-7,12
33,2017-01-02,New Orleans Pelicans,W,90,82,W 3,26-7,8
34,2017-01-04,Chicago Bulls,L,94,106,L 1,26-8,-12
35,2017-01-06,Brooklyn Nets,W,116,108,W 1,27-8,8
36,2017-01-08,Phoenix Suns,W,120,116,W 2,28-8,4
37,2017-01-10,Utah Jazz,L,92,100,L 1,28-9,-8
38,2017-01-11,Portland Trail Blazers,L,86,102,L 2,28-10,-16
39,2017-01-13,Sacramento Kings,W,120,108,W 1,29-10,12
40,2017-01-16,Golden State Warriors,L,91,126,L 1,29-11,-35
41,2017-01-19,Phoenix Suns,W,118,103,W 1,30-11,15
42,2017-01-21,San Antonio Spurs,L,115,118,L 1,30-12,-3
43,2017-01-23,New Orleans Pelicans,L,122,124,L 2,30-13,-2
44,2017-01-25,Sacramento Kings,L,112,116,L 3,30-14,-4
45,2017-01-27,Brooklyn Nets,W,124,116,W 1,31-14,8
46,2017-01-29,Oklahoma City Thunder,W,107,91,W 2,32-14,16
47,2017-01-30,Dallas Mavericks,L,97,104,L 1,32-15,-7
48,2017-02-01,Minnesota Timberwolves,W,125,97,W 1,33-15,28
49,2017-02-04,New York Knicks,W,111,104,W 2,34-15,7
50,2017-02-06,Washington Wizards,W,140,135,W 3,35-15,5
51,2017-02-08,Indiana Pacers,W,132,117,W 4,36-15,15
52,2017-02-09,Oklahoma City Thunder,L,109,118,L 1,36-16,-9
53,2017-02-11,Denver Nuggets,W,125,109,W 1,37-16,16
54,2017-02-14,Minnesota Timberwolves,W,116,108,W 2,38-16,8
55,2017-02-15,Indiana Pacers,W,113,104,W 3,39-16,9
56,2017-02-23,New York Knicks,W,119,104,W 4,40-16,15
57,2017-02-25,Chicago Bulls,L,99,117,L 1,40-17,-18
58,2017-02-27,Milwaukee Bucks,W,102,95,W 1,41-17,7
59,2017-03-01,Boston Celtics,L,99,103,L 1,41-18,-4
60,2017-03-03,Atlanta Hawks,W,135,130,W 1,42-18,5
61,2017-03-04,Miami Heat,L,92,120,L 1,42-19,-28
62,2017-03-06,Miami Heat,L,98,106,L 2,42-20,-8
63,2017-03-09,Detroit Pistons,L,101,106,L 3,42-21,-5
64,2017-03-11,Orlando Magic,W,116,104,W 1,43-21,12
65,2017-03-12,Houston Rockets,L,112,117,L 1,43-22,-5
66,2017-03-14,Detroit Pistons,W,128,96,W 1,44-22,32
67,2017-03-16,Utah Jazz,W,91,83,W 2,45-22,8
68,2017-03-18,Los Angeles Clippers,L,78,108,L 1,45-23,-30
69,2017-03-19,Los Angeles Lakers,W,125,120,W 1,46-23,5
70,2017-03-22,Denver Nuggets,L,113,126,L 1,46-24,-13
71,2017-03-24,Charlotte Hornets,W,112,105,W 1,47-24,7
72,2017-03-25,Washington Wizards,L,115,127,L 1,47-25,-12
73,2017-03-27,San Antonio Spurs,L,74,103,L 2,47-26,-29
74,2017-03-30,Chicago Bulls,L,93,99,L 3,47-27,-6
75,2017-03-31,Philadelphia 76ers,W,122,105,W 1,48-27,17
76,2017-04-02,Indiana Pacers,W,135,130,W 2,49-27,5
77,2017-04-04,Orlando Magic,W,122,102,W 3,50-27,20
78,2017-04-05,Boston Celtics,W,114,91,W 4,51-27,23
79,2017-04-07,Atlanta Hawks,L,100,114,L 1,51-28,-14
80,2017-04-09,Atlanta Hawks,L,125,126,L 2,51-29,-1
81,2017-04-10,Miami Heat,L,121,124,L 3,51-30,-3
82,2017-04-12,Toronto Raptors,L,83,98,L 4,51-31,-15
