G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1987-11-06,Utah Jazz,W,95,93,W 1,1-0,2
2,1987-11-07,San Antonio Spurs,L,106,130,L 1,1-1,-24
3,1987-11-10,Seattle SuperSonics,W,117,101,W 1,2-1,16
4,1987-11-11,Utah Jazz,L,92,121,L 1,2-2,-29
5,1987-11-13,Seattle SuperSonics,L,95,103,L 2,2-3,-8
6,1987-11-14,Portland Trail Blazers,W,127,116,W 1,3-3,11
7,1987-11-18,Los Angeles Clippers,W,97,87,W 2,4-3,10
8,1987-11-20,Los Angeles Lakers,L,116,119,L 1,4-4,-3
9,1987-11-21,Sacramento Kings,W,103,96,W 1,5-4,7
10,1987-11-25,Detroit Pistons,W,113,107,W 2,6-4,6
11,1987-11-27,Chicago Bulls,W,94,93,W 3,7-4,1
12,1987-11-28,Denver Nuggets,L,98,106,L 1,7-5,-8
13,1987-12-04,Golden State Warriors,W,116,95,W 1,8-5,21
14,1987-12-05,Denver Nuggets,W,109,96,W 2,9-5,13
15,1987-12-09,Sacramento Kings,W,125,98,W 3,10-5,27
16,1987-12-11,Phoenix Suns,W,108,104,W 4,11-5,4
17,1987-12-13,Milwaukee Bucks,W,113,99,W 5,12-5,14
18,1987-12-15,Cleveland Cavaliers,L,93,106,L 1,12-6,-13
19,1987-12-16,New Jersey Nets,W,109,105,W 1,13-6,4
20,1987-12-18,Detroit Pistons,L,112,117,L 1,13-7,-5
21,1987-12-19,Philadelphia 76ers,L,90,95,L 2,13-8,-5
22,1987-12-22,Chicago Bulls,W,111,100,W 1,14-8,11
23,1987-12-23,Indiana Pacers,W,110,109,W 2,15-8,1
24,1987-12-26,Houston Rockets,W,105,100,W 3,16-8,5
25,1987-12-29,Sacramento Kings,W,126,117,W 4,17-8,9
26,1988-01-02,San Antonio Spurs,W,116,109,W 5,18-8,7
27,1988-01-04,Houston Rockets,L,107,117,L 1,18-9,-10
28,1988-01-06,Los Angeles Lakers,L,89,103,L 2,18-10,-14
29,1988-01-07,Phoenix Suns,W,105,91,W 1,19-10,14
30,1988-01-09,Golden State Warriors,W,115,99,W 2,20-10,16
31,1988-01-13,Indiana Pacers,W,110,108,W 3,21-10,2
32,1988-01-16,Atlanta Hawks,L,98,101,L 1,21-11,-3
33,1988-01-18,Los Angeles Clippers,W,99,87,W 1,22-11,12
34,1988-01-19,Portland Trail Blazers,W,120,116,W 2,23-11,4
35,1988-01-22,Los Angeles Clippers,W,110,87,W 3,24-11,23
36,1988-01-23,Milwaukee Bucks,W,113,97,W 4,25-11,16
37,1988-01-26,San Antonio Spurs,W,128,111,W 5,26-11,17
38,1988-01-27,Phoenix Suns,W,121,102,W 6,27-11,19
39,1988-01-29,Seattle SuperSonics,W,117,109,W 7,28-11,8
40,1988-01-30,Houston Rockets,L,92,108,L 1,28-12,-16
41,1988-02-01,New Jersey Nets,L,103,108,L 2,28-13,-5
42,1988-02-03,Denver Nuggets,L,105,115,L 3,28-14,-10
43,1988-02-04,Sacramento Kings,L,101,118,L 4,28-15,-17
44,1988-02-09,Utah Jazz,W,124,93,W 1,29-15,31
45,1988-02-10,Utah Jazz,L,80,93,L 1,29-16,-13
46,1988-02-12,Boston Celtics,L,104,105,L 2,29-17,-1
47,1988-02-14,Los Angeles Clippers,W,110,100,W 1,30-17,10
48,1988-02-15,Seattle SuperSonics,W,128,122,W 2,31-17,6
49,1988-02-17,Washington Bullets,W,123,108,W 3,32-17,15
50,1988-02-19,Golden State Warriors,W,113,100,W 4,33-17,13
51,1988-02-22,Phoenix Suns,W,114,107,W 5,34-17,7
52,1988-02-24,Cleveland Cavaliers,W,93,89,W 6,35-17,4
53,1988-02-25,Houston Rockets,W,108,106,W 7,36-17,2
54,1988-02-27,Philadelphia 76ers,W,100,91,W 8,37-17,9
55,1988-02-29,Denver Nuggets,W,123,96,W 9,38-17,27
56,1988-03-02,Sacramento Kings,W,115,90,W 10,39-17,25
57,1988-03-04,Houston Rockets,W,118,110,W 11,40-17,8
58,1988-03-06,Los Angeles Lakers,L,97,108,L 1,40-18,-11
59,1988-03-08,Portland Trail Blazers,L,110,112,L 2,40-19,-2
60,1988-03-12,Los Angeles Lakers,W,110,101,W 1,41-19,9
61,1988-03-14,Golden State Warriors,W,121,101,W 2,42-19,20
62,1988-03-16,Utah Jazz,L,105,120,L 1,42-20,-15
63,1988-03-18,Los Angeles Clippers,W,106,98,W 1,43-20,8
64,1988-03-20,Portland Trail Blazers,L,99,105,L 1,43-21,-6
65,1988-03-22,New York Knicks,W,124,105,W 1,44-21,19
66,1988-03-25,Portland Trail Blazers,W,106,101,W 2,45-21,5
67,1988-03-26,San Antonio Spurs,W,131,112,W 3,46-21,19
68,1988-03-28,New York Knicks,L,106,114,L 1,46-22,-8
69,1988-03-29,Atlanta Hawks,L,106,120,L 2,46-23,-14
70,1988-04-01,Washington Bullets,L,103,118,L 3,46-24,-15
71,1988-04-03,Boston Celtics,L,101,110,L 4,46-25,-9
72,1988-04-06,Phoenix Suns,W,119,93,W 1,47-25,26
73,1988-04-08,Utah Jazz,W,118,95,W 2,48-25,23
74,1988-04-09,Denver Nuggets,W,135,109,W 3,49-25,26
75,1988-04-12,Sacramento Kings,W,104,96,W 4,50-25,8
76,1988-04-13,Golden State Warriors,L,110,112,L 1,50-26,-2
