G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1969-10-15,Chicago Bulls,W,98,93,W 1,1-0,5
2,1969-10-18,Boston Celtics,W,124,117,W 2,2-0,7
3,1969-10-21,Los Angeles Lakers,L,137,142,L 1,2-1,-5
4,1969-10-24,Cincinnati Royals,W,131,126,W 1,3-1,5
5,1969-10-25,New York Knicks,L,99,128,L 1,3-2,-29
6,1969-10-28,Detroit Pistons,W,125,110,W 1,4-2,15
7,1969-10-29,Philadelphia 76ers,L,105,129,L 1,4-3,-24
8,1969-10-31,Chicago Bulls,L,109,118,L 2,4-4,-9
9,1969-11-01,Atlanta Hawks,L,137,140,L 3,4-5,-3
10,1969-11-04,San Francisco Warriors,W,124,105,W 1,5-5,19
11,1969-11-05,Philadelphia 76ers,W,139,130,W 2,6-5,9
12,1969-11-07,Seattle SuperSonics,W,126,112,W 3,7-5,14
13,1969-11-08,Cincinnati Royals,L,121,130,L 1,7-6,-9
14,1969-11-09,Milwaukee Bucks,W,116,105,W 1,8-6,11
15,1969-11-14,Boston Celtics,W,109,108,W 2,9-6,1
16,1969-11-15,Milwaukee Bucks,W,129,120,W 3,10-6,9
17,1969-11-18,San Diego Rockets,W,142,138,W 4,11-6,4
18,1969-11-19,Phoenix Suns,W,133,118,W 5,12-6,15
19,1969-11-21,Phoenix Suns,W,126,116,W 6,13-6,10
20,1969-11-23,Los Angeles Lakers,W,129,97,W 7,14-6,32
21,1969-11-25,Phoenix Suns,W,134,124,W 8,15-6,10
22,1969-11-27,San Francisco Warriors,W,118,116,W 9,16-6,2
23,1969-11-29,Boston Celtics,L,106,121,L 1,16-7,-15
24,1969-12-02,Cincinnati Royals,W,129,107,W 1,17-7,22
25,1969-12-03,Boston Celtics,L,105,113,L 1,17-8,-8
26,1969-12-05,New York Knicks,L,107,116,L 2,17-9,-9
27,1969-12-06,Seattle SuperSonics,L,129,132,L 3,17-10,-3
28,1969-12-08,Chicago Bulls,W,125,122,W 1,18-10,3
29,1969-12-10,Phoenix Suns,L,107,137,L 1,18-11,-30
30,1969-12-12,Chicago Bulls,W,123,108,W 1,19-11,15
31,1969-12-13,San Diego Rockets,W,117,105,W 2,20-11,12
32,1969-12-17,Atlanta Hawks,W,138,133,W 3,21-11,5
33,1969-12-19,Detroit Pistons,W,108,105,W 4,22-11,3
34,1969-12-20,New York Knicks,L,91,128,L 1,22-12,-37
35,1969-12-25,Philadelphia 76ers,W,121,113,W 1,23-12,8
36,1969-12-27,San Francisco Warriors,W,147,112,W 2,24-12,35
37,1969-12-28,Milwaukee Bucks,L,124,133,L 1,24-13,-9
38,1969-12-30,Milwaukee Bucks,L,124,126,L 2,24-14,-2
39,1969-12-31,Atlanta Hawks,L,111,122,L 3,24-15,-11
40,1970-01-02,Cincinnati Royals,W,118,116,W 1,25-15,2
41,1970-01-04,Cincinnati Royals,L,128,129,L 1,25-16,-1
42,1970-01-06,New York Knicks,L,99,129,L 2,25-17,-30
43,1970-01-07,Detroit Pistons,W,121,116,W 1,26-17,5
44,1970-01-09,Boston Celtics,W,142,130,W 2,27-17,12
45,1970-01-10,Atlanta Hawks,W,130,109,W 3,28-17,21
46,1970-01-13,San Diego Rockets,W,144,126,W 4,29-17,18
47,1970-01-15,Phoenix Suns,L,115,124,L 1,29-18,-9
48,1970-01-17,San Diego Rockets,W,131,115,W 1,30-18,16
49,1970-01-18,Phoenix Suns,L,133,134,L 1,30-19,-1
50,1970-01-22,Detroit Pistons,W,119,115,W 1,31-19,4
51,1970-01-23,Philadelphia 76ers,L,118,133,L 1,31-20,-15
52,1970-01-24,Philadelphia 76ers,W,112,111,W 1,32-20,1
53,1970-01-25,Cincinnati Royals,L,122,129,L 1,32-21,-7
54,1970-01-28,Chicago Bulls,W,123,115,W 1,33-21,8
55,1970-01-30,Detroit Pistons,L,117,129,L 1,33-22,-12
56,1970-01-31,Boston Celtics,W,120,117,W 1,34-22,3
57,1970-02-01,Atlanta Hawks,W,133,124,W 2,35-22,9
58,1970-02-03,Seattle SuperSonics,L,115,120,L 1,35-23,-5
59,1970-02-06,Detroit Pistons,W,153,148,W 1,36-23,5
60,1970-02-08,Milwaukee Bucks,W,120,106,W 2,37-23,14
61,1970-02-10,Los Angeles Lakers,W,111,106,W 3,38-23,5
62,1970-02-11,Seattle SuperSonics,L,117,119,L 1,38-24,-2
63,1970-02-13,Seattle SuperSonics,L,138,141,L 2,38-25,-3
64,1970-02-16,San Diego Rockets,W,140,109,W 1,39-25,31
65,1970-02-18,Los Angeles Lakers,W,117,103,W 2,40-25,14
66,1970-02-20,Detroit Pistons,L,119,122,L 1,40-26,-3
67,1970-02-22,New York Knicks,W,110,104,W 1,41-26,6
68,1970-02-24,San Diego Rockets,W,128,118,W 2,42-26,10
69,1970-02-25,Milwaukee Bucks,L,113,115,L 1,42-27,-2
70,1970-02-27,Atlanta Hawks,W,114,107,W 1,43-27,7
71,1970-02-28,New York Knicks,L,101,115,L 1,43-28,-14
72,1970-03-01,Philadelphia 76ers,L,99,104,L 2,43-29,-5
73,1970-03-02,Cincinnati Royals,W,118,110,W 1,44-29,8
74,1970-03-04,Los Angeles Lakers,L,91,94,L 1,44-30,-3
75,1970-03-06,Los Angeles Lakers,W,105,100,W 1,45-30,5
76,1970-03-08,Seattle SuperSonics,W,109,106,W 2,46-30,3
77,1970-03-11,San Francisco Warriors,L,112,115,L 1,46-31,-3
78,1970-03-13,San Francisco Warriors,W,114,108,W 1,47-31,6
79,1970-03-15,Boston Celtics,W,130,127,W 2,48-31,3
80,1970-03-18,Philadelphia 76ers,L,113,119,L 1,48-32,-6
81,1970-03-20,Chicago Bulls,W,138,131,W 1,49-32,7
82,1970-03-21,San Francisco Warriors,W,127,123,W 2,50-32,4
