G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1973-10-09,Houston Rockets,W,107,105,W 1,1-0,2
2,1973-10-12,Boston Celtics,L,112,118,L 1,1-1,-6
3,1973-10-13,Los Angeles Lakers,L,122,125,L 2,1-2,-3
4,1973-10-16,New York Knicks,L,91,117,L 3,1-3,-26
5,1973-10-20,Philadelphia 76ers,W,116,110,W 1,2-3,6
6,1973-10-24,Milwaukee Bucks,L,113,130,L 1,2-4,-17
7,1973-10-26,Cleveland Cavaliers,W,104,97,W 1,3-4,7
8,1973-10-27,Cleveland Cavaliers,W,111,101,W 2,4-4,10
9,1973-10-28,Kansas City-Omaha Kings,W,112,100,W 3,5-4,12
10,1973-10-30,Seattle SuperSonics,W,105,103,W 4,6-4,2
11,1973-11-02,Chicago Bulls,L,97,107,L 1,6-5,-10
12,1973-11-03,Golden State Warriors,L,121,124,L 2,6-6,-3
13,1973-11-04,Chicago Bulls,L,95,101,L 3,6-7,-6
14,1973-11-07,Seattle SuperSonics,L,113,130,L 4,6-8,-17
15,1973-11-09,Portland Trail Blazers,L,108,122,L 5,6-9,-14
16,1973-11-10,Golden State Warriors,L,105,128,L 6,6-10,-23
17,1973-11-13,Atlanta Hawks,W,121,114,W 1,7-10,7
18,1973-11-15,New York Knicks,L,86,97,L 1,7-11,-11
19,1973-11-17,Detroit Pistons,L,94,98,L 2,7-12,-4
20,1973-11-18,Capital Bullets,W,112,101,W 1,8-12,11
21,1973-11-20,Phoenix Suns,W,127,100,W 2,9-12,27
22,1973-11-24,Kansas City-Omaha Kings,W,143,131,W 3,10-12,12
23,1973-11-27,Milwaukee Bucks,L,110,115,L 1,10-13,-5
24,1973-11-28,Atlanta Hawks,L,106,130,L 2,10-14,-24
25,1973-11-30,Capital Bullets,L,113,121,L 3,10-15,-8
26,1973-12-05,Portland Trail Blazers,W,114,110,W 1,11-15,4
27,1973-12-07,New York Knicks,L,108,113,L 1,11-16,-5
28,1973-12-09,Boston Celtics,L,114,118,L 2,11-17,-4
29,1973-12-11,Atlanta Hawks,W,132,127,W 1,12-17,5
30,1973-12-12,Boston Celtics,L,119,126,L 1,12-18,-7
31,1973-12-14,Cleveland Cavaliers,W,102,98,W 1,13-18,4
32,1973-12-18,Cleveland Cavaliers,W,100,93,W 2,14-18,7
33,1973-12-21,New York Knicks,W,117,115,W 3,15-18,2
34,1973-12-22,Kansas City-Omaha Kings,L,112,122,L 1,15-19,-10
35,1973-12-23,Capital Bullets,L,85,110,L 2,15-20,-25
36,1973-12-26,Boston Celtics,L,123,125,L 3,15-21,-2
