G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1973-10-09,Atlanta Hawks,L,114,128,L 1,0-1,-14
2,1973-10-12,Seattle SuperSonics,L,102,103,L 2,0-2,-1
3,1973-10-13,Portland Trail Blazers,L,87,132,L 3,0-3,-45
4,1973-10-19,Chicago Bulls,L,103,117,L 4,0-4,-14
5,1973-10-20,Boston Celtics,W,96,87,W 1,1-4,9
6,1973-10-21,Chicago Bulls,L,99,107,L 1,1-5,-8
7,1973-10-23,New York Knicks,W,101,84,W 1,2-5,17
8,1973-10-28,Philadelphia 76ers,W,119,99,W 2,3-5,20
9,1973-11-03,Philadelphia 76ers,W,112,84,W 3,4-5,28
10,1973-11-04,Phoenix Suns,W,102,99,W 4,5-5,3
11,1973-11-07,Houston Rockets,W,111,97,W 5,6-5,14
12,1973-11-09,Kansas City-Omaha Kings,W,109,96,W 6,7-5,13
13,1973-11-11,Milwaukee Bucks,L,91,110,L 1,7-6,-19
14,1973-11-17,Atlanta Hawks,W,115,109,W 1,8-6,6
15,1973-11-18,Buffalo Braves,L,101,112,L 1,8-7,-11
16,1973-11-21,Los Angeles Lakers,L,97,106,L 2,8-8,-9
17,1973-11-23,Atlanta Hawks,W,101,86,W 1,9-8,15
18,1973-11-25,New York Knicks,W,109,81,W 2,10-8,28
19,1973-11-28,Boston Celtics,L,104,111,L 1,10-9,-7
20,1973-11-30,Buffalo Braves,W,121,113,W 1,11-9,8
21,1973-12-02,Seattle SuperSonics,W,98,96,W 2,12-9,2
22,1973-12-05,Houston Rockets,L,99,119,L 1,12-10,-20
23,1973-12-07,Phoenix Suns,L,92,114,L 2,12-11,-22
24,1973-12-09,Los Angeles Lakers,W,110,96,W 1,13-11,14
25,1973-12-11,Portland Trail Blazers,W,87,82,W 2,14-11,5
26,1973-12-14,Seattle SuperSonics,L,88,93,L 1,14-12,-5
27,1973-12-15,Golden State Warriors,W,106,93,W 1,15-12,13
28,1973-12-18,Atlanta Hawks,L,91,98,L 1,15-13,-7
29,1973-12-20,Kansas City-Omaha Kings,W,98,92,W 1,16-13,6
30,1973-12-22,Houston Rockets,W,98,89,W 2,17-13,9
31,1973-12-23,Buffalo Braves,W,110,85,W 3,18-13,25
32,1973-12-25,New York Knicks,W,102,100,W 4,19-13,2
33,1973-12-26,Chicago Bulls,W,82,81,W 5,20-13,1
34,1973-12-28,Detroit Pistons,L,93,102,L 1,20-14,-9
35,1973-12-29,Kansas City-Omaha Kings,L,102,106,L 2,20-15,-4
36,1974-01-02,New York Knicks,L,81,92,L 3,20-16,-11
37,1974-01-04,Cleveland Cavaliers,W,94,91,W 1,21-16,3
38,1974-01-05,Detroit Pistons,W,93,90,W 2,22-16,3
39,1974-01-06,Milwaukee Bucks,W,90,88,W 3,23-16,2
40,1974-01-08,Los Angeles Lakers,W,94,92,W 4,24-16,2
41,1974-01-11,Milwaukee Bucks,L,113,115,L 1,24-17,-2
42,1974-01-12,Buffalo Braves,L,96,97,L 2,24-18,-1
43,1974-01-17,Cleveland Cavaliers,W,101,86,W 1,25-18,15
44,1974-01-18,Buffalo Braves,L,94,98,L 1,25-19,-4
45,1974-01-19,Golden State Warriors,W,117,90,W 1,26-19,27
46,1974-01-20,Houston Rockets,W,111,105,W 2,27-19,6
47,1974-01-22,Golden State Warriors,L,97,99,L 1,27-20,-2
48,1974-01-25,Los Angeles Lakers,L,124,143,L 2,27-21,-19
49,1974-01-27,Phoenix Suns,L,107,127,L 3,27-22,-20
50,1974-01-30,Chicago Bulls,L,94,103,L 4,27-23,-9
51,1974-02-01,Cleveland Cavaliers,W,107,99,W 1,28-23,8
52,1974-02-03,Boston Celtics,W,112,99,W 2,29-23,13
53,1974-02-05,Atlanta Hawks,L,103,121,L 1,29-24,-18
54,1974-02-06,Phoenix Suns,W,109,101,W 1,30-24,8
55,1974-02-08,Milwaukee Bucks,L,96,105,L 1,30-25,-9
56,1974-02-09,Philadelphia 76ers,W,108,75,W 1,31-25,33
57,1974-02-10,Philadelphia 76ers,L,94,95,L 1,31-26,-1
58,1974-02-12,Cleveland Cavaliers,W,107,99,W 1,32-26,8
59,1974-02-13,Kansas City-Omaha Kings,W,89,87,W 2,33-26,2
60,1974-02-16,Buffalo Braves,W,101,92,W 3,34-26,9
61,1974-02-17,Boston Celtics,W,99,95,W 4,35-26,4
62,1974-02-20,Portland Trail Blazers,W,116,101,W 5,36-26,15
63,1974-02-22,Detroit Pistons,L,83,84,L 1,36-27,-1
64,1974-02-23,Cleveland Cavaliers,L,101,104,L 2,36-28,-3
65,1974-02-24,Detroit Pistons,W,94,84,W 1,37-28,10
66,1974-02-26,New York Knicks,L,71,85,L 1,37-29,-14
67,1974-02-27,Seattle SuperSonics,W,104,100,W 1,38-29,4
