G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2008-10-30,Cleveland Cavaliers,L,79,96,L 1,0-1,-17
2,2008-11-01,Miami Heat,W,100,87,W 1,1-1,13
3,2008-11-03,Detroit Pistons,L,83,101,L 1,1-2,-18
4,2008-11-05,New York Knicks,L,98,101,L 2,1-3,-3
5,2008-11-07,New Orleans Hornets,W,92,89,W 1,2-3,3
6,2008-11-09,Toronto Raptors,L,79,89,L 1,2-4,-10
7,2008-11-11,Denver Nuggets,L,80,88,L 2,2-5,-8
8,2008-11-14,Utah Jazz,W,104,96,W 1,3-5,8
9,2008-11-16,Orlando Magic,L,85,90,L 1,3-6,-5
10,2008-11-18,Dallas Mavericks,L,83,100,L 2,3-7,-17
11,2008-11-21,Atlanta Hawks,L,83,88,L 3,3-8,-5
12,2008-11-22,Milwaukee Bucks,L,74,79,L 4,3-9,-5
13,2008-11-24,Philadelphia 76ers,W,93,84,W 1,4-9,9
14,2008-11-26,Toronto Raptors,L,86,93,L 1,4-10,-7
15,2008-11-28,Indiana Pacers,W,115,108,W 1,5-10,7
16,2008-11-29,Boston Celtics,L,84,89,L 1,5-11,-5
17,2008-12-01,Minnesota Timberwolves,W,100,90,W 1,6-11,10
18,2008-12-03,Oklahoma City Thunder,W,103,97,W 2,7-11,6
19,2008-12-05,Milwaukee Bucks,L,96,101,L 1,7-12,-5
20,2008-12-06,Cleveland Cavaliers,L,74,94,L 2,7-13,-20
21,2008-12-08,Miami Heat,L,96,100,L 3,7-14,-4
22,2008-12-10,New Orleans Hornets,L,89,105,L 4,7-15,-16
23,2008-12-11,Dallas Mavericks,L,90,95,L 5,7-16,-5
24,2008-12-13,Detroit Pistons,L,86,90,L 6,7-17,-4
25,2008-12-15,Atlanta Hawks,L,79,83,L 7,7-18,-4
26,2008-12-16,Chicago Bulls,W,110,101,W 1,8-18,9
27,2008-12-19,Memphis Grizzlies,W,112,83,W 2,9-18,29
28,2008-12-20,Golden State Warriors,L,103,110,L 1,9-19,-7
29,2008-12-23,Washington Wizards,W,80,72,W 1,10-19,8
30,2008-12-26,New Jersey Nets,W,95,87,W 2,11-19,8
31,2008-12-27,New Jersey Nets,L,103,114,L 1,11-20,-11
32,2008-12-30,New York Knicks,L,89,93,L 2,11-21,-4
33,2009-01-02,Milwaukee Bucks,L,75,103,L 3,11-22,-28
34,2009-01-03,Milwaukee Bucks,W,102,92,W 1,12-22,10
35,2009-01-06,Boston Celtics,W,114,106,W 2,13-22,8
36,2009-01-07,Cleveland Cavaliers,L,81,111,L 1,13-23,-30
37,2009-01-09,Philadelphia 76ers,L,87,93,L 2,13-24,-6
38,2009-01-10,Washington Wizards,W,92,89,W 1,14-24,3
39,2009-01-13,Detroit Pistons,W,80,78,W 2,15-24,2
40,2009-01-17,Portland Trail Blazers,W,102,97,W 3,16-24,5
41,2009-01-19,San Antonio Spurs,L,84,86,L 1,16-25,-2
42,2009-01-21,Memphis Grizzlies,W,101,86,W 1,17-25,15
43,2009-01-23,Phoenix Suns,W,98,76,W 2,18-25,22
44,2009-01-25,Indiana Pacers,L,93,98,L 1,18-26,-5
45,2009-01-27,Los Angeles Lakers,W,117,110,W 1,19-26,7
46,2009-01-28,Portland Trail Blazers,L,74,88,L 1,19-27,-14
47,2009-01-30,Denver Nuggets,L,99,110,L 2,19-28,-11
48,2009-02-02,Utah Jazz,L,86,105,L 3,19-29,-19
49,2009-02-06,Atlanta Hawks,L,97,102,L 4,19-30,-5
50,2009-02-08,Miami Heat,L,92,96,L 5,19-31,-4
51,2009-02-09,Los Angeles Clippers,W,94,73,W 1,20-31,21
52,2009-02-11,Washington Wizards,W,101,89,W 2,21-31,12
53,2009-02-17,Orlando Magic,L,102,107,L 1,21-32,-5
54,2009-02-18,Indiana Pacers,W,103,94,W 1,22-32,9
55,2009-02-20,Orlando Magic,L,80,92,L 1,22-33,-12
56,2009-02-22,Houston Rockets,L,78,99,L 2,22-34,-21
57,2009-02-24,Phoenix Suns,L,102,112,L 3,22-35,-10
58,2009-02-25,Sacramento Kings,W,98,91,W 1,23-35,7
59,2009-02-27,Golden State Warriors,W,112,109,W 2,24-35,3
60,2009-02-28,Los Angeles Clippers,W,100,95,W 3,25-35,5
61,2009-03-03,Chicago Bulls,W,96,80,W 4,26-35,16
62,2009-03-06,Atlanta Hawks,W,98,91,W 5,27-35,7
63,2009-03-07,New York Knicks,W,114,105,W 6,28-35,9
64,2009-03-10,San Antonio Spurs,L,86,100,L 1,28-36,-14
65,2009-03-13,Houston Rockets,L,86,91,L 2,28-37,-5
66,2009-03-14,Minnesota Timberwolves,L,100,108,L 3,28-38,-8
67,2009-03-16,Toronto Raptors,W,112,86,W 1,29-38,26
68,2009-03-18,Sacramento Kings,W,104,88,W 2,30-38,16
69,2009-03-20,Toronto Raptors,W,102,89,W 3,31-38,13
70,2009-03-21,Indiana Pacers,L,83,108,L 1,31-39,-25
71,2009-03-25,Washington Wizards,L,93,95,L 2,31-40,-2
72,2009-03-27,Philadelphia 76ers,W,100,95,W 1,32-40,5
73,2009-03-28,New York Knicks,W,96,85,W 2,33-40,11
74,2009-03-31,Los Angeles Lakers,W,94,84,W 3,34-40,10
75,2009-04-01,Boston Celtics,L,109,111,L 1,34-41,-2
76,2009-04-03,Miami Heat,L,92,97,L 2,34-42,-5
77,2009-04-05,Detroit Pistons,L,97,104,L 3,34-43,-7
78,2009-04-07,Philadelphia 76ers,W,101,98,W 1,35-43,3
79,2009-04-10,Oklahoma City Thunder,L,81,84,L 1,35-44,-3
80,2009-04-11,Chicago Bulls,L,106,113,L 2,35-45,-7
81,2009-04-13,New Jersey Nets,L,87,91,L 3,35-46,-4
82,2009-04-15,Orlando Magic,L,73,98,L 4,35-47,-25
