G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1988-11-04,Cleveland Cavaliers,L,93,133,L 1,0-1,-40
2,1988-11-05,Detroit Pistons,L,85,94,L 2,0-2,-9
3,1988-11-08,Los Angeles Clippers,W,117,105,W 1,1-2,12
4,1988-11-11,Washington Bullets,L,87,96,L 1,1-3,-9
5,1988-11-12,Atlanta Hawks,L,111,132,L 2,1-4,-21
6,1988-11-15,New Jersey Nets,L,99,106,L 3,1-5,-7
7,1988-11-17,Dallas Mavericks,L,93,105,L 4,1-6,-12
8,1988-11-19,San Antonio Spurs,W,107,105,W 1,2-6,2
9,1988-11-22,Detroit Pistons,L,93,99,L 1,2-7,-6
10,1988-11-23,Boston Celtics,L,109,114,L 2,2-8,-5
11,1988-11-25,Philadelphia 76ers,L,116,123,L 3,2-9,-7
12,1988-11-26,Washington Bullets,L,113,120,L 4,2-10,-7
13,1988-11-29,Miami Heat,W,99,84,W 1,3-10,15
14,1988-12-01,Philadelphia 76ers,W,109,107,W 2,4-10,2
15,1988-12-03,Houston Rockets,L,104,108,L 1,4-11,-4
16,1988-12-09,New Jersey Nets,W,96,95,W 1,5-11,1
17,1988-12-10,New Jersey Nets,L,112,121,L 1,5-12,-9
18,1988-12-13,Indiana Pacers,L,104,115,L 2,5-13,-11
19,1988-12-14,Indiana Pacers,W,115,106,W 1,6-13,9
20,1988-12-16,Dallas Mavericks,L,98,107,L 1,6-14,-9
21,1988-12-17,Detroit Pistons,L,91,100,L 2,6-15,-9
22,1988-12-20,Milwaukee Bucks,L,115,125,L 3,6-16,-10
23,1988-12-21,Milwaukee Bucks,L,100,112,L 4,6-17,-12
24,1988-12-23,Chicago Bulls,W,103,101,W 1,7-17,2
25,1988-12-26,Houston Rockets,L,95,97,L 1,7-18,-2
26,1988-12-28,Cleveland Cavaliers,L,98,122,L 2,7-19,-24
27,1988-12-30,New York Knicks,W,122,111,W 1,8-19,11
28,1989-01-03,New Jersey Nets,L,106,109,L 1,8-20,-3
29,1989-01-04,Washington Bullets,L,86,109,L 2,8-21,-23
30,1989-01-06,Boston Celtics,L,92,115,L 3,8-22,-23
31,1989-01-07,Washington Bullets,W,107,104,W 1,9-22,3
32,1989-01-09,Utah Jazz,L,92,114,L 1,9-23,-22
33,1989-01-11,Chicago Bulls,L,101,106,L 2,9-24,-5
34,1989-01-12,New York Knicks,L,89,106,L 3,9-25,-17
35,1989-01-15,Philadelphia 76ers,L,109,116,L 4,9-26,-7
36,1989-01-16,Philadelphia 76ers,W,127,122,W 1,10-26,5
37,1989-01-18,Milwaukee Bucks,L,106,118,L 1,10-27,-12
38,1989-01-19,Phoenix Suns,L,112,126,L 2,10-28,-14
39,1989-01-21,Atlanta Hawks,L,113,137,L 3,10-29,-24
40,1989-01-24,Phoenix Suns,L,103,106,L 4,10-30,-3
41,1989-01-26,Utah Jazz,W,89,88,W 1,11-30,1
42,1989-01-27,Los Angeles Lakers,L,97,114,L 1,11-31,-17
43,1989-01-30,Portland Trail Blazers,L,118,130,L 2,11-32,-12
44,1989-02-01,Boston Celtics,L,94,107,L 3,11-33,-13
45,1989-02-03,Seattle SuperSonics,W,108,106,W 1,12-33,2
46,1989-02-05,Cleveland Cavaliers,L,91,110,L 1,12-34,-19
47,1989-02-07,Chicago Bulls,L,93,118,L 2,12-35,-25
48,1989-02-09,Atlanta Hawks,W,110,108,W 1,13-35,2
49,1989-02-14,New York Knicks,L,117,129,L 1,13-36,-12
50,1989-02-17,Miami Heat,L,102,103,L 2,13-37,-1
51,1989-02-18,Indiana Pacers,W,119,114,W 1,14-37,5
52,1989-02-22,Chicago Bulls,L,102,130,L 1,14-38,-28
53,1989-02-23,New York Knicks,L,114,139,L 2,14-39,-25
54,1989-02-25,San Antonio Spurs,W,124,113,W 1,15-39,11
55,1989-02-28,Boston Celtics,L,87,112,L 1,15-40,-25
56,1989-03-02,New Jersey Nets,L,103,114,L 2,15-41,-11
57,1989-03-03,Atlanta Hawks,L,109,133,L 3,15-42,-24
58,1989-03-05,Washington Bullets,L,101,114,L 4,15-43,-13
59,1989-03-08,Denver Nuggets,L,99,112,L 5,15-44,-13
60,1989-03-10,Los Angeles Lakers,L,90,123,L 6,15-45,-33
61,1989-03-12,Sacramento Kings,L,105,114,L 7,15-46,-9
62,1989-03-14,Denver Nuggets,L,102,125,L 8,15-47,-23
63,1989-03-16,Seattle SuperSonics,L,88,108,L 9,15-48,-20
64,1989-03-17,Los Angeles Clippers,W,108,105,W 1,16-48,3
65,1989-03-19,Golden State Warriors,L,117,124,L 1,16-49,-7
66,1989-03-20,Sacramento Kings,W,117,110,W 1,17-49,7
67,1989-03-23,Washington Bullets,L,97,102,L 1,17-50,-5
68,1989-03-25,Detroit Pistons,L,101,113,L 2,17-51,-12
69,1989-03-27,New York Knicks,L,105,121,L 3,17-52,-16
70,1989-03-30,Golden State Warriors,L,104,113,L 4,17-53,-9
71,1989-04-01,Portland Trail Blazers,L,121,125,L 5,17-54,-4
72,1989-04-04,Chicago Bulls,L,101,121,L 6,17-55,-20
73,1989-04-07,Philadelphia 76ers,L,108,118,L 7,17-56,-10
74,1989-04-09,Cleveland Cavaliers,L,116,122,L 8,17-57,-6
75,1989-04-10,Atlanta Hawks,L,105,112,L 9,17-58,-7
76,1989-04-12,New York Knicks,W,104,99,W 1,18-58,5
77,1989-04-14,Philadelphia 76ers,W,119,115,W 2,19-58,4
78,1989-04-15,Indiana Pacers,L,105,115,L 1,19-59,-10
79,1989-04-17,Boston Celtics,L,108,113,L 2,19-60,-5
80,1989-04-18,New Jersey Nets,W,121,105,W 1,20-60,16
81,1989-04-21,Milwaukee Bucks,L,110,117,L 1,20-61,-7
82,1989-04-23,Boston Celtics,L,110,120,L 2,20-62,-10
