G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1984-10-27,Portland Trail Blazers,L,119,140,L 1,0-1,-21
2,1984-10-30,Chicago Bulls,L,104,109,L 2,0-2,-5
3,1984-11-01,Houston Rockets,L,106,109,L 3,0-3,-3
4,1984-11-03,Denver Nuggets,L,114,128,L 4,0-4,-14
5,1984-11-06,Houston Rockets,L,94,108,L 5,0-5,-14
6,1984-11-09,New Jersey Nets,W,101,99,W 1,1-5,2
7,1984-11-10,New York Knicks,L,100,113,L 1,1-6,-13
8,1984-11-16,Los Angeles Lakers,L,116,128,L 2,1-7,-12
9,1984-11-17,Los Angeles Clippers,L,113,121,L 3,1-8,-8
10,1984-11-20,Utah Jazz,W,129,122,W 1,2-8,7
11,1984-11-21,Washington Bullets,L,92,97,L 1,2-9,-5
12,1984-11-23,Indiana Pacers,W,122,105,W 1,3-9,17
13,1984-11-24,Boston Celtics,L,124,135,L 1,3-10,-11
14,1984-11-27,Seattle SuperSonics,L,96,104,L 2,3-11,-8
15,1984-11-29,Golden State Warriors,L,107,110,L 3,3-12,-3
16,1984-11-30,Los Angeles Lakers,L,121,130,L 4,3-13,-9
17,1984-12-05,Atlanta Hawks,W,121,100,W 1,4-13,21
18,1984-12-07,Phoenix Suns,L,113,121,L 1,4-14,-8
19,1984-12-09,Utah Jazz,L,120,123,L 2,4-15,-3
20,1984-12-11,San Antonio Spurs,W,121,120,W 1,5-15,1
21,1984-12-12,Dallas Mavericks,L,107,116,L 1,5-16,-9
22,1984-12-14,Denver Nuggets,W,123,117,W 1,6-16,6
23,1984-12-15,Seattle SuperSonics,W,110,105,W 2,7-16,5
24,1984-12-18,Phoenix Suns,W,127,116,W 3,8-16,11
25,1984-12-20,Portland Trail Blazers,W,118,113,W 4,9-16,5
26,1984-12-22,Detroit Pistons,W,129,123,W 5,10-16,6
27,1984-12-26,Utah Jazz,L,122,133,L 1,10-17,-11
28,1984-12-27,Houston Rockets,W,96,92,W 1,11-17,4
29,1984-12-29,Indiana Pacers,L,115,123,L 1,11-18,-8
30,1985-01-02,Phoenix Suns,L,107,115,L 2,11-19,-8
31,1985-01-04,Los Angeles Clippers,W,132,112,W 1,12-19,20
32,1985-01-05,Dallas Mavericks,L,107,135,L 1,12-20,-28
33,1985-01-07,Golden State Warriors,W,110,101,W 1,13-20,9
34,1985-01-08,Houston Rockets,L,110,112,L 1,13-21,-2
35,1985-01-10,Dallas Mavericks,L,110,117,L 2,13-22,-7
36,1985-01-11,Denver Nuggets,L,121,143,L 3,13-23,-22
37,1985-01-13,Seattle SuperSonics,L,114,119,L 4,13-24,-5
38,1985-01-15,Cleveland Cavaliers,L,112,116,L 5,13-25,-4
39,1985-01-17,San Antonio Spurs,L,130,141,L 6,13-26,-11
40,1985-01-19,Washington Bullets,W,103,98,W 1,14-26,5
41,1985-01-22,San Antonio Spurs,L,113,117,L 1,14-27,-4
42,1985-01-24,Milwaukee Bucks,L,119,120,L 2,14-28,-1
43,1985-01-26,Golden State Warriors,W,120,111,W 1,15-28,9
44,1985-01-29,Chicago Bulls,L,97,103,L 1,15-29,-6
