G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1974-10-19,Phoenix Suns,W,94,91,W 1,1-0,3
2,1974-10-20,Los Angeles Lakers,W,105,95,W 2,2-0,10
3,1974-10-22,Washington Bullets,L,121,123,L 1,2-1,-2
4,1974-10-23,Chicago Bulls,W,99,98,W 1,3-1,1
5,1974-10-25,Chicago Bulls,W,112,91,W 2,4-1,21
6,1974-10-30,Milwaukee Bucks,W,99,97,W 3,5-1,2
7,1974-11-02,Houston Rockets,L,97,120,L 1,5-2,-23
8,1974-11-03,Chicago Bulls,L,79,86,L 2,5-3,-7
9,1974-11-05,New Orleans Jazz,W,115,97,W 1,6-3,18
10,1974-11-06,Detroit Pistons,L,104,118,L 1,6-4,-14
11,1974-11-10,Boston Celtics,L,99,102,L 2,6-5,-3
12,1974-11-12,Houston Rockets,L,99,103,L 3,6-6,-4
13,1974-11-13,Washington Bullets,L,81,118,L 4,6-7,-37
14,1974-11-15,Boston Celtics,W,110,109,W 1,7-7,1
15,1974-11-16,Buffalo Braves,L,96,101,L 1,7-8,-5
16,1974-11-19,Detroit Pistons,W,97,87,W 1,8-8,10
17,1974-11-21,Milwaukee Bucks,L,96,106,L 1,8-9,-10
18,1974-11-23,Atlanta Hawks,W,103,100,W 1,9-9,3
19,1974-11-24,Cleveland Cavaliers,W,109,94,W 2,10-9,15
20,1974-11-26,Chicago Bulls,W,93,90,W 3,11-9,3
21,1974-11-27,Los Angeles Lakers,W,107,89,W 4,12-9,18
22,1974-11-29,Milwaukee Bucks,L,99,102,L 1,12-10,-3
23,1974-12-02,Seattle SuperSonics,L,106,110,L 2,12-11,-4
24,1974-12-04,Philadelphia 76ers,L,105,109,L 3,12-12,-4
25,1974-12-05,Cleveland Cavaliers,L,91,124,L 4,12-13,-33
26,1974-12-08,Detroit Pistons,W,96,92,W 1,13-13,4
27,1974-12-10,New York Knicks,L,102,106,L 1,13-14,-4
28,1974-12-12,Milwaukee Bucks,W,113,105,W 1,14-14,8
29,1974-12-13,Detroit Pistons,W,88,84,W 2,15-14,4
30,1974-12-14,Houston Rockets,L,84,123,L 1,15-15,-39
31,1974-12-17,Buffalo Braves,W,111,110,W 1,16-15,1
32,1974-12-19,New York Knicks,L,113,117,L 1,16-16,-4
33,1974-12-20,Chicago Bulls,L,73,96,L 2,16-17,-23
34,1974-12-21,Golden State Warriors,W,107,84,W 1,17-17,23
35,1974-12-23,Chicago Bulls,W,97,87,W 2,18-17,10
36,1974-12-27,Seattle SuperSonics,W,108,98,W 3,19-17,10
37,1974-12-29,Portland Trail Blazers,W,103,99,W 4,20-17,4
38,1974-12-30,Golden State Warriors,L,102,110,L 1,20-18,-8
39,1975-01-01,Atlanta Hawks,L,97,102,L 2,20-19,-5
40,1975-01-03,Philadelphia 76ers,L,95,107,L 3,20-20,-12
41,1975-01-04,Chicago Bulls,L,88,100,L 4,20-21,-12
42,1975-01-05,Houston Rockets,L,106,115,L 5,20-22,-9
43,1975-01-07,Milwaukee Bucks,W,108,99,W 1,21-22,9
44,1975-01-10,Philadelphia 76ers,L,94,102,L 1,21-23,-8
45,1975-01-17,New York Knicks,W,107,90,W 1,22-23,17
46,1975-01-19,Phoenix Suns,L,97,109,L 1,22-24,-12
47,1975-01-21,Portland Trail Blazers,W,109,106,W 1,23-24,3
48,1975-01-22,Washington Bullets,L,88,97,L 1,23-25,-9
49,1975-01-24,Boston Celtics,L,87,96,L 2,23-26,-9
50,1975-01-25,New York Knicks,W,112,103,W 1,24-26,9
51,1975-01-29,Milwaukee Bucks,W,106,102,W 2,25-26,4
52,1975-02-02,Golden State Warriors,W,127,101,W 3,26-26,26
53,1975-02-03,Philadelphia 76ers,W,100,87,W 4,27-26,13
54,1975-02-05,Portland Trail Blazers,W,90,82,W 5,28-26,8
55,1975-02-06,Milwaukee Bucks,W,95,94,W 6,29-26,1
56,1975-02-08,Cleveland Cavaliers,L,91,92,L 1,29-27,-1
57,1975-02-12,Boston Celtics,W,103,102,W 1,30-27,1
58,1975-02-14,Buffalo Braves,W,132,112,W 2,31-27,20
59,1975-02-15,Detroit Pistons,W,93,81,W 3,32-27,12
60,1975-02-16,Detroit Pistons,W,102,99,W 4,33-27,3
61,1975-02-19,Los Angeles Lakers,W,115,92,W 5,34-27,23
62,1975-02-25,Milwaukee Bucks,W,93,90,W 6,35-27,3
63,1975-02-28,New Orleans Jazz,L,107,114,L 1,35-28,-7
64,1975-03-01,Atlanta Hawks,L,95,108,L 2,35-29,-13
65,1975-03-02,Detroit Pistons,W,122,112,W 1,36-29,10
66,1975-03-04,Phoenix Suns,W,103,99,W 2,37-29,4
67,1975-03-06,Buffalo Braves,W,111,110,W 3,38-29,1
68,1975-03-08,Seattle SuperSonics,L,99,103,L 1,38-30,-4
69,1975-03-09,Detroit Pistons,L,99,106,L 2,38-31,-7
70,1975-03-10,Milwaukee Bucks,L,96,103,L 3,38-32,-7
71,1975-03-14,Washington Bullets,W,103,102,W 1,39-32,1
72,1975-03-18,Atlanta Hawks,W,105,101,W 2,40-32,4
73,1975-03-20,New Orleans Jazz,W,101,95,W 3,41-32,6
74,1975-03-21,Chicago Bulls,L,98,104,L 1,41-33,-6
75,1975-03-23,Chicago Bulls,W,103,101,W 1,42-33,2
76,1975-03-25,New Orleans Jazz,L,110,112,L 1,42-34,-2
77,1975-03-27,Golden State Warriors,L,103,111,L 2,42-35,-8
78,1975-03-28,Los Angeles Lakers,L,103,114,L 3,42-36,-11
79,1975-03-29,Phoenix Suns,W,104,100,W 1,43-36,4
80,1975-04-02,Seattle SuperSonics,L,96,99,L 1,43-37,-3
81,1975-04-04,Portland Trail Blazers,L,110,116,L 2,43-38,-6
82,1975-04-06,Cleveland Cavaliers,W,95,94,W 1,44-38,1
