G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1995-11-03,Toronto Raptors,L,79,94,L 1,0-1,-15
2,1995-11-07,Portland Trail Blazers,W,104,84,W 1,1-1,20
3,1995-11-08,Orlando Magic,L,122,130,L 1,1-2,-8
4,1995-11-10,Miami Heat,L,80,106,L 2,1-3,-26
5,1995-11-11,Sacramento Kings,W,86,84,W 1,2-3,2
6,1995-11-15,Charlotte Hornets,W,90,79,W 2,3-3,11
7,1995-11-17,Chicago Bulls,L,94,109,L 1,3-4,-15
8,1995-11-18,Philadelphia 76ers,W,95,79,W 1,4-4,16
9,1995-11-20,Utah Jazz,L,79,105,L 1,4-5,-26
10,1995-11-22,Los Angeles Clippers,L,92,125,L 2,4-6,-33
11,1995-11-24,Portland Trail Blazers,L,87,99,L 3,4-7,-12
12,1995-11-26,Sacramento Kings,L,92,99,L 4,4-8,-7
13,1995-11-28,Washington Bullets,W,89,84,W 1,5-8,5
14,1995-12-01,Boston Celtics,W,131,123,W 2,6-8,8
15,1995-12-02,Cleveland Cavaliers,W,79,78,W 3,7-8,1
16,1995-12-06,Minnesota Timberwolves,L,97,108,L 1,7-9,-11
17,1995-12-08,Indiana Pacers,W,91,89,W 1,8-9,2
18,1995-12-09,Cleveland Cavaliers,W,85,73,W 2,9-9,12
19,1995-12-12,Orlando Magic,L,97,101,L 1,9-10,-4
20,1995-12-15,Detroit Pistons,L,98,105,L 2,9-11,-7
21,1995-12-18,Utah Jazz,L,103,110,L 3,9-12,-7
22,1995-12-20,Miami Heat,L,104,112,L 4,9-13,-8
23,1995-12-22,Atlanta Hawks,L,91,94,L 5,9-14,-3
24,1995-12-23,Philadelphia 76ers,W,98,85,W 1,10-14,13
25,1995-12-26,Miami Heat,L,93,96,L 1,10-15,-3
26,1995-12-28,Houston Rockets,L,82,97,L 2,10-16,-15
27,1995-12-30,Golden State Warriors,L,110,120,L 3,10-17,-10
28,1996-01-02,Milwaukee Bucks,W,81,72,W 1,11-17,9
29,1996-01-04,New York Knicks,L,93,105,L 1,11-18,-12
30,1996-01-05,Dallas Mavericks,W,107,99,W 1,12-18,8
31,1996-01-09,Orlando Magic,L,84,92,L 1,12-19,-8
32,1996-01-10,New York Knicks,W,92,79,W 1,13-19,13
33,1996-01-12,Philadelphia 76ers,L,80,107,L 1,13-20,-27
34,1996-01-13,Detroit Pistons,L,80,91,L 2,13-21,-11
35,1996-01-15,Toronto Raptors,W,108,83,W 1,14-21,25
36,1996-01-17,Charlotte Hornets,W,97,93,W 2,15-21,4
37,1996-01-19,Washington Bullets,L,87,93,L 1,15-22,-6
38,1996-01-20,Minnesota Timberwolves,W,103,97,W 1,16-22,6
