G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2002-10-30,Utah Jazz,W,100,75,W 1,1-0,25
2,2002-11-01,Chicago Bulls,L,79,84,L 1,1-1,-5
3,2002-11-02,Miami Heat,W,100,95,W 1,2-1,5
4,2002-11-06,Seattle SuperSonics,W,86,84,W 2,3-1,2
5,2002-11-08,Golden State Warriors,W,110,104,W 3,4-1,6
6,2002-11-10,New York Knicks,W,97,91,W 4,5-1,6
7,2002-11-12,Detroit Pistons,L,87,93,L 1,5-2,-6
8,2002-11-13,Minnesota Timberwolves,W,102,98,W 1,6-2,4
9,2002-11-15,Chicago Bulls,W,105,87,W 2,7-2,18
10,2002-11-16,Atlanta Hawks,L,82,89,L 1,7-3,-7
11,2002-11-19,Philadelphia 76ers,W,99,98,W 1,8-3,1
12,2002-11-22,New York Knicks,W,105,97,W 2,9-3,8
13,2002-11-23,Cleveland Cavaliers,W,97,84,W 3,10-3,13
14,2002-11-25,Philadelphia 76ers,L,87,108,L 1,10-4,-21
15,2002-11-27,Atlanta Hawks,W,106,94,W 1,11-4,12
16,2002-11-30,New York Knicks,L,86,92,L 1,11-5,-6
17,2002-12-01,Boston Celtics,L,86,95,L 2,11-6,-9
18,2002-12-03,Chicago Bulls,W,115,90,W 1,12-6,25
19,2002-12-04,Toronto Raptors,W,89,74,W 2,13-6,15
20,2002-12-06,Houston Rockets,W,98,96,W 3,14-6,2
21,2002-12-07,Milwaukee Bucks,W,94,88,W 4,15-6,6
22,2002-12-09,Los Angeles Clippers,L,90,94,L 1,15-7,-4
23,2002-12-12,Utah Jazz,W,93,88,W 1,16-7,5
24,2002-12-13,Los Angeles Lakers,W,98,82,W 2,17-7,16
25,2002-12-15,Sacramento Kings,L,92,107,L 1,17-8,-15
26,2002-12-17,Portland Trail Blazers,L,93,102,L 2,17-9,-9
27,2002-12-18,Golden State Warriors,L,106,111,L 3,17-10,-5
28,2002-12-20,Seattle SuperSonics,W,88,86,W 1,18-10,2
29,2002-12-23,San Antonio Spurs,L,94,99,L 1,18-11,-5
30,2002-12-26,Dallas Mavericks,L,81,83,L 2,18-12,-2
31,2002-12-28,Indiana Pacers,L,84,91,L 3,18-13,-7
32,2002-12-29,Houston Rockets,L,85,97,L 4,18-14,-12
33,2002-12-31,Indiana Pacers,L,86,89,L 5,18-15,-3
34,2003-01-03,Orlando Magic,W,100,89,W 1,19-15,11
35,2003-01-05,Toronto Raptors,W,99,84,W 2,20-15,15
36,2003-01-06,Memphis Grizzlies,L,102,106,L 1,20-16,-4
37,2003-01-08,Boston Celtics,L,83,93,L 2,20-17,-10
38,2003-01-10,Detroit Pistons,L,99,101,L 3,20-18,-2
39,2003-01-11,Atlanta Hawks,L,80,87,L 4,20-19,-7
40,2003-01-15,Los Angeles Lakers,L,82,90,L 5,20-20,-8
41,2003-01-17,Chicago Bulls,W,90,83,W 1,21-20,7
42,2003-01-20,Phoenix Suns,W,114,102,W 2,22-20,12
43,2003-01-22,Washington Wizards,W,103,94,W 3,23-20,9
44,2003-01-24,Portland Trail Blazers,L,96,97,L 1,23-21,-1
45,2003-01-27,Milwaukee Bucks,L,93,108,L 2,23-22,-15
46,2003-01-29,Toronto Raptors,W,104,83,W 1,24-22,21
47,2003-01-31,New Jersey Nets,L,72,89,L 1,24-23,-17
48,2003-02-01,Washington Wizards,L,104,109,L 2,24-24,-5
49,2003-02-03,Boston Celtics,W,103,96,W 1,25-24,7
50,2003-02-05,Sacramento Kings,W,108,84,W 2,26-24,24
51,2003-02-11,Miami Heat,W,78,69,W 3,27-24,9
52,2003-02-12,Indiana Pacers,L,72,83,L 1,27-25,-11
53,2003-02-14,Minnesota Timberwolves,L,93,114,L 2,27-26,-21
54,2003-02-16,Denver Nuggets,W,100,92,W 1,28-26,8
55,2003-02-18,Orlando Magic,L,94,99,L 1,28-27,-5
56,2003-02-19,Washington Wizards,W,87,75,W 1,29-27,12
57,2003-02-21,Memphis Grizzlies,W,125,123,W 2,30-27,2
58,2003-02-22,Detroit Pistons,W,93,91,W 3,31-27,2
59,2003-02-26,Miami Heat,W,91,82,W 4,32-27,9
60,2003-02-28,Denver Nuggets,W,94,88,W 5,33-27,6
61,2003-03-01,Phoenix Suns,W,97,92,W 6,34-27,5
62,2003-03-03,Los Angeles Clippers,W,111,108,W 7,35-27,3
63,2003-03-07,Cleveland Cavaliers,W,102,76,W 8,36-27,26
64,2003-03-09,New Jersey Nets,L,92,102,L 1,36-28,-10
65,2003-03-11,Indiana Pacers,W,81,71,W 1,37-28,10
66,2003-03-12,Boston Celtics,L,65,93,L 1,37-29,-28
67,2003-03-14,Miami Heat,W,87,83,W 1,38-29,4
68,2003-03-15,Orlando Magic,L,86,96,L 1,38-30,-10
69,2003-03-19,New York Knicks,W,101,96,W 1,39-30,5
70,2003-03-21,Milwaukee Bucks,W,113,98,W 2,40-30,15
71,2003-03-22,Milwaukee Bucks,L,85,93,L 1,40-31,-8
72,2003-03-26,Orlando Magic,L,95,97,L 2,40-32,-2
73,2003-03-28,Toronto Raptors,W,101,92,W 1,41-32,9
74,2003-03-30,San Antonio Spurs,L,90,92,L 1,41-33,-2
75,2003-04-01,Dallas Mavericks,L,86,95,L 2,41-34,-9
76,2003-04-02,New Jersey Nets,W,106,97,W 1,42-34,9
77,2003-04-05,Cleveland Cavaliers,L,76,79,L 1,42-35,-3
78,2003-04-09,Cleveland Cavaliers,W,100,81,W 1,43-35,19
79,2003-04-11,Detroit Pistons,W,93,89,W 2,44-35,4
80,2003-04-13,Philadelphia 76ers,W,94,89,W 3,45-35,5
81,2003-04-14,New Jersey Nets,W,87,74,W 4,46-35,13
82,2003-04-16,Atlanta Hawks,W,92,77,W 5,47-35,15
