G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1976-10-22,Phoenix Suns,W,111,98,W 1,1-0,13
2,1976-10-26,Philadelphia 76ers,L,101,111,L 1,1-1,-10
3,1976-10-29,Washington Bullets,W,111,93,W 1,2-1,18
4,1976-10-30,New York Knicks,W,115,112,W 2,3-1,3
5,1976-10-31,Cleveland Cavaliers,L,92,106,L 1,3-2,-14
6,1976-11-02,Boston Celtics,W,115,97,W 1,4-2,18
7,1976-11-05,San Antonio Spurs,W,127,119,W 2,5-2,8
8,1976-11-07,Detroit Pistons,L,107,115,L 1,5-3,-8
9,1976-11-09,New York Nets,W,110,99,W 1,6-3,11
10,1976-11-10,Washington Bullets,L,103,116,L 1,6-4,-13
11,1976-11-12,Boston Celtics,L,110,117,L 2,6-5,-7
12,1976-11-13,Atlanta Hawks,W,115,86,W 1,7-5,29
13,1976-11-16,Portland Trail Blazers,W,100,98,W 2,8-5,2
14,1976-11-17,Detroit Pistons,L,95,118,L 1,8-6,-23
15,1976-11-19,Philadelphia 76ers,L,95,100,L 2,8-7,-5
16,1976-11-21,Cleveland Cavaliers,W,97,92,W 1,9-7,5
17,1976-11-23,Golden State Warriors,W,117,94,W 2,10-7,23
18,1976-11-25,Houston Rockets,L,99,105,L 1,10-8,-6
19,1976-11-28,Buffalo Braves,W,127,118,W 1,11-8,9
20,1976-12-01,Milwaukee Bucks,W,126,105,W 2,12-8,21
21,1976-12-03,Atlanta Hawks,W,121,105,W 3,13-8,16
22,1976-12-04,Chicago Bulls,L,99,107,L 1,13-9,-8
23,1976-12-05,Denver Nuggets,L,105,117,L 2,13-10,-12
24,1976-12-07,Seattle SuperSonics,W,110,98,W 1,14-10,12
25,1976-12-10,Chicago Bulls,L,78,92,L 1,14-11,-14
26,1976-12-11,San Antonio Spurs,L,106,121,L 2,14-12,-15
27,1976-12-14,Kansas City Kings,W,120,117,W 1,15-12,3
28,1976-12-15,Los Angeles Lakers,L,105,115,L 1,15-13,-10
29,1976-12-17,Atlanta Hawks,L,109,113,L 2,15-14,-4
30,1976-12-18,Houston Rockets,W,110,106,W 1,16-14,4
31,1976-12-19,Detroit Pistons,L,110,125,L 1,16-15,-15
32,1976-12-21,Indiana Pacers,W,123,113,W 1,17-15,10
33,1976-12-22,New York Nets,L,93,127,L 1,17-16,-34
34,1976-12-26,Washington Bullets,W,109,100,W 1,18-16,9
35,1976-12-30,Indiana Pacers,L,97,104,L 1,18-17,-7
36,1977-01-02,Atlanta Hawks,W,93,88,W 1,19-17,5
37,1977-01-07,Portland Trail Blazers,L,118,130,L 1,19-18,-12
38,1977-01-08,Golden State Warriors,L,107,114,L 2,19-19,-7
39,1977-01-09,Seattle SuperSonics,L,76,92,L 3,19-20,-16
40,1977-01-12,Denver Nuggets,L,99,110,L 4,19-21,-11
41,1977-01-14,Buffalo Braves,L,103,131,L 5,19-22,-28
42,1977-01-16,Philadelphia 76ers,L,76,97,L 6,19-23,-21
43,1977-01-18,Boston Celtics,W,99,89,W 1,20-23,10
44,1977-01-22,Golden State Warriors,W,118,100,W 2,21-23,18
45,1977-01-23,New York Knicks,W,111,102,W 3,22-23,9
46,1977-01-26,Kansas City Kings,L,95,101,L 1,22-24,-6
47,1977-01-28,Denver Nuggets,L,96,108,L 2,22-25,-12
48,1977-01-29,Phoenix Suns,L,102,118,L 3,22-26,-16
49,1977-01-30,Los Angeles Lakers,L,99,101,L 4,22-27,-2
50,1977-02-02,Seattle SuperSonics,L,95,120,L 5,22-28,-25
51,1977-02-03,Golden State Warriors,W,105,99,W 1,23-28,6
52,1977-02-06,Houston Rockets,W,99,90,W 2,24-28,9
53,1977-02-09,New York Nets,L,89,93,L 1,24-29,-4
54,1977-02-11,Chicago Bulls,L,92,110,L 2,24-30,-18
55,1977-02-15,Milwaukee Bucks,L,106,117,L 3,24-31,-11
