G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2006-11-01,Boston Celtics,W,91,87,W 1,1-0,4
2,2006-11-03,Indiana Pacers,W,100,91,W 2,2-0,9
3,2006-11-05,Houston Rockets,W,96,90,W 3,3-0,6
4,2006-11-07,Golden State Warriors,W,97,93,W 4,4-0,4
5,2006-11-09,Golden State Warriors,L,116,121,L 1,4-1,-5
6,2006-11-10,Portland Trail Blazers,L,91,92,L 2,4-2,-1
7,2006-11-12,Los Angeles Clippers,L,76,92,L 3,4-3,-16
8,2006-11-14,Charlotte Bobcats,W,94,85,W 1,5-3,9
9,2006-11-15,Detroit Pistons,W,100,99,W 2,6-3,1
10,2006-11-18,Minnesota Timberwolves,W,99,96,W 3,7-3,3
11,2006-11-21,Miami Heat,W,101,86,W 4,8-3,15
12,2006-11-22,Phoenix Suns,L,83,92,L 1,8-4,-9
13,2006-11-24,Minnesota Timberwolves,L,79,86,L 2,8-5,-7
14,2006-11-25,Dallas Mavericks,L,73,85,L 3,8-6,-12
15,2006-11-28,Toronto Raptors,L,77,94,L 4,8-7,-17
16,2006-12-01,Chicago Bulls,L,108,111,L 5,8-8,-3
17,2006-12-06,Los Angeles Lakers,W,105,89,W 1,9-8,16
18,2006-12-08,Seattle SuperSonics,L,74,94,L 1,9-9,-20
19,2006-12-09,Golden State Warriors,L,80,101,L 2,9-10,-21
20,2006-12-11,Cleveland Cavaliers,W,95,89,W 1,10-10,6
21,2006-12-14,San Antonio Spurs,L,77,103,L 1,10-11,-26
22,2006-12-16,Dallas Mavericks,L,79,90,L 2,10-12,-11
23,2006-12-18,Miami Heat,L,99,101,L 3,10-13,-2
24,2006-12-20,Orlando Magic,L,83,86,L 4,10-14,-3
25,2006-12-22,Memphis Grizzlies,W,100,97,W 1,11-14,3
26,2006-12-23,San Antonio Spurs,L,77,112,L 1,11-15,-35
27,2006-12-26,Seattle SuperSonics,L,94,102,L 2,11-16,-8
28,2006-12-27,Portland Trail Blazers,L,85,100,L 3,11-17,-15
29,2006-12-29,Denver Nuggets,W,99,89,W 1,12-17,10
30,2006-12-30,Dallas Mavericks,L,80,94,L 1,12-18,-14
31,2007-01-02,Golden State Warriors,L,89,97,L 2,12-19,-8
32,2007-01-04,Detroit Pistons,L,68,92,L 3,12-20,-24
33,2007-01-06,Indiana Pacers,L,93,100,L 4,12-21,-7
34,2007-01-08,Los Angeles Clippers,L,90,100,L 5,12-22,-10
35,2007-01-10,Atlanta Hawks,W,96,77,W 1,13-22,19
36,2007-01-12,Washington Wizards,W,104,97,W 2,14-22,7
37,2007-01-16,Orlando Magic,W,84,78,W 3,15-22,6
38,2007-01-19,San Antonio Spurs,L,86,99,L 1,15-23,-13
39,2007-01-20,Los Angeles Lakers,W,113,103,W 1,16-23,10
40,2007-01-23,Philadelphia 76ers,L,96,102,L 1,16-24,-6
