G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1979-10-12,Los Angeles Lakers,L,102,103,L 1,0-1,-1
2,1979-10-14,Seattle SuperSonics,W,98,93,W 1,1-1,5
3,1979-10-16,Portland Trail Blazers,L,81,88,L 1,1-2,-7
4,1979-10-18,Chicago Bulls,W,111,107,W 1,2-2,4
5,1979-10-19,Seattle SuperSonics,L,98,106,L 1,2-3,-8
6,1979-10-22,Utah Jazz,L,109,110,L 2,2-4,-1
7,1979-10-23,Denver Nuggets,W,132,127,W 1,3-4,5
8,1979-10-25,Milwaukee Bucks,L,115,118,L 1,3-5,-3
9,1979-10-27,Seattle SuperSonics,W,110,105,W 1,4-5,5
10,1979-10-28,Kansas City Kings,L,101,106,L 1,4-6,-5
11,1979-10-31,San Antonio Spurs,L,123,130,L 2,4-7,-7
12,1979-11-02,Portland Trail Blazers,L,102,123,L 3,4-8,-21
13,1979-11-03,Utah Jazz,W,126,109,W 1,5-8,17
14,1979-11-06,Los Angeles Lakers,L,112,127,L 1,5-9,-15
15,1979-11-07,Phoenix Suns,W,114,102,W 1,6-9,12
16,1979-11-09,Chicago Bulls,L,92,107,L 1,6-10,-15
17,1979-11-10,Milwaukee Bucks,L,104,133,L 2,6-11,-29
18,1979-11-13,Los Angeles Lakers,L,91,137,L 3,6-12,-46
19,1979-11-16,Indiana Pacers,W,105,97,W 1,7-12,8
20,1979-11-18,Milwaukee Bucks,W,112,96,W 2,8-12,16
21,1979-11-20,Phoenix Suns,W,117,110,W 3,9-12,7
22,1979-11-21,Denver Nuggets,L,84,105,L 1,9-13,-21
23,1979-11-23,Kansas City Kings,L,91,107,L 2,9-14,-16
24,1979-11-27,Chicago Bulls,W,128,103,W 1,10-14,25
25,1979-11-28,Golden State Warriors,W,114,108,W 2,11-14,6
26,1979-11-30,Philadelphia 76ers,L,101,104,L 1,11-15,-3
27,1979-12-01,Atlanta Hawks,L,96,106,L 2,11-16,-10
28,1979-12-04,Cleveland Cavaliers,L,112,115,L 3,11-17,-3
29,1979-12-06,Golden State Warriors,W,105,103,W 1,12-17,2
30,1979-12-07,Los Angeles Lakers,W,116,108,W 2,13-17,8
31,1979-12-09,Portland Trail Blazers,W,98,96,W 3,14-17,2
32,1979-12-12,Houston Rockets,L,107,118,L 1,14-18,-11
33,1979-12-14,Denver Nuggets,W,112,108,W 1,15-18,4
34,1979-12-16,Detroit Pistons,W,133,126,W 2,16-18,7
35,1979-12-18,Kansas City Kings,L,96,110,L 1,16-19,-14
36,1979-12-20,New York Knicks,W,128,118,W 1,17-19,10
37,1979-12-21,Utah Jazz,W,110,98,W 2,18-19,12
38,1979-12-23,Utah Jazz,W,124,118,W 3,19-19,6
39,1979-12-26,Seattle SuperSonics,L,104,124,L 1,19-20,-20
40,1979-12-27,Boston Celtics,L,97,118,L 2,19-21,-21
41,1979-12-29,Washington Bullets,W,93,90,W 1,20-21,3
42,1980-01-02,New Jersey Nets,W,103,97,W 2,21-21,6
43,1980-01-03,New York Knicks,L,101,138,L 1,21-22,-37
44,1980-01-04,Chicago Bulls,L,118,121,L 2,21-23,-3
45,1980-01-06,Seattle SuperSonics,W,105,103,W 1,22-23,2
46,1980-01-08,Kansas City Kings,W,124,116,W 2,23-23,8
47,1980-01-09,Milwaukee Bucks,W,111,107,W 3,24-23,4
48,1980-01-11,Golden State Warriors,W,116,112,W 4,25-23,4
49,1980-01-12,Utah Jazz,W,119,102,W 5,26-23,17
50,1980-01-16,Atlanta Hawks,W,111,108,W 6,27-23,3
51,1980-01-18,Golden State Warriors,L,91,92,L 1,27-24,-1
52,1980-01-19,Phoenix Suns,L,123,137,L 2,27-25,-14
