G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1968-10-17,Seattle SuperSonics,W,128,110,W 1,1-0,18
2,1968-10-18,San Francisco Warriors,W,123,108,W 2,2-0,15
3,1968-10-23,Seattle SuperSonics,L,117,118,L 1,2-1,-1
4,1968-10-24,Baltimore Bullets,L,115,119,L 2,2-2,-4
5,1968-10-27,Los Angeles Lakers,L,116,152,L 3,2-3,-36
6,1968-10-30,Atlanta Hawks,W,127,116,W 1,3-3,11
7,1968-11-03,Chicago Bulls,W,121,107,W 2,4-3,14
8,1968-11-05,New York Knicks,W,113,109,W 3,5-3,4
9,1968-11-08,Atlanta Hawks,L,101,114,L 1,5-4,-13
10,1968-11-09,Baltimore Bullets,L,107,109,L 2,5-5,-2
11,1968-11-11,Boston Celtics,L,113,134,L 3,5-6,-21
12,1968-11-12,Chicago Bulls,L,108,115,L 4,5-7,-7
13,1968-11-13,Detroit Pistons,W,122,120,W 1,6-7,2
14,1968-11-15,Los Angeles Lakers,L,119,127,L 1,6-8,-8
15,1968-11-16,Boston Celtics,L,112,120,L 2,6-9,-8
16,1968-11-19,New York Knicks,W,113,107,W 1,7-9,6
17,1968-11-20,Baltimore Bullets,L,110,114,L 1,7-10,-4
18,1968-11-22,Seattle SuperSonics,W,126,111,W 1,8-10,15
19,1968-11-24,Philadelphia 76ers,W,135,128,W 2,9-10,7
20,1968-11-26,Detroit Pistons,L,120,134,L 1,9-11,-14
21,1968-11-27,Baltimore Bullets,W,123,107,W 1,10-11,16
22,1968-11-29,Chicago Bulls,L,89,110,L 1,10-12,-21
23,1968-12-01,San Francisco Warriors,W,116,105,W 1,11-12,11
24,1968-12-03,Chicago Bulls,W,108,103,W 2,12-12,5
25,1968-12-04,Philadelphia 76ers,L,99,110,L 1,12-13,-11
26,1968-12-06,Phoenix Suns,W,117,106,W 1,13-13,11
27,1968-12-08,Los Angeles Lakers,L,118,132,L 1,13-14,-14
28,1968-12-10,Philadelphia 76ers,W,132,120,W 1,14-14,12
29,1968-12-11,Cincinnati Royals,L,110,116,L 1,14-15,-6
30,1968-12-13,Milwaukee Bucks,L,96,101,L 2,14-16,-5
31,1968-12-14,New York Knicks,L,105,112,L 3,14-17,-7
32,1968-12-18,Detroit Pistons,L,112,124,L 4,14-18,-12
33,1968-12-20,Philadelphia 76ers,L,109,116,L 5,14-19,-7
34,1968-12-21,Cincinnati Royals,W,132,124,W 1,15-19,8
35,1968-12-23,San Francisco Warriors,L,95,125,L 1,15-20,-30
36,1968-12-27,New York Knicks,L,109,111,L 2,15-21,-2
37,1968-12-28,Phoenix Suns,W,136,126,W 1,16-21,10
38,1968-12-30,Los Angeles Lakers,L,126,131,L 1,16-22,-5
39,1969-01-02,Boston Celtics,L,95,107,L 2,16-23,-12
40,1969-01-04,Seattle SuperSonics,W,122,105,W 1,17-23,17
41,1969-01-07,San Francisco Warriors,W,113,108,W 2,18-23,5
42,1969-01-08,Baltimore Bullets,L,107,108,L 1,18-24,-1
43,1969-01-10,Baltimore Bullets,L,104,106,L 2,18-25,-2
44,1969-01-12,New York Knicks,L,102,105,L 3,18-26,-3
45,1969-01-16,Cincinnati Royals,L,109,120,L 4,18-27,-11
46,1969-01-17,Philadelphia 76ers,L,124,129,L 5,18-28,-5
47,1969-01-18,Chicago Bulls,L,102,107,L 6,18-29,-5
48,1969-01-19,Phoenix Suns,W,136,118,W 1,19-29,18
49,1969-01-21,Atlanta Hawks,W,124,113,W 2,20-29,11
50,1969-01-24,San Francisco Warriors,L,107,114,L 1,20-30,-7
51,1969-01-25,Phoenix Suns,W,133,120,W 1,21-30,13
52,1969-01-26,Chicago Bulls,W,111,95,W 2,22-30,16
53,1969-01-29,Los Angeles Lakers,L,120,122,L 1,22-31,-2
54,1969-02-01,Milwaukee Bucks,W,101,95,W 1,23-31,6
55,1969-02-02,Atlanta Hawks,L,103,115,L 1,23-32,-12
56,1969-02-04,Boston Celtics,W,135,126,W 1,24-32,9
57,1969-02-05,Cincinnati Royals,W,110,93,W 2,25-32,17
58,1969-02-07,Phoenix Suns,W,130,119,W 3,26-32,11
59,1969-02-08,Detroit Pistons,L,119,123,L 1,26-33,-4
60,1969-02-09,Milwaukee Bucks,L,109,117,L 2,26-34,-8
61,1969-02-12,Cincinnati Royals,W,118,114,W 1,27-34,4
62,1969-02-14,Los Angeles Lakers,L,109,115,L 1,27-35,-6
63,1969-02-18,Philadelphia 76ers,L,113,125,L 2,27-36,-12
64,1969-02-20,San Francisco Warriors,L,118,128,L 3,27-37,-10
65,1969-02-22,New York Knicks,W,108,104,W 1,28-37,4
66,1969-02-23,Atlanta Hawks,L,92,124,L 1,28-38,-32
67,1969-02-25,Milwaukee Bucks,L,112,114,L 2,28-39,-2
68,1969-02-27,Cincinnati Royals,W,127,112,W 1,29-39,15
69,1969-03-01,Los Angeles Lakers,L,113,119,L 1,29-40,-6
70,1969-03-04,Seattle SuperSonics,L,116,130,L 2,29-41,-14
71,1969-03-06,Boston Celtics,W,110,97,W 1,30-41,13
72,1969-03-09,Phoenix Suns,L,133,146,L 1,30-42,-13
73,1969-03-11,Phoenix Suns,W,116,106,W 1,31-42,10
74,1969-03-12,Seattle SuperSonics,L,112,125,L 1,31-43,-13
75,1969-03-13,Detroit Pistons,W,120,105,W 1,32-43,15
76,1969-03-15,Phoenix Suns,W,141,124,W 2,33-43,17
77,1969-03-16,Detroit Pistons,W,120,111,W 3,34-43,9
78,1969-03-18,Milwaukee Bucks,W,128,108,W 4,35-43,20
79,1969-03-20,Atlanta Hawks,W,115,97,W 5,36-43,18
80,1969-03-22,Milwaukee Bucks,L,106,120,L 1,36-44,-14
81,1969-03-23,Atlanta Hawks,W,128,121,W 1,37-44,7
82,1969-03-24,Boston Celtics,L,107,111,L 1,37-45,-4
