G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1982-10-29,Houston Rockets,W,128,95,W 1,1-0,33
2,1982-10-31,San Diego Clippers,W,127,109,W 2,2-0,18
3,1982-11-02,Utah Jazz,W,120,92,W 3,3-0,28
4,1982-11-03,San Antonio Spurs,W,109,107,W 4,4-0,2
5,1982-11-05,New York Knicks,W,112,103,W 5,5-0,9
6,1982-11-07,Milwaukee Bucks,W,102,90,W 6,6-0,12
7,1982-11-09,Chicago Bulls,W,112,111,W 7,7-0,1
8,1982-11-10,Dallas Mavericks,W,94,91,W 8,8-0,3
9,1982-11-13,San Antonio Spurs,W,107,98,W 9,9-0,9
10,1982-11-14,Houston Rockets,W,102,99,W 10,10-0,3
11,1982-11-17,Atlanta Hawks,W,119,97,W 11,11-0,22
12,1982-11-19,Cleveland Cavaliers,W,101,94,W 12,12-0,7
13,1982-11-21,New Jersey Nets,L,91,111,L 1,12-1,-20
14,1982-11-24,Los Angeles Lakers,L,93,111,L 2,12-2,-18
15,1982-11-26,Denver Nuggets,W,127,106,W 1,13-2,21
16,1982-11-27,Golden State Warriors,W,133,118,W 2,14-2,15
17,1982-12-01,San Diego Clippers,W,131,110,W 3,15-2,21
18,1982-12-05,Kansas City Kings,L,103,106,L 1,15-3,-3
19,1982-12-07,Houston Rockets,W,107,88,W 1,16-3,19
20,1982-12-08,Dallas Mavericks,L,94,110,L 1,16-4,-16
21,1982-12-10,Golden State Warriors,L,100,101,L 2,16-5,-1
22,1982-12-14,Phoenix Suns,L,109,114,L 3,16-6,-5
23,1982-12-16,Dallas Mavericks,W,103,93,W 1,17-6,10
24,1982-12-17,Kansas City Kings,W,93,90,W 2,18-6,3
25,1982-12-18,San Diego Clippers,W,121,107,W 3,19-6,14
26,1982-12-21,Portland Trail Blazers,W,99,94,W 4,20-6,5
27,1982-12-23,Golden State Warriors,W,120,95,W 5,21-6,25
28,1982-12-25,Portland Trail Blazers,L,88,95,L 1,21-7,-7
29,1982-12-26,Phoenix Suns,W,88,87,W 1,22-7,1
30,1982-12-29,Utah Jazz,W,109,92,W 2,23-7,17
31,1982-12-30,Los Angeles Lakers,L,117,137,L 1,23-8,-20
32,1983-01-02,Phoenix Suns,L,99,116,L 2,23-9,-17
33,1983-01-05,Indiana Pacers,L,104,108,L 3,23-10,-4
34,1983-01-08,Golden State Warriors,L,104,110,L 4,23-11,-6
35,1983-01-09,Portland Trail Blazers,L,101,110,L 5,23-12,-9
36,1983-01-11,Denver Nuggets,L,119,131,L 6,23-13,-12
37,1983-01-13,Phoenix Suns,L,99,102,L 7,23-14,-3
38,1983-01-14,Portland Trail Blazers,L,99,102,L 8,23-15,-3
39,1983-01-16,Kansas City Kings,W,111,96,W 1,24-15,15
40,1983-01-19,Atlanta Hawks,L,111,116,L 1,24-16,-5
41,1983-01-21,Philadelphia 76ers,L,117,130,L 2,24-17,-13
