G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1970-10-16,Detroit Pistons,L,106,120,L 1,0-1,-14
2,1970-10-17,Cleveland Cavaliers,W,128,108,W 1,1-1,20
3,1970-10-20,Baltimore Bullets,W,125,105,W 2,2-1,20
4,1970-10-21,Atlanta Hawks,L,100,102,L 1,2-2,-2
5,1970-10-22,New York Knicks,L,92,95,L 2,2-3,-3
6,1970-10-24,Portland Trail Blazers,W,118,115,W 1,3-3,3
7,1970-10-28,Philadelphia 76ers,L,108,111,L 1,3-4,-3
8,1970-10-30,Chicago Bulls,L,98,101,L 2,3-5,-3
9,1970-11-02,New York Knicks,L,99,111,L 3,3-6,-12
10,1970-11-04,Baltimore Bullets,W,111,100,W 1,4-6,11
11,1970-11-06,Portland Trail Blazers,W,110,103,W 2,5-6,7
12,1970-11-07,San Diego Rockets,W,114,102,W 3,6-6,12
13,1970-11-10,Cleveland Cavaliers,W,109,74,W 4,7-6,35
14,1970-11-12,Cincinnati Royals,L,107,121,L 1,7-7,-14
15,1970-11-13,San Diego Rockets,W,107,102,W 1,8-7,5
16,1970-11-16,Milwaukee Bucks,L,100,119,L 1,8-8,-19
17,1970-11-17,Chicago Bulls,W,111,105,W 1,9-8,6
18,1970-11-18,Boston Celtics,W,90,89,W 2,10-8,1
19,1970-11-20,Buffalo Braves,W,123,108,W 3,11-8,15
20,1970-11-21,Milwaukee Bucks,L,102,127,L 1,11-9,-25
21,1970-11-24,Philadelphia 76ers,W,104,96,W 1,12-9,8
22,1970-11-25,Cleveland Cavaliers,W,108,99,W 2,13-9,9
23,1970-11-27,Seattle SuperSonics,L,96,101,L 1,13-10,-5
24,1970-11-28,Los Angeles Lakers,W,92,88,W 1,14-10,4
25,1970-12-01,Atlanta Hawks,W,113,106,W 2,15-10,7
26,1970-12-04,Los Angeles Lakers,L,101,123,L 1,15-11,-22
27,1970-12-05,Phoenix Suns,L,100,105,L 2,15-12,-5
28,1970-12-07,Cincinnati Royals,L,113,124,L 3,15-13,-11
29,1970-12-08,Chicago Bulls,L,87,98,L 4,15-14,-11
30,1970-12-09,Detroit Pistons,W,110,99,W 1,16-14,11
31,1970-12-11,Philadelphia 76ers,W,102,101,W 2,17-14,1
32,1970-12-12,Baltimore Bullets,L,96,119,L 1,17-15,-23
33,1970-12-13,New York Knicks,W,101,94,W 1,18-15,7
34,1970-12-15,Phoenix Suns,W,129,123,W 2,19-15,6
35,1970-12-16,Seattle SuperSonics,W,108,91,W 3,20-15,17
36,1970-12-18,Portland Trail Blazers,W,122,118,W 4,21-15,4
37,1970-12-19,Philadelphia 76ers,L,99,108,L 1,21-16,-9
38,1970-12-22,Boston Celtics,L,108,138,L 2,21-17,-30
39,1970-12-26,Milwaukee Bucks,L,111,131,L 3,21-18,-20
40,1970-12-28,Atlanta Hawks,W,115,104,W 1,22-18,11
41,1970-12-30,New York Knicks,L,103,111,L 1,22-19,-8
42,1970-12-31,Boston Celtics,W,144,106,W 1,23-19,38
43,1971-01-02,Phoenix Suns,L,116,122,L 1,23-20,-6
44,1971-01-03,Phoenix Suns,L,81,102,L 2,23-21,-21
45,1971-01-05,Philadelphia 76ers,L,92,97,L 3,23-22,-5
46,1971-01-06,Buffalo Braves,L,108,115,L 4,23-23,-7
47,1971-01-08,San Diego Rockets,W,120,117,W 1,24-23,3
48,1971-01-09,San Diego Rockets,W,109,103,W 2,25-23,6
49,1971-01-16,New York Knicks,W,102,93,W 3,26-23,9
50,1971-01-19,Cincinnati Royals,W,116,108,W 4,27-23,8
51,1971-01-22,Los Angeles Lakers,L,110,130,L 1,27-24,-20
52,1971-01-23,Chicago Bulls,L,83,87,L 2,27-25,-4
53,1971-01-26,Baltimore Bullets,L,98,103,L 3,27-26,-5
54,1971-01-27,Detroit Pistons,W,129,112,W 1,28-26,17
55,1971-01-29,Buffalo Braves,W,106,100,W 2,29-26,6
56,1971-01-30,Los Angeles Lakers,W,87,85,W 3,30-26,2
57,1971-02-02,Atlanta Hawks,W,101,99,W 4,31-26,2
58,1971-02-04,Phoenix Suns,W,117,105,W 5,32-26,12
59,1971-02-05,Portland Trail Blazers,L,117,123,L 1,32-27,-6
60,1971-02-06,Milwaukee Bucks,L,85,111,L 2,32-28,-26
61,1971-02-07,Los Angeles Lakers,L,104,119,L 3,32-29,-15
62,1971-02-10,Seattle SuperSonics,W,133,122,W 1,33-29,11
63,1971-02-11,San Diego Rockets,L,111,119,L 1,33-30,-8
64,1971-02-12,Cincinnati Royals,W,133,119,W 1,34-30,14
65,1971-02-14,Seattle SuperSonics,L,101,146,L 1,34-31,-45
66,1971-02-17,Boston Celtics,L,99,129,L 2,34-32,-30
67,1971-02-19,San Diego Rockets,L,103,109,L 3,34-33,-6
68,1971-02-20,Milwaukee Bucks,L,96,104,L 4,34-34,-8
69,1971-02-22,Buffalo Braves,W,109,91,W 1,35-34,18
70,1971-02-23,Milwaukee Bucks,L,107,118,L 1,35-35,-11
71,1971-02-24,Detroit Pistons,W,117,115,W 1,36-35,2
72,1971-02-27,Los Angeles Lakers,L,107,112,L 1,36-36,-5
73,1971-03-03,Atlanta Hawks,L,105,109,L 2,36-37,-4
74,1971-03-05,Chicago Bulls,L,103,130,L 3,36-38,-27
75,1971-03-06,Baltimore Bullets,W,109,103,W 1,37-38,6
76,1971-03-09,Boston Celtics,L,112,134,L 1,37-39,-22
77,1971-03-12,Seattle SuperSonics,W,111,98,W 1,38-39,13
78,1971-03-13,Detroit Pistons,W,116,107,W 2,39-39,9
79,1971-03-16,Cleveland Cavaliers,L,103,108,L 1,39-40,-5
80,1971-03-17,Cincinnati Royals,W,110,92,W 1,40-40,18
81,1971-03-18,Chicago Bulls,W,91,85,W 2,41-40,6
82,1971-03-21,Seattle SuperSonics,L,106,119,L 1,41-41,-13
