G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1999-02-07,Sacramento Kings,L,87,109,L 1,0-1,-22
2,1999-02-08,Portland Trail Blazers,L,76,95,L 2,0-2,-19
3,1999-02-10,Los Angeles Clippers,W,105,99,W 1,1-2,6
4,1999-02-11,Indiana Pacers,L,97,101,L 1,1-3,-4
5,1999-02-14,Dallas Mavericks,W,96,92,W 1,2-3,4
6,1999-02-16,Los Angeles Clippers,W,93,89,W 2,3-3,4
7,1999-02-17,Boston Celtics,L,129,131,L 1,3-4,-2
8,1999-02-19,Minnesota Timberwolves,L,96,115,L 2,3-5,-19
9,1999-02-21,Toronto Raptors,L,87,102,L 3,3-6,-15
10,1999-02-23,Los Angeles Lakers,W,93,83,W 1,4-6,10
11,1999-02-25,Phoenix Suns,L,86,94,L 1,4-7,-8
12,1999-02-27,Houston Rockets,L,74,86,L 2,4-8,-12
13,1999-02-28,Denver Nuggets,L,112,116,L 3,4-9,-4
14,1999-03-02,Sacramento Kings,L,101,111,L 4,4-10,-10
15,1999-03-03,Utah Jazz,L,86,109,L 5,4-11,-23
16,1999-03-04,Minnesota Timberwolves,L,93,102,L 6,4-12,-9
17,1999-03-06,Houston Rockets,L,92,107,L 7,4-13,-15
18,1999-03-08,Portland Trail Blazers,L,73,92,L 8,4-14,-19
19,1999-03-09,Golden State Warriors,L,82,92,L 9,4-15,-10
20,1999-03-11,Houston Rockets,L,91,102,L 10,4-16,-11
21,1999-03-13,Dallas Mavericks,L,74,91,L 11,4-17,-17
22,1999-03-15,Denver Nuggets,L,84,110,L 12,4-18,-26
23,1999-03-16,Seattle SuperSonics,L,85,87,L 13,4-19,-2
24,1999-03-18,Minnesota Timberwolves,W,86,81,W 1,5-19,5
25,1999-03-20,San Antonio Spurs,L,88,92,L 1,5-20,-4
26,1999-03-22,Phoenix Suns,L,84,89,L 2,5-21,-5
27,1999-03-24,Philadelphia 76ers,L,90,95,L 3,5-22,-5
28,1999-03-26,Utah Jazz,L,80,85,L 4,5-23,-5
29,1999-03-29,Los Angeles Lakers,L,98,116,L 5,5-24,-18
30,1999-03-30,Denver Nuggets,W,101,87,W 1,6-24,14
31,1999-04-01,San Antonio Spurs,L,91,103,L 1,6-25,-12
32,1999-04-02,Atlanta Hawks,L,81,84,L 2,6-26,-3
33,1999-04-04,Chicago Bulls,L,87,88,L 3,6-27,-1
34,1999-04-06,Portland Trail Blazers,L,89,98,L 4,6-28,-9
35,1999-04-07,Denver Nuggets,L,84,87,L 5,6-29,-3
36,1999-04-09,Seattle SuperSonics,W,98,93,W 1,7-29,5
37,1999-04-11,Sacramento Kings,L,88,91,L 1,7-30,-3
38,1999-04-12,Utah Jazz,L,80,98,L 2,7-31,-18
39,1999-04-14,Houston Rockets,L,85,102,L 3,7-32,-17
40,1999-04-16,Minnesota Timberwolves,L,75,89,L 4,7-33,-14
41,1999-04-18,Golden State Warriors,L,85,90,L 5,7-34,-5
42,1999-04-19,Los Angeles Lakers,L,102,117,L 6,7-35,-15
43,1999-04-21,Los Angeles Clippers,W,97,94,W 1,8-35,3
44,1999-04-23,Seattle SuperSonics,L,84,97,L 1,8-36,-13
45,1999-04-24,Los Angeles Clippers,L,96,105,L 2,8-37,-9
46,1999-04-27,Dallas Mavericks,L,75,84,L 3,8-38,-9
47,1999-04-29,San Antonio Spurs,L,72,99,L 4,8-39,-27
48,1999-05-01,Phoenix Suns,L,77,107,L 5,8-40,-30
49,1999-05-03,Golden State Warriors,L,83,91,L 6,8-41,-8
50,1999-05-05,Sacramento Kings,L,95,99,L 7,8-42,-4
