G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1978-10-13,New Orleans Jazz,W,117,101,W 1,1-0,16
2,1978-10-17,New Jersey Nets,W,113,109,W 2,2-0,4
3,1978-10-18,Philadelphia 76ers,W,121,111,W 3,3-0,10
4,1978-10-21,Detroit Pistons,W,119,99,W 4,4-0,20
5,1978-10-24,Portland Trail Blazers,L,102,104,L 1,4-1,-2
6,1978-10-25,Seattle SuperSonics,L,92,121,L 2,4-2,-29
7,1978-10-27,Golden State Warriors,L,83,102,L 3,4-3,-19
8,1978-10-29,Los Angeles Lakers,L,93,109,L 4,4-4,-16
9,1978-10-31,Atlanta Hawks,L,108,110,L 5,4-5,-2
10,1978-11-01,Indiana Pacers,W,124,113,W 1,5-5,11
11,1978-11-04,San Antonio Spurs,W,124,119,W 2,6-5,5
12,1978-11-07,Portland Trail Blazers,W,143,103,W 3,7-5,40
13,1978-11-10,Philadelphia 76ers,L,122,123,L 1,7-6,-1
14,1978-11-11,San Antonio Spurs,L,124,143,L 2,7-7,-19
15,1978-11-14,Cleveland Cavaliers,W,122,106,W 1,8-7,16
16,1978-11-15,Milwaukee Bucks,W,138,111,W 2,9-7,27
17,1978-11-17,New Jersey Nets,W,143,94,W 3,10-7,49
18,1978-11-18,Denver Nuggets,W,119,114,W 4,11-7,5
19,1978-11-22,Boston Celtics,W,119,103,W 5,12-7,16
20,1978-11-24,Los Angeles Lakers,W,113,103,W 6,13-7,10
21,1978-11-26,Golden State Warriors,W,110,102,W 7,14-7,8
22,1978-11-28,New York Knicks,W,133,106,W 8,15-7,27
23,1978-12-01,New Orleans Jazz,W,117,115,W 9,16-7,2
24,1978-12-02,Kansas City Kings,L,109,110,L 1,16-8,-1
25,1978-12-05,Cleveland Cavaliers,W,117,102,W 1,17-8,15
26,1978-12-06,Houston Rockets,W,101,96,W 2,18-8,5
27,1978-12-08,New Jersey Nets,L,100,108,L 1,18-9,-8
28,1978-12-09,Phoenix Suns,W,101,98,W 1,19-9,3
