G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1977-10-18,New Jersey Nets,W,110,93,W 1,1-0,17
2,1977-10-19,Philadelphia 76ers,L,96,113,L 1,1-1,-17
3,1977-10-21,Washington Bullets,L,109,117,L 2,1-2,-8
4,1977-10-22,Denver Nuggets,W,126,106,W 1,2-2,20
5,1977-10-24,Boston Celtics,W,100,85,W 2,3-2,15
6,1977-10-26,Golden State Warriors,W,123,107,W 3,4-2,16
7,1977-10-29,New York Knicks,L,117,124,L 1,4-3,-7
8,1977-11-02,Atlanta Hawks,L,89,102,L 2,4-4,-13
9,1977-11-09,Houston Rockets,W,127,107,W 1,5-4,20
10,1977-11-11,San Antonio Spurs,L,104,107,L 1,5-5,-3
11,1977-11-13,Washington Bullets,W,104,102,W 1,6-5,2
12,1977-11-15,Denver Nuggets,L,113,123,L 1,6-6,-10
13,1977-11-18,Los Angeles Lakers,L,83,116,L 2,6-7,-33
14,1977-11-19,Golden State Warriors,L,96,128,L 3,6-8,-32
15,1977-11-20,Portland Trail Blazers,L,101,118,L 4,6-9,-17
16,1977-11-23,Philadelphia 76ers,L,105,106,L 5,6-10,-1
17,1977-11-26,Cleveland Cavaliers,L,87,105,L 6,6-11,-18
18,1977-11-29,Milwaukee Bucks,W,100,99,W 1,7-11,1
19,1977-11-30,Los Angeles Lakers,W,104,98,W 2,8-11,6
20,1977-12-02,Kansas City Kings,L,97,108,L 1,8-12,-11
21,1977-12-03,Indiana Pacers,L,89,103,L 2,8-13,-14
22,1977-12-07,Phoenix Suns,L,107,113,L 3,8-14,-6
23,1977-12-10,New Orleans Jazz,W,104,86,W 1,9-14,18
24,1977-12-14,Seattle SuperSonics,L,92,102,L 1,9-15,-10
25,1977-12-16,Indiana Pacers,L,106,114,L 2,9-16,-8
26,1977-12-17,Buffalo Braves,L,122,126,L 3,9-17,-4
27,1977-12-18,New Orleans Jazz,W,117,108,W 1,10-17,9
28,1977-12-20,San Antonio Spurs,W,118,117,W 2,11-17,1
29,1977-12-22,Milwaukee Bucks,W,118,102,W 3,12-17,16
30,1977-12-23,Chicago Bulls,W,108,107,W 4,13-17,1
31,1977-12-26,Boston Celtics,W,122,100,W 5,14-17,22
32,1977-12-28,Portland Trail Blazers,L,106,111,L 1,14-18,-5
33,1977-12-30,Buffalo Braves,W,103,87,W 1,15-18,16
34,1978-01-03,Atlanta Hawks,W,106,103,W 2,16-18,3
35,1978-01-04,Atlanta Hawks,W,111,97,W 3,17-18,14
36,1978-01-06,Golden State Warriors,L,106,107,L 1,17-19,-1
37,1978-01-07,Portland Trail Blazers,L,105,109,L 2,17-20,-4
38,1978-01-11,Seattle SuperSonics,L,100,106,L 3,17-21,-6
39,1978-01-13,Phoenix Suns,L,100,111,L 4,17-22,-11
40,1978-01-15,Chicago Bulls,L,101,107,L 5,17-23,-6
41,1978-01-18,Buffalo Braves,W,113,100,W 1,18-23,13
42,1978-01-20,Houston Rockets,L,108,118,L 1,18-24,-10
43,1978-01-22,New Orleans Jazz,L,97,100,L 2,18-25,-3
44,1978-01-24,Washington Bullets,W,104,101,W 1,19-25,3
45,1978-01-25,Golden State Warriors,W,99,95,W 2,20-25,4
46,1978-01-28,Cleveland Cavaliers,W,115,105,W 3,21-25,10
47,1978-01-29,Cleveland Cavaliers,W,120,116,W 4,22-25,4
48,1978-02-01,Phoenix Suns,W,127,120,W 5,23-25,7
49,1978-02-02,Kansas City Kings,L,101,113,L 1,23-26,-12
50,1978-02-03,Denver Nuggets,L,102,115,L 2,23-27,-13
51,1978-02-08,Los Angeles Lakers,L,95,105,L 3,23-28,-10
52,1978-02-10,New Jersey Nets,L,112,117,L 4,23-29,-5
53,1978-02-11,New Orleans Jazz,W,106,96,W 1,24-29,10
54,1978-02-13,New Jersey Nets,W,125,115,W 2,25-29,10
55,1978-02-15,Philadelphia 76ers,L,113,116,L 1,25-30,-3
56,1978-02-17,New York Knicks,L,108,128,L 2,25-31,-20
57,1978-02-19,Kansas City Kings,W,110,107,W 1,26-31,3
58,1978-02-22,Houston Rockets,W,119,108,W 2,27-31,11
59,1978-02-25,Seattle SuperSonics,L,104,118,L 1,27-32,-14
60,1978-02-26,Los Angeles Lakers,W,127,124,W 1,28-32,3
61,1978-03-01,Phoenix Suns,W,115,102,W 2,29-32,13
62,1978-03-03,Washington Bullets,L,108,124,L 1,29-33,-16
63,1978-03-05,Indiana Pacers,W,122,110,W 1,30-33,12
64,1978-03-07,Atlanta Hawks,L,109,123,L 1,30-34,-14
65,1978-03-09,Indiana Pacers,L,105,112,L 2,30-35,-7
66,1978-03-12,New Jersey Nets,W,130,125,W 1,31-35,5
67,1978-03-14,Boston Celtics,L,98,105,L 1,31-36,-7
68,1978-03-15,San Antonio Spurs,L,106,135,L 2,31-37,-29
69,1978-03-16,Houston Rockets,W,106,98,W 1,32-37,8
70,1978-03-19,Chicago Bulls,W,112,92,W 2,33-37,20
71,1978-03-21,Kansas City Kings,L,111,116,L 1,33-38,-5
72,1978-03-24,Portland Trail Blazers,W,107,95,W 1,34-38,12
73,1978-03-26,Milwaukee Bucks,L,109,110,L 1,34-39,-1
74,1978-03-28,Buffalo Braves,W,123,118,W 1,35-39,5
75,1978-03-29,Seattle SuperSonics,W,121,116,W 2,36-39,5
76,1978-03-31,Chicago Bulls,L,107,117,L 1,36-40,-10
77,1978-04-01,Cleveland Cavaliers,L,99,113,L 2,36-41,-14
78,1978-04-02,Milwaukee Bucks,L,121,129,L 3,36-42,-8
79,1978-04-05,Philadelphia 76ers,L,115,126,L 4,36-43,-11
80,1978-04-06,New York Knicks,L,125,129,L 5,36-44,-4
81,1978-04-07,Boston Celtics,W,111,109,W 1,37-44,2
82,1978-04-09,Denver Nuggets,W,139,137,W 2,38-44,2
