G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2009-10-27,Portland Trail Blazers,L,87,96,L 1,0-1,-9
2,2009-10-28,Golden State Warriors,W,108,107,W 1,1-1,1
3,2009-10-31,Portland Trail Blazers,W,111,107,W 2,2-1,4
4,2009-11-02,Utah Jazz,W,113,96,W 3,3-1,17
5,2009-11-04,Los Angeles Lakers,L,102,103,L 1,3-2,-1
6,2009-11-06,Oklahoma City Thunder,W,105,94,W 1,4-2,11
7,2009-11-10,Dallas Mavericks,L,103,121,L 1,4-3,-18
8,2009-11-11,Memphis Grizzlies,W,104,79,W 1,5-3,25
9,2009-11-13,Sacramento Kings,L,100,109,L 1,5-4,-9
10,2009-11-15,Los Angeles Lakers,W,101,91,W 1,6-4,10
11,2009-11-17,Phoenix Suns,L,105,111,L 1,6-5,-6
12,2009-11-18,Minnesota Timberwolves,W,97,84,W 1,7-5,13
13,2009-11-20,Atlanta Hawks,L,103,105,L 1,7-6,-2
14,2009-11-21,Sacramento Kings,W,113,106,W 1,8-6,7
15,2009-11-25,Dallas Mavericks,L,99,130,L 1,8-7,-31
16,2009-11-27,San Antonio Spurs,L,84,92,L 2,8-8,-8
17,2009-11-29,Oklahoma City Thunder,W,100,91,W 1,9-8,9
18,2009-12-02,Los Angeles Clippers,W,102,85,W 2,10-8,17
19,2009-12-03,Golden State Warriors,W,111,109,W 3,11-8,2
20,2009-12-05,Portland Trail Blazers,L,89,90,L 1,11-9,-1
21,2009-12-09,Cleveland Cavaliers,W,95,85,W 1,12-9,10
22,2009-12-11,Philadelphia 76ers,W,96,91,W 2,13-9,5
23,2009-12-13,Toronto Raptors,L,88,101,L 1,13-10,-13
24,2009-12-15,Detroit Pistons,W,107,96,W 1,14-10,11
25,2009-12-16,Denver Nuggets,L,101,111,L 1,14-11,-10
26,2009-12-18,Dallas Mavericks,W,116,108,W 1,15-11,8
27,2009-12-19,Oklahoma City Thunder,W,95,90,W 2,16-11,5
28,2009-12-22,Los Angeles Clippers,W,108,99,W 3,17-11,9
29,2009-12-23,Orlando Magic,L,87,102,L 1,17-12,-15
30,2009-12-26,New Jersey Nets,W,98,93,W 1,18-12,5
31,2009-12-27,Cleveland Cavaliers,L,83,108,L 1,18-13,-25
32,2009-12-29,New Orleans Hornets,W,108,100,W 1,19-13,8
33,2009-12-31,Dallas Mavericks,W,97,94,W 2,20-13,3
34,2010-01-02,New Orleans Hornets,L,95,99,L 1,20-14,-4
35,2010-01-05,Los Angeles Lakers,L,79,88,L 2,20-15,-9
36,2010-01-06,Phoenix Suns,L,110,118,L 3,20-16,-8
37,2010-01-09,New York Knicks,W,105,96,W 1,21-16,9
