G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1977-10-19,Los Angeles Lakers,L,120,133,L 1,0-1,-13
2,1977-10-21,Chicago Bulls,L,119,122,L 2,0-2,-3
3,1977-10-22,Kansas City Kings,W,106,101,W 1,1-2,5
4,1977-10-25,Denver Nuggets,W,129,104,W 2,2-2,25
5,1977-10-28,Washington Bullets,W,136,127,W 3,3-2,9
6,1977-11-02,Seattle SuperSonics,L,104,106,L 1,3-3,-2
7,1977-11-04,Los Angeles Lakers,L,99,111,L 2,3-4,-12
8,1977-11-06,Portland Trail Blazers,L,106,108,L 3,3-5,-2
9,1977-11-09,Golden State Warriors,L,129,132,L 4,3-6,-3
10,1977-11-11,Seattle SuperSonics,L,111,117,L 5,3-7,-6
11,1977-11-13,Phoenix Suns,L,107,116,L 6,3-8,-9
12,1977-11-15,Buffalo Braves,W,100,94,W 1,4-8,6
13,1977-11-16,Portland Trail Blazers,W,111,104,W 2,5-8,7
14,1977-11-18,New Jersey Nets,W,124,116,W 3,6-8,8
15,1977-11-19,New York Knicks,L,127,129,L 1,6-9,-2
16,1977-11-22,New Orleans Jazz,L,108,123,L 2,6-10,-15
17,1977-11-23,Golden State Warriors,W,126,116,W 1,7-10,10
18,1977-11-25,Phoenix Suns,L,110,118,L 1,7-11,-8
19,1977-11-26,Denver Nuggets,L,123,136,L 2,7-12,-13
20,1977-11-30,Milwaukee Bucks,L,113,120,L 3,7-13,-7
21,1977-12-02,Chicago Bulls,L,102,107,L 4,7-14,-5
22,1977-12-03,Detroit Pistons,W,103,89,W 1,8-14,14
23,1977-12-07,New Orleans Jazz,W,118,103,W 2,9-14,15
24,1977-12-10,Philadelphia 76ers,W,114,108,W 3,10-14,6
25,1977-12-14,New York Knicks,L,98,101,L 1,10-15,-3
26,1977-12-16,Detroit Pistons,W,114,106,W 1,11-15,8
27,1977-12-18,Kansas City Kings,L,114,115,L 1,11-16,-1
28,1977-12-21,Atlanta Hawks,W,109,98,W 1,12-16,11
29,1977-12-27,San Antonio Spurs,W,96,89,W 2,13-16,7
30,1977-12-28,Atlanta Hawks,L,92,99,L 1,13-17,-7
31,1977-12-30,Houston Rockets,W,99,98,W 1,14-17,1
32,1978-01-03,New Orleans Jazz,W,104,103,W 2,15-17,1
33,1978-01-04,Houston Rockets,L,96,104,L 1,15-18,-8
34,1978-01-06,Washington Bullets,L,114,146,L 2,15-19,-32
35,1978-01-08,Los Angeles Lakers,W,104,103,W 1,16-19,1
36,1978-01-10,Milwaukee Bucks,L,103,125,L 1,16-20,-22
37,1978-01-12,Buffalo Braves,L,92,111,L 2,16-21,-19
38,1978-01-13,Kansas City Kings,W,108,106,W 1,17-21,2
39,1978-01-16,New Jersey Nets,W,120,112,W 2,18-21,8
40,1978-01-17,Chicago Bulls,L,104,105,L 1,18-22,-1
41,1978-01-18,San Antonio Spurs,L,96,109,L 2,18-23,-13
42,1978-01-20,San Antonio Spurs,L,82,112,L 3,18-24,-30
43,1978-01-21,Atlanta Hawks,L,100,111,L 4,18-25,-11
44,1978-01-22,Buffalo Braves,W,99,90,W 1,19-25,9
45,1978-01-24,Cleveland Cavaliers,L,92,96,L 1,19-26,-4
46,1978-01-29,New Orleans Jazz,L,91,107,L 2,19-27,-16
47,1978-01-31,Boston Celtics,L,94,104,L 3,19-28,-10
48,1978-02-02,Atlanta Hawks,L,105,107,L 4,19-29,-2
49,1978-02-03,Philadelphia 76ers,L,104,116,L 5,19-30,-12
50,1978-02-07,Boston Celtics,L,89,92,L 6,19-31,-3
51,1978-02-08,New Jersey Nets,L,138,140,L 7,19-32,-2
