G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2010-10-27,Portland Trail Blazers,L,88,98,L 1,0-1,-10
2,2010-10-29,Golden State Warriors,L,91,109,L 2,0-2,-18
3,2010-10-31,Dallas Mavericks,L,83,99,L 3,0-3,-16
4,2010-11-01,San Antonio Spurs,L,88,97,L 4,0-4,-9
5,2010-11-03,Oklahoma City Thunder,W,107,92,W 1,1-4,15
6,2010-11-05,Denver Nuggets,L,104,111,L 1,1-5,-7
7,2010-11-06,Utah Jazz,L,107,109,L 2,1-6,-2
8,2010-11-09,New Orleans Hornets,L,82,101,L 3,1-7,-19
9,2010-11-10,San Antonio Spurs,L,95,107,L 4,1-8,-12
10,2010-11-12,Detroit Pistons,L,107,113,L 5,1-9,-6
11,2010-11-15,New Jersey Nets,L,96,110,L 6,1-10,-14
12,2010-11-17,Minnesota Timberwolves,L,111,113,L 7,1-11,-2
13,2010-11-18,Indiana Pacers,L,80,107,L 8,1-12,-27
14,2010-11-20,New York Knicks,L,115,124,L 9,1-13,-9
15,2010-11-22,New Orleans Hornets,W,99,95,W 1,2-13,4
16,2010-11-25,Sacramento Kings,W,100,82,W 2,3-13,18
17,2010-11-26,Phoenix Suns,L,108,116,L 1,3-14,-8
18,2010-11-28,Utah Jazz,L,97,109,L 2,3-15,-12
19,2010-12-01,San Antonio Spurs,W,90,85,W 1,4-15,5
20,2010-12-03,Denver Nuggets,L,104,109,L 1,4-16,-5
21,2010-12-05,Portland Trail Blazers,L,91,100,L 2,4-17,-9
22,2010-12-06,Sacramento Kings,W,98,91,W 1,5-17,7
23,2010-12-08,Los Angeles Lakers,L,86,87,L 1,5-18,-1
24,2010-12-11,Memphis Grizzlies,L,83,84,L 2,5-19,-1
25,2010-12-12,Orlando Magic,L,85,94,L 3,5-20,-9
26,2010-12-15,Philadelphia 76ers,L,91,105,L 4,5-21,-14
27,2010-12-17,Detroit Pistons,W,109,88,W 1,6-21,21
28,2010-12-18,Chicago Bulls,W,100,99,W 2,7-21,1
29,2010-12-20,Minnesota Timberwolves,W,113,90,W 3,8-21,23
30,2010-12-22,Houston Rockets,L,92,97,L 1,8-22,-5
31,2010-12-26,Phoenix Suns,W,108,103,W 1,9-22,5
32,2010-12-27,Sacramento Kings,W,100,99,W 2,10-22,1
33,2010-12-29,Utah Jazz,L,95,103,L 1,10-23,-8
34,2011-01-02,Atlanta Hawks,L,98,107,L 2,10-24,-9
35,2011-01-05,Denver Nuggets,W,106,93,W 1,11-24,13
36,2011-01-09,Golden State Warriors,W,105,91,W 2,12-24,14
37,2011-01-12,Miami Heat,W,111,105,W 3,13-24,6
38,2011-01-14,Golden State Warriors,L,112,122,L 1,13-25,-10
39,2011-01-16,Los Angeles Lakers,W,99,92,W 1,14-25,7
40,2011-01-17,Indiana Pacers,W,114,107,W 2,15-25,7
41,2011-01-19,Minnesota Timberwolves,W,126,111,W 3,16-25,15
42,2011-01-20,Portland Trail Blazers,L,93,108,L 1,16-26,-15
43,2011-01-22,Golden State Warriors,W,113,109,W 1,17-26,4
44,2011-01-25,Dallas Mavericks,L,105,112,L 1,17-27,-7
45,2011-01-26,Houston Rockets,L,83,96,L 2,17-28,-13
46,2011-01-29,Charlotte Bobcats,W,103,88,W 1,18-28,15
47,2011-01-31,Milwaukee Bucks,W,105,98,W 2,19-28,7
48,2011-02-02,Chicago Bulls,L,88,106,L 1,19-29,-18
49,2011-02-04,Atlanta Hawks,L,100,101,L 2,19-30,-1
50,2011-02-06,Miami Heat,L,79,97,L 3,19-31,-18
51,2011-02-08,Orlando Magic,L,85,101,L 4,19-32,-16
52,2011-02-09,New York Knicks,W,116,108,W 1,20-32,8
53,2011-02-11,Cleveland Cavaliers,L,119,126,L 1,20-33,-7
54,2011-02-13,Toronto Raptors,L,93,98,L 2,20-34,-5
55,2011-02-14,Milwaukee Bucks,L,78,102,L 3,20-35,-24
56,2011-02-16,Minnesota Timberwolves,W,98,90,W 1,21-35,8
57,2011-02-22,Oklahoma City Thunder,L,88,111,L 1,21-36,-23
58,2011-02-23,New Orleans Hornets,L,87,98,L 2,21-37,-11
59,2011-02-25,Los Angeles Lakers,L,95,108,L 3,21-38,-13
60,2011-02-26,Boston Celtics,L,92,99,L 4,21-39,-7
61,2011-02-28,Sacramento Kings,L,99,105,L 5,21-40,-6
62,2011-03-02,Houston Rockets,W,106,103,W 1,22-40,3
63,2011-03-05,Denver Nuggets,W,100,94,W 2,23-40,6
64,2011-03-07,Charlotte Bobcats,W,92,87,W 3,24-40,5
65,2011-03-09,Boston Celtics,W,108,103,W 4,25-40,5
66,2011-03-11,New Jersey Nets,L,98,102,L 1,25-41,-4
67,2011-03-12,Washington Wizards,W,122,101,W 1,26-41,21
68,2011-03-14,Memphis Grizzlies,L,82,105,L 1,26-42,-23
69,2011-03-16,Philadelphia 76ers,L,94,104,L 2,26-43,-10
70,2011-03-19,Cleveland Cavaliers,W,100,92,W 1,27-43,8
71,2011-03-20,Phoenix Suns,L,99,108,L 1,27-44,-9
72,2011-03-23,Washington Wizards,W,127,119,W 1,28-44,8
73,2011-03-25,Los Angeles Lakers,L,104,112,L 1,28-45,-8
74,2011-03-26,Toronto Raptors,W,94,90,W 1,29-45,4
75,2011-03-30,Dallas Mavericks,L,100,106,L 1,29-46,-6
76,2011-04-01,Phoenix Suns,L,98,111,L 2,29-47,-13
77,2011-04-02,Oklahoma City Thunder,W,98,92,W 1,30-47,6
78,2011-04-05,Memphis Grizzlies,W,82,81,W 2,31-47,1
79,2011-04-06,Oklahoma City Thunder,L,108,112,L 1,31-48,-4
80,2011-04-08,Dallas Mavericks,L,96,107,L 2,31-49,-11
81,2011-04-09,Houston Rockets,L,78,99,L 3,31-50,-21
82,2011-04-13,Memphis Grizzlies,W,110,103,W 1,32-50,7
