G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2003-10-28,Dallas Mavericks,W,109,93,W 1,1-0,16
2,2003-11-01,Phoenix Suns,W,103,99,W 2,2-0,4
3,2003-11-02,Golden State Warriors,W,87,72,W 3,3-0,15
4,2003-11-04,Milwaukee Bucks,W,113,107,W 4,4-0,6
5,2003-11-06,San Antonio Spurs,W,120,117,W 5,5-0,3
6,2003-11-07,New Orleans Hornets,L,95,114,L 1,5-1,-19
7,2003-11-10,Memphis Grizzlies,L,95,105,L 2,5-2,-10
8,2003-11-12,Toronto Raptors,W,94,79,W 1,6-2,15
9,2003-11-14,Detroit Pistons,W,94,89,W 2,7-2,5
10,2003-11-16,Miami Heat,W,99,77,W 3,8-2,22
11,2003-11-18,Detroit Pistons,L,96,106,L 1,8-3,-10
12,2003-11-19,New York Knicks,W,104,83,W 1,9-3,21
13,2003-11-21,Chicago Bulls,W,101,94,W 2,10-3,7
14,2003-11-23,Memphis Grizzlies,W,121,89,W 3,11-3,32
15,2003-11-26,Washington Wizards,W,120,99,W 4,12-3,21
16,2003-11-28,San Antonio Spurs,W,103,87,W 5,13-3,16
17,2003-11-30,Indiana Pacers,W,99,77,W 6,14-3,22
18,2003-12-03,San Antonio Spurs,W,90,86,W 7,15-3,4
19,2003-12-04,Dallas Mavericks,W,114,103,W 8,16-3,11
20,2003-12-07,Utah Jazz,W,94,92,W 9,17-3,2
21,2003-12-09,New York Knicks,W,98,90,W 10,18-3,8
22,2003-12-12,Dallas Mavericks,L,93,110,L 1,18-4,-17
23,2003-12-13,Portland Trail Blazers,L,108,112,L 2,18-5,-4
24,2003-12-19,Denver Nuggets,W,101,99,W 1,19-5,2
25,2003-12-21,Phoenix Suns,W,107,101,W 2,20-5,6
26,2003-12-23,Golden State Warriors,L,98,107,L 1,20-6,-9
27,2003-12-25,Houston Rockets,L,87,99,L 2,20-7,-12
28,2003-12-28,Boston Celtics,W,105,82,W 1,21-7,23
29,2004-01-02,Seattle SuperSonics,L,109,111,L 1,21-8,-2
30,2004-01-04,Los Angeles Clippers,L,98,101,L 2,21-9,-3
31,2004-01-06,Minnesota Timberwolves,L,90,106,L 3,21-10,-16
32,2004-01-07,Denver Nuggets,L,91,113,L 4,21-11,-22
33,2004-01-09,Atlanta Hawks,W,113,67,W 1,22-11,46
34,2004-01-12,Cleveland Cavaliers,W,89,79,W 2,23-11,10
35,2004-01-14,Denver Nuggets,W,97,71,W 3,24-11,26
36,2004-01-16,Sacramento Kings,L,83,103,L 1,24-12,-20
37,2004-01-17,Los Angeles Clippers,W,91,89,W 1,25-12,2
38,2004-01-19,Phoenix Suns,L,85,88,L 1,25-13,-3
39,2004-01-21,Memphis Grizzlies,L,82,88,L 2,25-14,-6
40,2004-01-22,Dallas Mavericks,L,87,106,L 3,25-15,-19
41,2004-01-24,Utah Jazz,W,93,86,W 1,26-15,7
42,2004-01-28,Seattle SuperSonics,W,96,82,W 2,27-15,14
43,2004-01-30,Minnesota Timberwolves,L,84,97,L 1,27-16,-13
44,2004-02-01,Toronto Raptors,W,84,83,W 1,28-16,1
45,2004-02-02,Indiana Pacers,L,72,85,L 1,28-17,-13
46,2004-02-04,Cleveland Cavaliers,W,111,106,W 1,29-17,5
47,2004-02-05,Philadelphia 76ers,L,73,96,L 1,29-18,-23
48,2004-02-08,Orlando Magic,W,98,96,W 1,30-18,2
49,2004-02-10,Miami Heat,W,98,83,W 2,31-18,15
50,2004-02-11,Houston Rockets,L,87,102,L 1,31-19,-15
51,2004-02-17,Portland Trail Blazers,W,89,86,W 1,32-19,3
52,2004-02-18,Golden State Warriors,W,100,99,W 2,33-19,1
53,2004-02-20,Philadelphia 76ers,W,116,88,W 3,34-19,28
54,2004-02-22,Phoenix Suns,W,104,92,W 4,35-19,12
55,2004-02-25,Denver Nuggets,W,112,111,W 5,36-19,1
56,2004-02-26,Sacramento Kings,L,101,103,L 1,36-20,-2
57,2004-02-28,Washington Wizards,W,122,110,W 1,37-20,12
58,2004-02-29,New Jersey Nets,W,100,83,W 2,38-20,17
59,2004-03-02,Atlanta Hawks,L,93,94,L 1,38-21,-1
60,2004-03-03,Houston Rockets,W,96,93,W 1,39-21,3
61,2004-03-05,Seattle SuperSonics,W,99,91,W 2,40-21,8
62,2004-03-07,New Jersey Nets,W,94,88,W 3,41-21,6
63,2004-03-08,Utah Jazz,L,83,88,L 1,41-22,-5
64,2004-03-10,Boston Celtics,W,117,109,W 1,42-22,8
65,2004-03-12,Minnesota Timberwolves,L,86,96,L 1,42-23,-10
66,2004-03-13,Chicago Bulls,W,88,81,W 1,43-23,7
67,2004-03-15,Orlando Magic,W,113,110,W 2,44-23,3
