G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2018-10-17,Indiana Pacers,L,83,111,L 1,0-1,-28
2,2018-10-19,Atlanta Hawks,W,131,117,W 1,1-1,14
3,2018-10-22,Utah Jazz,W,92,84,W 2,2-1,8
4,2018-10-24,Sacramento Kings,L,92,97,L 1,2-2,-5
5,2018-10-27,Phoenix Suns,W,117,96,W 1,3-2,21
6,2018-10-30,Washington Wizards,W,107,95,W 2,4-2,12
7,2018-11-02,Utah Jazz,W,110,100,W 3,5-2,10
8,2018-11-04,Phoenix Suns,L,100,102,L 1,5-3,-2
9,2018-11-05,Golden State Warriors,L,101,117,L 2,5-4,-16
10,2018-11-07,Denver Nuggets,W,89,87,W 1,6-4,2
11,2018-11-10,Philadelphia 76ers,W,112,106,W 2,7-4,6
12,2018-11-12,Utah Jazz,L,88,96,L 1,7-5,-8
13,2018-11-14,Milwaukee Bucks,W,116,113,W 1,8-5,3
14,2018-11-16,Sacramento Kings,W,112,104,W 2,9-5,8
15,2018-11-18,Minnesota Timberwolves,W,100,87,W 3,10-5,13
16,2018-11-19,Dallas Mavericks,W,98,88,W 4,11-5,10
17,2018-11-21,San Antonio Spurs,W,104,103,W 5,12-5,1
18,2018-11-23,Los Angeles Clippers,L,107,112,L 1,12-6,-5
19,2018-11-25,New York Knicks,L,98,103,L 2,12-7,-5
20,2018-11-27,Toronto Raptors,L,114,122,L 3,12-8,-8
21,2018-11-30,Brooklyn Nets,W,131,125,W 1,13-8,6
22,2018-12-02,Philadelphia 76ers,L,95,103,L 1,13-9,-8
23,2018-12-05,Los Angeles Clippers,W,96,86,W 1,14-9,10
24,2018-12-07,New Orleans Pelicans,W,107,103,W 2,15-9,4
25,2018-12-08,Los Angeles Lakers,L,88,111,L 1,15-10,-23
26,2018-12-10,Denver Nuggets,L,99,105,L 2,15-11,-6
27,2018-12-12,Portland Trail Blazers,W,92,83,W 1,16-11,9
28,2018-12-14,Miami Heat,L,97,100,L 1,16-12,-3
29,2018-12-15,Houston Rockets,L,97,105,L 2,16-13,-8
30,2018-12-17,Golden State Warriors,L,93,110,L 3,16-14,-17
31,2018-12-19,Portland Trail Blazers,L,92,99,L 4,16-15,-7
32,2018-12-21,Sacramento Kings,L,99,102,L 5,16-16,-3
33,2018-12-23,Los Angeles Lakers,W,107,99,W 1,17-16,8
34,2018-12-26,Cleveland Cavaliers,W,95,87,W 2,18-16,8
35,2018-12-29,Boston Celtics,L,103,112,L 1,18-17,-9
36,2018-12-31,Houston Rockets,L,101,113,L 2,18-18,-12
37,2019-01-02,Detroit Pistons,L,94,101,L 3,18-19,-7
38,2019-01-04,Brooklyn Nets,L,100,109,L 4,18-20,-9
39,2019-01-05,San Antonio Spurs,L,88,108,L 5,18-21,-20
40,2019-01-07,New Orleans Pelicans,L,95,114,L 6,18-22,-19
41,2019-01-09,San Antonio Spurs,W,96,86,W 1,19-22,10
42,2019-01-12,Miami Heat,L,108,112,L 1,19-23,-4
43,2019-01-14,Houston Rockets,L,94,112,L 2,19-24,-18
44,2019-01-16,Milwaukee Bucks,L,101,111,L 3,19-25,-10
45,2019-01-18,Boston Celtics,L,116,122,L 4,19-26,-6
46,2019-01-19,Toronto Raptors,L,90,119,L 5,19-27,-29
47,2019-01-21,New Orleans Pelicans,L,85,105,L 6,19-28,-20
48,2019-01-23,Charlotte Hornets,L,107,118,L 7,19-29,-11
49,2019-01-25,Sacramento Kings,L,96,99,L 8,19-30,-3
50,2019-01-26,Indiana Pacers,W,106,103,W 1,20-30,3
51,2019-01-28,Denver Nuggets,L,92,95,L 1,20-31,-3
52,2019-01-30,Minnesota Timberwolves,L,97,99,L 2,20-32,-2
53,2019-02-01,Charlotte Hornets,L,92,100,L 3,20-33,-8
54,2019-02-03,New York Knicks,W,96,84,W 1,21-33,12
55,2019-02-05,Minnesota Timberwolves,W,108,106,W 2,22-33,2
56,2019-02-07,Oklahoma City Thunder,L,95,117,L 1,22-34,-22
57,2019-02-09,New Orleans Pelicans,W,99,90,W 1,23-34,9
58,2019-02-12,San Antonio Spurs,L,107,108,L 1,23-35,-1
59,2019-02-13,Chicago Bulls,L,110,122,L 2,23-36,-12
60,2019-02-22,Los Angeles Clippers,L,106,112,L 3,23-37,-6
61,2019-02-23,Cleveland Cavaliers,L,107,112,L 4,23-38,-5
62,2019-02-25,Los Angeles Lakers,W,110,105,W 1,24-38,5
63,2019-02-27,Chicago Bulls,L,107,109,L 1,24-39,-2
64,2019-03-02,Dallas Mavericks,W,111,81,W 1,25-39,30
65,2019-03-03,Oklahoma City Thunder,L,95,99,L 1,25-40,-4
66,2019-03-05,Portland Trail Blazers,W,120,111,W 1,26-40,9
67,2019-03-08,Utah Jazz,W,114,104,W 2,27-40,10
68,2019-03-10,Orlando Magic,W,105,97,W 3,28-40,8
69,2019-03-13,Atlanta Hawks,L,111,132,L 1,28-41,-21
70,2019-03-16,Washington Wizards,L,128,135,L 2,28-42,-7
71,2019-03-20,Houston Rockets,W,126,125,W 1,29-42,1
72,2019-03-22,Orlando Magic,L,119,123,L 1,29-43,-4
73,2019-03-23,Minnesota Timberwolves,L,99,112,L 2,29-44,-13
74,2019-03-25,Oklahoma City Thunder,W,115,103,W 1,30-44,12
75,2019-03-27,Golden State Warriors,L,103,118,L 1,30-45,-15
76,2019-03-30,Phoenix Suns,W,120,115,W 1,31-45,5
77,2019-03-31,Los Angeles Clippers,L,96,113,L 1,31-46,-17
78,2019-04-03,Portland Trail Blazers,L,89,116,L 2,31-47,-27
79,2019-04-05,Dallas Mavericks,W,122,112,W 1,32-47,10
80,2019-04-07,Dallas Mavericks,L,127,129,L 1,32-48,-2
81,2019-04-09,Detroit Pistons,L,93,100,L 2,32-49,-7
82,2019-04-10,Golden State Warriors,W,132,117,W 1,33-49,15
