G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2000-11-01,Orlando Magic,W,105,79,W 1,1-0,26
2,2000-11-03,Charlotte Hornets,L,79,83,L 1,1-1,-4
3,2000-11-04,Philadelphia 76ers,L,82,84,L 2,1-2,-2
4,2000-11-08,Seattle SuperSonics,W,87,81,W 1,2-2,6
5,2000-11-10,Utah Jazz,W,87,80,W 2,3-2,7
6,2000-11-11,Phoenix Suns,L,82,84,L 1,3-3,-2
7,2000-11-14,Charlotte Hornets,W,89,86,W 1,4-3,3
8,2000-11-15,New Jersey Nets,L,91,93,L 1,4-4,-2
9,2000-11-17,Philadelphia 76ers,L,73,94,L 2,4-5,-21
10,2000-11-18,Portland Trail Blazers,W,86,80,W 1,5-5,6
11,2000-11-22,Cleveland Cavaliers,L,67,86,L 1,5-6,-19
12,2000-11-24,Cleveland Cavaliers,L,80,85,L 2,5-7,-5
13,2000-11-25,Houston Rockets,L,80,91,L 3,5-8,-11
14,2000-11-28,Milwaukee Bucks,L,101,102,L 4,5-9,-1
15,2000-11-29,New York Knicks,W,84,81,W 1,6-9,3
16,2000-12-01,Utah Jazz,L,92,94,L 1,6-10,-2
17,2000-12-02,Washington Wizards,W,93,90,W 1,7-10,3
18,2000-12-05,Atlanta Hawks,W,100,92,W 2,8-10,8
19,2000-12-06,Denver Nuggets,W,95,78,W 3,9-10,17
20,2000-12-08,Atlanta Hawks,W,80,76,W 4,10-10,4
21,2000-12-10,Sacramento Kings,L,97,101,L 1,10-11,-4
22,2000-12-12,Denver Nuggets,W,96,85,W 1,11-11,11
23,2000-12-13,Los Angeles Clippers,W,94,88,W 2,12-11,6
24,2000-12-15,Seattle SuperSonics,L,81,99,L 1,12-12,-18
25,2000-12-16,Golden State Warriors,W,93,85,W 1,13-12,8
26,2000-12-19,Los Angeles Lakers,L,79,81,L 1,13-13,-2
27,2000-12-20,Charlotte Hornets,L,56,65,L 2,13-14,-9
28,2000-12-22,Cleveland Cavaliers,W,103,95,W 1,14-14,8
29,2000-12-23,New Jersey Nets,W,86,80,W 2,15-14,6
30,2000-12-27,Indiana Pacers,W,91,79,W 3,16-14,12
31,2000-12-29,Washington Wizards,W,98,91,W 4,17-14,7
32,2000-12-30,Detroit Pistons,W,110,102,W 5,18-14,8
33,2001-01-02,San Antonio Spurs,L,72,80,L 1,18-15,-8
34,2001-01-04,New Jersey Nets,W,81,78,W 1,19-15,3
35,2001-01-06,Boston Celtics,W,112,86,W 2,20-15,26
36,2001-01-08,Golden State Warriors,W,88,78,W 3,21-15,10
37,2001-01-10,Boston Celtics,L,76,88,L 1,21-16,-12
38,2001-01-13,Indiana Pacers,L,71,87,L 2,21-17,-16
39,2001-01-14,Chicago Bulls,W,90,81,W 1,22-17,9
40,2001-01-16,Detroit Pistons,W,93,85,W 2,23-17,8
41,2001-01-18,Portland Trail Blazers,L,74,85,L 1,23-18,-11
42,2001-01-19,Vancouver Grizzlies,W,97,86,W 1,24-18,11
43,2001-01-21,Los Angeles Lakers,W,103,92,W 2,25-18,11
44,2001-01-24,Toronto Raptors,W,103,83,W 3,26-18,20
45,2001-01-27,Orlando Magic,W,81,59,W 4,27-18,22
46,2001-01-30,Houston Rockets,W,103,85,W 5,28-18,18
47,2001-02-01,Dallas Mavericks,L,91,95,L 1,28-19,-4
48,2001-02-02,Atlanta Hawks,W,91,80,W 1,29-19,11
49,2001-02-04,New York Knicks,L,100,103,L 1,29-20,-3
50,2001-02-06,Indiana Pacers,W,102,89,W 1,30-20,13
51,2001-02-13,Los Angeles Clippers,W,101,99,W 2,31-20,2
52,2001-02-15,Toronto Raptors,W,98,91,W 3,32-20,7
53,2001-02-17,Chicago Bulls,L,82,89,L 1,32-21,-7
54,2001-02-20,New York Knicks,L,74,76,L 2,32-22,-2
