G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1999-11-05,Sacramento Kings,L,95,100,L 1,0-1,-5
2,1999-11-06,Sacramento Kings,W,114,101,W 1,1-1,13
3,1999-11-11,New York Knicks,W,93,90,W 2,2-1,3
4,1999-11-13,Phoenix Suns,W,111,100,W 3,3-1,11
5,1999-11-17,Los Angeles Clippers,L,85,89,L 1,3-2,-4
6,1999-11-19,Utah Jazz,W,89,84,W 1,4-2,5
7,1999-11-21,Vancouver Grizzlies,W,105,81,W 2,5-2,24
8,1999-11-22,Utah Jazz,L,93,108,L 1,5-3,-15
9,1999-11-24,Portland Trail Blazers,L,81,88,L 2,5-4,-7
10,1999-11-26,Denver Nuggets,L,105,114,L 3,5-5,-9
11,1999-11-27,Vancouver Grizzlies,W,113,82,W 1,6-5,31
12,1999-11-30,Denver Nuggets,W,109,92,W 2,7-5,17
13,1999-12-02,Orlando Magic,L,93,103,L 1,7-6,-10
14,1999-12-04,Dallas Mavericks,L,84,103,L 2,7-7,-19
15,1999-12-08,Seattle SuperSonics,L,94,110,L 3,7-8,-16
16,1999-12-09,Portland Trail Blazers,L,86,90,L 4,7-9,-4
17,1999-12-11,Golden State Warriors,L,76,104,L 5,7-10,-28
18,1999-12-14,Atlanta Hawks,L,94,105,L 6,7-11,-11
19,1999-12-15,Charlotte Hornets,L,98,103,L 7,7-12,-5
20,1999-12-17,Los Angeles Lakers,L,88,97,L 8,7-13,-9
21,1999-12-18,Dallas Mavericks,W,108,104,W 1,8-13,4
22,1999-12-20,Cleveland Cavaliers,W,100,94,W 2,9-13,6
23,1999-12-22,Chicago Bulls,W,106,86,W 3,10-13,20
24,1999-12-23,Seattle SuperSonics,W,109,102,W 4,11-13,7
25,1999-12-27,Orlando Magic,W,107,105,W 5,12-13,2
26,1999-12-28,Miami Heat,L,78,89,L 1,12-14,-11
27,1999-12-30,Chicago Bulls,W,94,76,W 1,13-14,18
28,2000-01-04,San Antonio Spurs,W,91,88,W 2,14-14,3
29,2000-01-06,Portland Trail Blazers,W,98,96,W 3,15-14,2
30,2000-01-08,Detroit Pistons,W,110,105,W 4,16-14,5
31,2000-01-09,Philadelphia 76ers,W,123,112,W 5,17-14,11
32,2000-01-11,Miami Heat,L,106,116,L 1,17-15,-10
33,2000-01-13,Boston Celtics,W,103,85,W 1,18-15,18
34,2000-01-15,Los Angeles Lakers,L,91,104,L 1,18-16,-13
35,2000-01-17,Indiana Pacers,W,101,100,W 1,19-16,1
36,2000-01-19,Utah Jazz,W,91,88,W 2,20-16,3
37,2000-01-21,Los Angeles Clippers,W,95,89,W 3,21-16,6
38,2000-01-23,Golden State Warriors,W,99,81,W 4,22-16,18
39,2000-01-25,Houston Rockets,W,92,84,W 5,23-16,8
40,2000-01-27,San Antonio Spurs,L,80,92,L 1,23-17,-12
41,2000-01-29,Utah Jazz,W,96,94,W 1,24-17,2
42,2000-01-31,Sacramento Kings,W,105,90,W 2,25-17,15
43,2000-02-02,Washington Wizards,L,93,103,L 1,25-18,-10
44,2000-02-04,Houston Rockets,W,102,85,W 1,26-18,17
45,2000-02-05,Denver Nuggets,W,105,97,W 2,27-18,8
46,2000-02-09,Los Angeles Lakers,L,81,114,L 1,27-19,-33
47,2000-02-10,Phoenix Suns,L,85,101,L 2,27-20,-16
48,2000-02-15,Denver Nuggets,L,104,107,L 3,27-21,-3
49,2000-02-16,New York Knicks,L,89,93,L 4,27-22,-4
50,2000-02-18,Vancouver Grizzlies,W,103,91,W 1,28-22,12
