G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2016-10-26,Denver Nuggets,L,102,107,L 1,0-1,-5
2,2016-10-28,Golden State Warriors,L,114,122,L 2,0-2,-8
3,2016-10-29,San Antonio Spurs,L,79,98,L 3,0-3,-19
4,2016-11-01,Milwaukee Bucks,L,113,117,L 4,0-4,-4
5,2016-11-02,Memphis Grizzlies,L,83,89,L 5,0-5,-6
6,2016-11-04,Phoenix Suns,L,111,112,L 6,0-6,-1
7,2016-11-07,Golden State Warriors,L,106,116,L 7,0-7,-10
8,2016-11-08,Sacramento Kings,L,94,102,L 8,0-8,-8
9,2016-11-10,Milwaukee Bucks,W,112,106,W 1,1-8,6
10,2016-11-12,Los Angeles Lakers,L,99,126,L 1,1-9,-27
11,2016-11-14,Boston Celtics,W,106,105,W 1,2-9,1
12,2016-11-16,Orlando Magic,L,82,89,L 1,2-10,-7
13,2016-11-18,Portland Trail Blazers,W,113,101,W 1,3-10,12
14,2016-11-19,Charlotte Hornets,W,121,116,W 2,4-10,5
15,2016-11-22,Atlanta Hawks,W,112,94,W 3,5-10,18
16,2016-11-23,Minnesota Timberwolves,W,117,96,W 4,6-10,21
17,2016-11-25,Portland Trail Blazers,L,104,119,L 1,6-11,-15
18,2016-11-27,Dallas Mavericks,L,81,91,L 2,6-12,-10
19,2016-11-29,Los Angeles Lakers,W,105,88,W 1,7-12,17
20,2016-12-02,Los Angeles Clippers,L,96,114,L 1,7-13,-18
21,2016-12-04,Oklahoma City Thunder,L,92,101,L 2,7-14,-9
22,2016-12-05,Memphis Grizzlies,L,108,110,L 3,7-15,-2
23,2016-12-08,Philadelphia 76ers,L,88,99,L 4,7-16,-11
24,2016-12-10,Los Angeles Clippers,L,105,133,L 5,7-17,-28
25,2016-12-11,Phoenix Suns,W,120,119,W 1,8-17,1
26,2016-12-13,Golden State Warriors,L,109,113,L 1,8-18,-4
27,2016-12-15,Indiana Pacers,W,102,95,W 1,9-18,7
28,2016-12-16,Houston Rockets,L,100,122,L 1,9-19,-22
29,2016-12-18,San Antonio Spurs,L,100,113,L 2,9-20,-13
30,2016-12-20,Philadelphia 76ers,W,108,93,W 1,10-20,15
31,2016-12-21,Oklahoma City Thunder,L,110,121,L 1,10-21,-11
32,2016-12-23,Miami Heat,W,91,87,W 1,11-21,4
33,2016-12-26,Dallas Mavericks,W,111,104,W 2,12-21,7
34,2016-12-28,Los Angeles Clippers,W,102,98,W 3,13-21,4
35,2016-12-30,New York Knicks,W,104,92,W 4,14-21,12
36,2017-01-02,Cleveland Cavaliers,L,82,90,L 1,14-22,-8
37,2017-01-05,Atlanta Hawks,L,94,99,L 2,14-23,-5
38,2017-01-07,Boston Celtics,L,108,117,L 3,14-24,-9
39,2017-01-09,New York Knicks,W,110,96,W 1,15-24,14
40,2017-01-12,Brooklyn Nets,W,104,95,W 2,16-24,9
41,2017-01-14,Chicago Bulls,L,99,107,L 1,16-25,-8
42,2017-01-16,Indiana Pacers,L,95,98,L 2,16-26,-3
43,2017-01-18,Orlando Magic,W,118,98,W 1,17-26,20
44,2017-01-20,Brooklyn Nets,L,114,143,L 1,17-27,-29
45,2017-01-23,Cleveland Cavaliers,W,124,122,W 1,18-27,2
46,2017-01-25,Oklahoma City Thunder,L,105,114,L 1,18-28,-9
47,2017-01-27,San Antonio Spurs,W,119,103,W 1,19-28,16
48,2017-01-29,Washington Wizards,L,94,107,L 1,19-29,-13
49,2017-01-31,Toronto Raptors,L,106,108,L 2,19-30,-2
50,2017-02-01,Detroit Pistons,L,98,118,L 3,19-31,-20
51,2017-02-04,Washington Wizards,L,91,105,L 4,19-32,-14
52,2017-02-06,Phoenix Suns,W,111,106,W 1,20-32,5
53,2017-02-08,Utah Jazz,L,94,127,L 1,20-33,-33
54,2017-02-10,Minnesota Timberwolves,W,122,106,W 1,21-33,16
55,2017-02-12,Sacramento Kings,L,99,105,L 1,21-34,-6
56,2017-02-13,Phoenix Suns,W,110,108,W 1,22-34,2
57,2017-02-15,Memphis Grizzlies,W,95,91,W 2,23-34,4
58,2017-02-23,Houston Rockets,L,99,129,L 1,23-35,-30
59,2017-02-25,Dallas Mavericks,L,83,96,L 2,23-36,-13
60,2017-02-26,Oklahoma City Thunder,L,110,118,L 3,23-37,-8
61,2017-03-01,Detroit Pistons,W,109,86,W 1,24-37,23
62,2017-03-03,San Antonio Spurs,L,98,101,L 1,24-38,-3
63,2017-03-05,Los Angeles Lakers,W,105,97,W 1,25-38,8
64,2017-03-06,Utah Jazz,L,83,88,L 1,25-39,-5
65,2017-03-08,Toronto Raptors,L,87,94,L 2,25-40,-7
66,2017-03-11,Charlotte Hornets,W,125,122,W 1,26-40,3
67,2017-03-14,Portland Trail Blazers,W,100,77,W 2,27-40,23
68,2017-03-15,Miami Heat,L,112,120,L 1,27-41,-8
69,2017-03-17,Houston Rockets,W,128,112,W 1,28-41,16
70,2017-03-19,Minnesota Timberwolves,W,123,109,W 2,29-41,14
71,2017-03-21,Memphis Grizzlies,W,95,82,W 3,30-41,13
72,2017-03-24,Houston Rockets,L,107,117,L 1,30-42,-10
73,2017-03-26,Denver Nuggets,W,115,90,W 1,31-42,25
74,2017-03-27,Utah Jazz,L,100,108,L 1,31-43,-8
75,2017-03-29,Dallas Mavericks,W,121,118,W 1,32-43,3
76,2017-03-31,Sacramento Kings,W,117,89,W 2,33-43,28
77,2017-04-02,Chicago Bulls,L,110,117,L 1,33-44,-7
78,2017-04-04,Denver Nuggets,L,131,134,L 2,33-45,-3
79,2017-04-07,Denver Nuggets,L,106,122,L 3,33-46,-16
80,2017-04-08,Golden State Warriors,L,101,123,L 4,33-47,-22
81,2017-04-11,Los Angeles Lakers,L,96,108,L 5,33-48,-12
82,2017-04-12,Portland Trail Blazers,W,103,100,W 1,34-48,3
