G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1971-10-12,Detroit Pistons,L,84,91,L 1,0-1,-7
2,1971-10-16,Los Angeles Lakers,L,104,119,L 2,0-2,-15
3,1971-10-17,Cleveland Cavaliers,W,121,120,W 1,1-2,1
4,1971-10-19,Golden State Warriors,W,93,84,W 2,2-2,9
5,1971-10-22,Baltimore Bullets,W,110,87,W 3,3-2,23
6,1971-10-23,Atlanta Hawks,L,89,95,L 1,3-3,-6
7,1971-10-26,Boston Celtics,W,106,101,W 1,4-3,5
8,1971-10-27,Atlanta Hawks,L,96,110,L 1,4-4,-14
9,1971-10-28,Houston Rockets,W,112,94,W 1,5-4,18
10,1971-10-30,Philadelphia 76ers,L,101,108,L 1,5-5,-7
11,1971-11-03,Houston Rockets,W,117,98,W 1,6-5,19
12,1971-11-05,Seattle SuperSonics,L,97,101,L 1,6-6,-4
13,1971-11-07,Los Angeles Lakers,L,96,103,L 2,6-7,-7
14,1971-11-10,Cincinnati Royals,L,85,99,L 3,6-8,-14
15,1971-11-11,Golden State Warriors,L,103,112,L 4,6-9,-9
16,1971-11-13,Detroit Pistons,W,127,105,W 1,7-9,22
17,1971-11-16,Phoenix Suns,W,112,111,W 2,8-9,1
18,1971-11-20,Baltimore Bullets,W,125,114,W 3,9-9,11
19,1971-11-23,Cincinnati Royals,W,125,110,W 4,10-9,15
20,1971-11-24,Baltimore Bullets,W,114,94,W 5,11-9,20
21,1971-11-26,Boston Celtics,W,104,89,W 6,12-9,15
22,1971-11-27,Chicago Bulls,W,100,99,W 7,13-9,1
23,1971-11-30,Seattle SuperSonics,L,109,110,L 1,13-10,-1
24,1971-12-03,Chicago Bulls,L,96,122,L 2,13-11,-26
25,1971-12-04,Buffalo Braves,W,130,90,W 1,14-11,40
26,1971-12-07,Boston Celtics,L,97,105,L 1,14-12,-8
27,1971-12-11,Portland Trail Blazers,W,134,102,W 1,15-12,32
28,1971-12-12,Cleveland Cavaliers,W,103,92,W 2,16-12,11
29,1971-12-14,Phoenix Suns,L,100,110,L 1,16-13,-10
30,1971-12-17,Buffalo Braves,W,115,95,W 1,17-13,20
31,1971-12-18,Cleveland Cavaliers,W,104,84,W 2,18-13,20
32,1971-12-21,Golden State Warriors,W,113,87,W 3,19-13,26
33,1971-12-22,Seattle SuperSonics,W,120,104,W 4,20-13,16
34,1971-12-23,Portland Trail Blazers,W,120,117,W 5,21-13,3
35,1971-12-25,Golden State Warriors,W,114,89,W 6,22-13,25
36,1971-12-28,Detroit Pistons,W,119,100,W 7,23-13,19
37,1971-12-30,Baltimore Bullets,L,102,110,L 1,23-14,-8
38,1972-01-01,Cincinnati Royals,W,104,94,W 1,24-14,10
39,1972-01-03,Milwaukee Bucks,W,101,99,W 2,25-14,2
40,1972-01-04,Milwaukee Bucks,L,100,121,L 1,25-15,-21
41,1972-01-07,Philadelphia 76ers,L,113,117,L 2,25-16,-4
42,1972-01-08,Chicago Bulls,L,108,113,L 3,25-17,-5
43,1972-01-11,Chicago Bulls,L,91,116,L 4,25-18,-25
44,1972-01-14,Golden State Warriors,L,111,115,L 5,25-19,-4
45,1972-01-16,Houston Rockets,W,109,108,W 1,26-19,1
46,1972-01-20,Phoenix Suns,L,109,130,L 1,26-20,-21
47,1972-01-21,Los Angeles Lakers,W,104,101,W 1,27-20,3
48,1972-01-23,Seattle SuperSonics,W,101,99,W 2,28-20,2
49,1972-01-25,Boston Celtics,W,109,106,W 3,29-20,3
50,1972-01-28,Boston Celtics,L,116,122,L 1,29-21,-6
51,1972-01-29,Seattle SuperSonics,W,110,106,W 1,30-21,4
52,1972-02-01,Detroit Pistons,W,115,106,W 2,31-21,9
53,1972-02-02,Cincinnati Royals,L,105,116,L 1,31-22,-11
54,1972-02-04,Buffalo Braves,W,103,84,W 1,32-22,19
55,1972-02-05,Philadelphia 76ers,W,112,104,W 2,33-22,8
56,1972-02-06,Philadelphia 76ers,W,109,107,W 3,34-22,2
57,1972-02-08,Los Angeles Lakers,L,102,107,L 1,34-23,-5
58,1972-02-09,Detroit Pistons,W,126,102,W 1,35-23,24
59,1972-02-11,Milwaukee Bucks,W,113,107,W 2,36-23,6
60,1972-02-12,Cleveland Cavaliers,W,106,91,W 3,37-23,15
61,1972-02-16,Houston Rockets,W,110,100,W 4,38-23,10
62,1972-02-17,Chicago Bulls,W,102,99,W 5,39-23,3
63,1972-02-19,Buffalo Braves,W,100,95,W 6,40-23,5
64,1972-02-20,Cleveland Cavaliers,L,109,111,L 1,40-24,-2
65,1972-02-22,Portland Trail Blazers,W,122,105,W 1,41-24,17
66,1972-02-26,Baltimore Bullets,L,97,104,L 1,41-25,-7
67,1972-02-27,Baltimore Bullets,W,97,95,W 1,42-25,2
68,1972-02-29,Los Angeles Lakers,L,111,114,L 1,42-26,-3
69,1972-03-03,Buffalo Braves,L,97,105,L 2,42-27,-8
70,1972-03-04,Philadelphia 76ers,W,118,115,W 1,43-27,3
71,1972-03-05,Philadelphia 76ers,L,98,100,L 1,43-28,-2
72,1972-03-07,Milwaukee Bucks,W,110,101,W 1,44-28,9
73,1972-03-11,Phoenix Suns,L,106,110,L 1,44-29,-4
