G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,2015-10-28,San Antonio Spurs,W,112,106,W 1,1-0,6
2,2015-10-30,Orlando Magic,W,139,136,W 2,2-0,3
3,2015-11-01,Denver Nuggets,W,117,93,W 3,3-0,24
4,2015-11-02,Houston Rockets,L,105,110,L 1,3-1,-5
5,2015-11-04,Toronto Raptors,L,98,103,L 2,3-2,-5
6,2015-11-05,Chicago Bulls,L,98,104,L 3,3-3,-6
7,2015-11-08,Phoenix Suns,W,124,103,W 1,4-3,21
8,2015-11-10,Washington Wizards,W,125,101,W 2,5-3,24
9,2015-11-13,Philadelphia 76ers,W,102,85,W 3,6-3,17
10,2015-11-15,Boston Celtics,L,85,100,L 1,6-4,-15
11,2015-11-16,Memphis Grizzlies,L,114,122,L 2,6-5,-8
12,2015-11-18,New Orleans Pelicans,W,110,103,W 1,7-5,7
13,2015-11-20,New York Knicks,L,90,93,L 1,7-6,-3
14,2015-11-22,Dallas Mavericks,W,117,114,W 1,8-6,3
15,2015-11-23,Utah Jazz,W,111,89,W 2,9-6,22
16,2015-11-25,Brooklyn Nets,W,110,99,W 3,10-6,11
17,2015-11-27,Detroit Pistons,W,103,87,W 4,11-6,16
18,2015-11-30,Atlanta Hawks,L,100,106,L 1,11-7,-6
19,2015-12-03,Miami Heat,L,95,97,L 2,11-8,-2
20,2015-12-06,Sacramento Kings,W,98,95,W 1,12-8,3
21,2015-12-08,Memphis Grizzlies,W,125,88,W 2,13-8,37
22,2015-12-10,Atlanta Hawks,W,107,94,W 3,14-8,13
23,2015-12-11,Utah Jazz,W,94,90,W 4,15-8,4
24,2015-12-13,Utah Jazz,W,104,98,W 5,16-8,6
25,2015-12-16,Portland Trail Blazers,W,106,90,W 6,17-8,16
26,2015-12-17,Cleveland Cavaliers,L,100,104,L 1,17-9,-4
27,2015-12-19,Los Angeles Lakers,W,118,78,W 1,18-9,40
28,2015-12-21,Los Angeles Clippers,W,100,99,W 2,19-9,1
29,2015-12-23,Los Angeles Lakers,W,120,85,W 3,20-9,35
30,2015-12-25,Chicago Bulls,L,96,105,L 1,20-10,-9
31,2015-12-27,Denver Nuggets,W,122,112,W 1,21-10,10
32,2015-12-29,Milwaukee Bucks,W,131,123,W 2,22-10,8
33,2015-12-31,Phoenix Suns,W,110,106,W 3,23-10,4
34,2016-01-02,Charlotte Hornets,W,109,90,W 4,24-10,19
35,2016-01-04,Sacramento Kings,L,104,116,L 1,24-11,-12
36,2016-01-06,Memphis Grizzlies,W,112,94,W 1,25-11,18
37,2016-01-08,Los Angeles Lakers,W,117,113,W 2,26-11,4
38,2016-01-10,Portland Trail Blazers,L,110,115,L 1,26-12,-5
39,2016-01-12,Minnesota Timberwolves,W,101,96,W 1,27-12,5
40,2016-01-13,Dallas Mavericks,W,108,89,W 2,28-12,19
41,2016-01-15,Minnesota Timberwolves,W,113,93,W 3,29-12,20
42,2016-01-17,Miami Heat,W,99,74,W 4,30-12,25
43,2016-01-19,Denver Nuggets,W,110,104,W 5,31-12,6
44,2016-01-20,Charlotte Hornets,W,109,95,W 6,32-12,14
45,2016-01-22,Dallas Mavericks,W,109,106,W 7,33-12,3
