G,Date,Opponent,Result,Tm,Opp,Streak,Record,Margin
1,1999-11-02,Charlotte Hornets,L,86,100,L 1,0-1,-14
2,1999-11-03,Detroit Pistons,W,103,94,W 1,1-1,9
3,1999-11-05,Cleveland Cavaliers,L,99,104,L 1,1-2,-5
4,1999-11-06,Washington Wizards,W,107,104,W 1,2-2,3
5,1999-11-08,Houston Rockets,W,102,97,W 2,3-2,5
6,1999-11-10,Philadelphia 76ers,W,110,105,W 3,4-2,5
7,1999-11-11,Indiana Pacers,L,101,116,L 1,4-3,-15
8,1999-11-13,Dallas Mavericks,L,117,125,L 2,4-4,-8
9,1999-11-17,Portland Trail Blazers,L,79,81,L 3,4-5,-2
10,1999-11-19,Charlotte Hornets,L,92,103,L 4,4-6,-11
11,1999-11-20,Atlanta Hawks,W,107,103,W 1,5-6,4
12,1999-11-24,Dallas Mavericks,W,112,100,W 2,6-6,12
13,1999-11-27,New York Knicks,L,96,99,L 1,6-7,-3
14,1999-11-28,Detroit Pistons,W,108,99,W 1,7-7,9
15,1999-11-30,Sacramento Kings,L,102,111,L 1,7-8,-9
16,1999-12-02,Minnesota Timberwolves,W,103,93,W 1,8-8,10
17,1999-12-03,Denver Nuggets,W,112,100,W 2,9-8,12
18,1999-12-05,Los Angeles Lakers,L,100,117,L 1,9-9,-17
19,1999-12-07,Phoenix Suns,L,107,110,L 2,9-10,-3
20,1999-12-11,Chicago Bulls,W,108,87,W 1,10-10,21
21,1999-12-15,Milwaukee Bucks,L,99,116,L 1,10-11,-17
22,1999-12-17,Toronto Raptors,W,112,98,W 1,11-11,14
23,1999-12-18,Chicago Bulls,W,83,74,W 2,12-11,9
24,1999-12-20,Utah Jazz,W,104,102,W 3,13-11,2
25,1999-12-22,Cleveland Cavaliers,W,103,97,W 4,14-11,6
26,1999-12-23,Charlotte Hornets,W,110,106,W 5,15-11,4
27,1999-12-27,Minnesota Timberwolves,L,105,107,L 1,15-12,-2
28,1999-12-29,Miami Heat,L,106,109,L 2,15-13,-3
29,1999-12-30,New Jersey Nets,L,92,102,L 3,15-14,-10
30,2000-01-02,Miami Heat,L,103,111,L 4,15-15,-8
31,2000-01-03,Detroit Pistons,L,106,118,L 5,15-16,-12
32,2000-01-05,Vancouver Grizzlies,W,116,96,W 1,16-16,20
33,2000-01-07,New York Knicks,L,86,94,L 1,16-17,-8
34,2000-01-08,San Antonio Spurs,L,92,127,L 2,16-18,-35
35,2000-01-10,New Jersey Nets,L,94,100,L 3,16-19,-6
36,2000-01-12,Toronto Raptors,L,102,108,L 4,16-20,-6
37,2000-01-14,Philadelphia 76ers,L,100,102,L 5,16-21,-2
38,2000-01-15,Indiana Pacers,L,89,96,L 6,16-22,-7
39,2000-01-17,Golden State Warriors,L,100,113,L 7,16-23,-13
40,2000-01-20,Sacramento Kings,L,103,111,L 8,16-24,-8
41,2000-01-22,Vancouver Grizzlies,W,85,82,W 1,17-24,3
42,2000-01-23,Los Angeles Clippers,W,102,89,W 2,18-24,13
43,2000-01-26,Boston Celtics,W,111,89,W 3,19-24,22
44,2000-01-27,Cleveland Cavaliers,L,90,102,L 1,19-25,-12
45,2000-01-29,Atlanta Hawks,W,103,87,W 1,20-25,16
46,2000-01-31,Phoenix Suns,L,113,117,L 1,20-26,-4
47,2000-02-01,New York Knicks,W,98,77,W 1,21-26,21
48,2000-02-05,Indiana Pacers,W,107,102,W 2,22-26,5
49,2000-02-07,Golden State Warriors,W,120,100,W 3,23-26,20
50,2000-02-09,Washington Wizards,W,107,96,W 4,24-26,11
